Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
CPCP, CPCF;Enlarge;501;150000;;1.0;2;548;50;Through-hole;Radial;-65 to +225;No;image/resistors-fixed/30218.png;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.pdf;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.zip
CPCP, CPCF;Enlarge;501;150000;;10.0;2;548;50;Through-hole;Radial;-65 to +225;No;image/resistors-fixed/30218.png;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.pdf;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.zip
CPCP, CPCF;Enlarge;501;150000;;5.0;2;548;50;Through-hole;Radial;-65 to +225;No;image/resistors-fixed/30218.png;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.pdf;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.zip
CPCP, CPCF;Enlarge;801;150000;;1.0;3;671;50;Through-hole;Radial;-65 to +225;No;image/resistors-fixed/30218.png;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.pdf;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.zip
CPCP, CPCF;Enlarge;801;150000;;1.0;5;866;50;Through-hole;Radial;-65 to +225;No;image/resistors-fixed/30218.png;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.pdf;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.zip
CPCP, CPCF;Enlarge;801;150000;;10.0;3;671;50;Through-hole;Radial;-65 to +225;No;image/resistors-fixed/30218.png;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.pdf;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.zip
CPCP, CPCF;Enlarge;801;150000;;10.0;5;866;50;Through-hole;Radial;-65 to +225;No;image/resistors-fixed/30218.png;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.pdf;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.zip
CPCP, CPCF;Enlarge;801;150000;;5.0;3;671;50;Through-hole;Radial;-65 to +225;No;image/resistors-fixed/30218.png;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.pdf;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.zip
CPCP, CPCF;Enlarge;801;150000;;5.0;5;866;50;Through-hole;Radial;-65 to +225;No;image/resistors-fixed/30218.png;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.pdf;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.zip
CPCP, CPCF;Enlarge;0.1;4000;;1.0;2;89;20;Through-hole;Radial;-65 to +275;No;image/resistors-fixed/30218.png;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.pdf;Datasheet\/resistors-fixed/CPCP, CPCF\CPCP, CPCF.zip
