Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
CPF;Enlarge;0.1;150K;;2.0;1.0;250;300;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;0.1;150K;;2.0;2.0;350;300;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;0.1;150K;;2.0;3.0;500;300;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;0.1;150K;;5.0;1.0;250;300;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;0.1;150K;;5.0;2.0;350;300;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;0.1;150K;;5.0;3.0;500;300;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;0.2;150K;;2.0;1.0;250;200;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;0.2;150K;;2.0;2.0;350;200;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;0.2;150K;;2.0;3.0;500;200;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;0.2;150K;;5.0;1.0;250;200;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;0.2;150K;;5.0;2.0;350;200;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;0.2;150K;;5.0;3.0;500;200;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;0.5;150K;;1.0;1.0;250;150;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;0.5;150K;;1.0;1.0;250;200;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;0.5;150K;;1.0;2.0;350;150;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;0.5;150K;;1.0;2.0;350;200;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;0.5;150K;;2.0;1.0;250;150;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;0.5;150K;;2.0;2.0;350;150;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;0.5;150K;;5.0;1.0;250;150;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;0.5;150K;;5.0;2.0;350;150;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;1;150K;;0.1;1.0;250;100;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;1;150K;;0.1;2.0;350;100;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
CPF;Enlarge;1;150K;;0.1;3.0;500;100;Through-hole;Axial;-65 to +230;No;image/resistors-fixed/31021.png;Datasheet\/resistors-fixed/CPF\CPF.pdf;
