Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
CRHP;Enlarge;1.1G;10G;;10.0;0.7;1870;100;Surface-mount;1210;-55 to +155;No;image/resistors-fixed/68045.png;Datasheet\/resistors-fixed/CRHP\CRHP.pdf;Datasheet\/resistors-fixed/CRHP\CRHP.zip
CRHP;Enlarge;1.1G;10G;;10.0;1;2000;100;Surface-mount;2010;-55 to +155;No;image/resistors-fixed/68045.png;Datasheet\/resistors-fixed/CRHP\CRHP.pdf;Datasheet\/resistors-fixed/CRHP\CRHP.zip
CRHP;Enlarge;1.1G;10G;;10.0;1.2;2500;100;Surface-mount;2510;-55 to +155;No;image/resistors-fixed/68045.png;Datasheet\/resistors-fixed/CRHP\CRHP.pdf;Datasheet\/resistors-fixed/CRHP\CRHP.zip
CRHP;Enlarge;1.1G;10G;;10.0;1.5;3000;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68045.png;Datasheet\/resistors-fixed/CRHP\CRHP.pdf;Datasheet\/resistors-fixed/CRHP\CRHP.zip
CRHP;Enlarge;1.1G;10G;;2.0;0.7;1870;100;Surface-mount;1210;-55 to +155;No;image/resistors-fixed/68045.png;Datasheet\/resistors-fixed/CRHP\CRHP.pdf;Datasheet\/resistors-fixed/CRHP\CRHP.zip
CRHP;Enlarge;1.1G;10G;;2.0;1;2000;100;Surface-mount;2010;-55 to +155;No;image/resistors-fixed/68045.png;Datasheet\/resistors-fixed/CRHP\CRHP.pdf;Datasheet\/resistors-fixed/CRHP\CRHP.zip
CRHP;Enlarge;1.1G;10G;;2.0;1.2;2500;100;Surface-mount;2510;-55 to +155;No;image/resistors-fixed/68045.png;Datasheet\/resistors-fixed/CRHP\CRHP.pdf;Datasheet\/resistors-fixed/CRHP\CRHP.zip
CRHP;Enlarge;1.1G;10G;;2.0;1.5;3000;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68045.png;Datasheet\/resistors-fixed/CRHP\CRHP.pdf;Datasheet\/resistors-fixed/CRHP\CRHP.zip
CRHP;Enlarge;1.1G;10G;;20.0;0.7;1870;100;Surface-mount;1210;-55 to +155;No;image/resistors-fixed/68045.png;Datasheet\/resistors-fixed/CRHP\CRHP.pdf;Datasheet\/resistors-fixed/CRHP\CRHP.zip
CRHP;Enlarge;1.1G;10G;;20.0;1;2000;100;Surface-mount;2010;-55 to +155;No;image/resistors-fixed/68045.png;Datasheet\/resistors-fixed/CRHP\CRHP.pdf;Datasheet\/resistors-fixed/CRHP\CRHP.zip
CRHP;Enlarge;1.1G;10G;;20.0;1.2;2500;100;Surface-mount;2510;-55 to +155;No;image/resistors-fixed/68045.png;Datasheet\/resistors-fixed/CRHP\CRHP.pdf;Datasheet\/resistors-fixed/CRHP\CRHP.zip
CRHP;Enlarge;1.1G;10G;;20.0;1.5;3000;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68045.png;Datasheet\/resistors-fixed/CRHP\CRHP.pdf;Datasheet\/resistors-fixed/CRHP\CRHP.zip
