Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
CRHV;Enlarge;1.1G;10G;;10.0;0.5;2000;100;Surface-mount;2010;-55 to +155;No;image/resistors-fixed/68002.png;Datasheet\/resistors-fixed/CRHV\CRHV.pdf;Datasheet\/resistors-fixed/CRHV\CRHV.zip
CRHV;Enlarge;1.1G;10G;;10.0;0.6;2500;100;Surface-mount;2510;-55 to +155;No;image/resistors-fixed/68002.png;Datasheet\/resistors-fixed/CRHV\CRHV.pdf;Datasheet\/resistors-fixed/CRHV\CRHV.zip
CRHV;Enlarge;1.1G;10G;;10.0;1;3000;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68002.png;Datasheet\/resistors-fixed/CRHV\CRHV.pdf;Datasheet\/resistors-fixed/CRHV\CRHV.zip
CRHV;Enlarge;1.1G;10G;;2.0;0.5;2000;100;Surface-mount;2010;-55 to +155;No;image/resistors-fixed/68002.png;Datasheet\/resistors-fixed/CRHV\CRHV.pdf;Datasheet\/resistors-fixed/CRHV\CRHV.zip
CRHV;Enlarge;1.1G;10G;;2.0;0.6;2500;100;Surface-mount;2510;-55 to +155;No;image/resistors-fixed/68002.png;Datasheet\/resistors-fixed/CRHV\CRHV.pdf;Datasheet\/resistors-fixed/CRHV\CRHV.zip
CRHV;Enlarge;1.1G;10G;;2.0;1;3000;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68002.png;Datasheet\/resistors-fixed/CRHV\CRHV.pdf;Datasheet\/resistors-fixed/CRHV\CRHV.zip
CRHV;Enlarge;1.1G;10G;;20.0;0.5;2000;100;Surface-mount;2010;-55 to +155;No;image/resistors-fixed/68002.png;Datasheet\/resistors-fixed/CRHV\CRHV.pdf;Datasheet\/resistors-fixed/CRHV\CRHV.zip
CRHV;Enlarge;1.1G;10G;;20.0;0.6;2500;100;Surface-mount;2510;-55 to +155;No;image/resistors-fixed/68002.png;Datasheet\/resistors-fixed/CRHV\CRHV.pdf;Datasheet\/resistors-fixed/CRHV\CRHV.zip
CRHV;Enlarge;1.1G;10G;;20.0;1;3000;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68002.png;Datasheet\/resistors-fixed/CRHV\CRHV.pdf;Datasheet\/resistors-fixed/CRHV\CRHV.zip
CRHV;Enlarge;1.1G;10G;;5.0;0.5;2000;100;Surface-mount;2010;-55 to +155;No;image/resistors-fixed/68002.png;Datasheet\/resistors-fixed/CRHV\CRHV.pdf;Datasheet\/resistors-fixed/CRHV\CRHV.zip
CRHV;Enlarge;1.1G;10G;;5.0;0.6;2500;100;Surface-mount;2510;-55 to +155;No;image/resistors-fixed/68002.png;Datasheet\/resistors-fixed/CRHV\CRHV.pdf;Datasheet\/resistors-fixed/CRHV\CRHV.zip
CRHV;Enlarge;1.1G;10G;;5.0;1;3000;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68002.png;Datasheet\/resistors-fixed/CRHV\CRHV.pdf;Datasheet\/resistors-fixed/CRHV\CRHV.zip
CRHV;Enlarge;1.1G;8G;;10.0;0.3;1500;100;Surface-mount;1206;-55 to +155;No;image/resistors-fixed/68002.png;Datasheet\/resistors-fixed/CRHV\CRHV.pdf;Datasheet\/resistors-fixed/CRHV\CRHV.zip
CRHV;Enlarge;1.1G;8G;;2.0;0.3;1500;100;Surface-mount;1206;-55 to +155;No;image/resistors-fixed/68002.png;Datasheet\/resistors-fixed/CRHV\CRHV.pdf;Datasheet\/resistors-fixed/CRHV\CRHV.zip
CRHV;Enlarge;1.1G;8G;;20.0;0.3;1500;100;Surface-mount;1206;-55 to +155;No;image/resistors-fixed/68002.png;Datasheet\/resistors-fixed/CRHV\CRHV.pdf;Datasheet\/resistors-fixed/CRHV\CRHV.zip
