Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
CRMV;Enlarge;150;15M;;0.5;0.3;1000;100;Surface-mount;1206;-55 to +155;No;image/resistors-fixed/68037.png;Datasheet\/resistors-fixed/CRMV\CRMV.pdf;Datasheet\/resistors-fixed/CRMV\CRMV.zip
CRMV;Enlarge;150;15M;;1.0;0.3;1000;100;Surface-mount;1206;-55 to +155;No;image/resistors-fixed/68037.png;Datasheet\/resistors-fixed/CRMV\CRMV.pdf;Datasheet\/resistors-fixed/CRMV\CRMV.zip
CRMV;Enlarge;150;15M;;10.0;0.3;1000;100;Surface-mount;1206;-55 to +155;No;image/resistors-fixed/68037.png;Datasheet\/resistors-fixed/CRMV\CRMV.pdf;Datasheet\/resistors-fixed/CRMV\CRMV.zip
CRMV;Enlarge;150;15M;;2.0;0.3;1000;100;Surface-mount;1206;-55 to +155;No;image/resistors-fixed/68037.png;Datasheet\/resistors-fixed/CRMV\CRMV.pdf;Datasheet\/resistors-fixed/CRMV\CRMV.zip
CRMV;Enlarge;150;15M;;20.0;0.3;1000;100;Surface-mount;1206;-55 to +155;No;image/resistors-fixed/68037.png;Datasheet\/resistors-fixed/CRMV\CRMV.pdf;Datasheet\/resistors-fixed/CRMV\CRMV.zip
CRMV;Enlarge;150;15M;;5.0;0.3;1000;100;Surface-mount;1206;-55 to +155;No;image/resistors-fixed/68037.png;Datasheet\/resistors-fixed/CRMV\CRMV.pdf;Datasheet\/resistors-fixed/CRMV\CRMV.zip
CRMV;Enlarge;1K;60M;;0.5;0.8;2500;100;Surface-mount;2510;-55 to +155;No;image/resistors-fixed/68037.png;Datasheet\/resistors-fixed/CRMV\CRMV.pdf;Datasheet\/resistors-fixed/CRMV\CRMV.zip
CRMV;Enlarge;1K;60M;;1.0;0.8;2500;100;Surface-mount;2510;-55 to +155;No;image/resistors-fixed/68037.png;Datasheet\/resistors-fixed/CRMV\CRMV.pdf;Datasheet\/resistors-fixed/CRMV\CRMV.zip
CRMV;Enlarge;1K;60M;;10.0;0.8;2500;100;Surface-mount;2510;-55 to +155;No;image/resistors-fixed/68037.png;Datasheet\/resistors-fixed/CRMV\CRMV.pdf;Datasheet\/resistors-fixed/CRMV\CRMV.zip
CRMV;Enlarge;1K;60M;;2.0;0.8;2500;100;Surface-mount;2510;-55 to +155;No;image/resistors-fixed/68037.png;Datasheet\/resistors-fixed/CRMV\CRMV.pdf;Datasheet\/resistors-fixed/CRMV\CRMV.zip
CRMV;Enlarge;1K;60M;;20.0;0.8;2500;100;Surface-mount;2510;-55 to +155;No;image/resistors-fixed/68037.png;Datasheet\/resistors-fixed/CRMV\CRMV.pdf;Datasheet\/resistors-fixed/CRMV\CRMV.zip
CRMV;Enlarge;1K;60M;;5.0;0.8;2500;100;Surface-mount;2510;-55 to +155;No;image/resistors-fixed/68037.png;Datasheet\/resistors-fixed/CRMV\CRMV.pdf;Datasheet\/resistors-fixed/CRMV\CRMV.zip
CRMV;Enlarge;1K;75M;;0.5;1;3000;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68037.png;Datasheet\/resistors-fixed/CRMV\CRMV.pdf;Datasheet\/resistors-fixed/CRMV\CRMV.zip
CRMV;Enlarge;1K;75M;;1.0;1;3000;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68037.png;Datasheet\/resistors-fixed/CRMV\CRMV.pdf;Datasheet\/resistors-fixed/CRMV\CRMV.zip
CRMV;Enlarge;1K;75M;;10.0;1;3000;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68037.png;Datasheet\/resistors-fixed/CRMV\CRMV.pdf;Datasheet\/resistors-fixed/CRMV\CRMV.zip
CRMV;Enlarge;1K;75M;;2.0;1;3000;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68037.png;Datasheet\/resistors-fixed/CRMV\CRMV.pdf;Datasheet\/resistors-fixed/CRMV\CRMV.zip
CRMV;Enlarge;1K;75M;;20.0;1;3000;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68037.png;Datasheet\/resistors-fixed/CRMV\CRMV.pdf;Datasheet\/resistors-fixed/CRMV\CRMV.zip
CRMV;Enlarge;1K;75M;;5.0;1;3000;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68037.png;Datasheet\/resistors-fixed/CRMV\CRMV.pdf;Datasheet\/resistors-fixed/CRMV\CRMV.zip
CRMV;Enlarge;300;20M;;0.5;0.35;1250;100;Surface-mount;1210;-55 to +155;No;image/resistors-fixed/68037.png;Datasheet\/resistors-fixed/CRMV\CRMV.pdf;Datasheet\/resistors-fixed/CRMV\CRMV.zip
