Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
CS44;Enlarge;400K;100M;;0.5;0.38;100;100;Surface-mount;0404;-55 to +155;No;image/resistors-fixed/60114.png;Datasheet\/resistors-fixed/CS44\CS44.pdf;Datasheet\/resistors-fixed/CS44\CS44.zip
CS44;Enlarge;400K;100M;;0.5;0.38;100;100;Surface-mount;Wire bondable;-55 to +155;No;image/resistors-fixed/60114.png;Datasheet\/resistors-fixed/CS44\CS44.pdf;Datasheet\/resistors-fixed/CS44\CS44.zip
CS44;Enlarge;400K;100M;;0.5;0.38;100;50;Surface-mount;0404;-55 to +155;No;image/resistors-fixed/60114.png;Datasheet\/resistors-fixed/CS44\CS44.pdf;Datasheet\/resistors-fixed/CS44\CS44.zip
CS44;Enlarge;400K;100M;;0.5;0.38;100;50;Surface-mount;Wire bondable;-55 to +155;No;image/resistors-fixed/60114.png;Datasheet\/resistors-fixed/CS44\CS44.pdf;Datasheet\/resistors-fixed/CS44\CS44.zip
CS44;Enlarge;400K;100M;;1.0;0.38;100;100;Surface-mount;0404;-55 to +155;No;image/resistors-fixed/60114.png;Datasheet\/resistors-fixed/CS44\CS44.pdf;Datasheet\/resistors-fixed/CS44\CS44.zip
CS44;Enlarge;400K;100M;;1.0;0.38;100;100;Surface-mount;Wire bondable;-55 to +155;No;image/resistors-fixed/60114.png;Datasheet\/resistors-fixed/CS44\CS44.pdf;Datasheet\/resistors-fixed/CS44\CS44.zip
CS44;Enlarge;400K;100M;;1.0;0.38;100;50;Surface-mount;0404;-55 to +155;No;image/resistors-fixed/60114.png;Datasheet\/resistors-fixed/CS44\CS44.pdf;Datasheet\/resistors-fixed/CS44\CS44.zip
CS44;Enlarge;400K;100M;;1.0;0.38;100;50;Surface-mount;Wire bondable;-55 to +155;No;image/resistors-fixed/60114.png;Datasheet\/resistors-fixed/CS44\CS44.pdf;Datasheet\/resistors-fixed/CS44\CS44.zip
CS44;Enlarge;400K;100M;;2.0;0.38;100;100;Surface-mount;0404;-55 to +155;No;image/resistors-fixed/60114.png;Datasheet\/resistors-fixed/CS44\CS44.pdf;Datasheet\/resistors-fixed/CS44\CS44.zip
CS44;Enlarge;400K;100M;;2.0;0.38;100;100;Surface-mount;Wire bondable;-55 to +155;No;image/resistors-fixed/60114.png;Datasheet\/resistors-fixed/CS44\CS44.pdf;Datasheet\/resistors-fixed/CS44\CS44.zip
CS44;Enlarge;400K;100M;;2.0;0.38;100;50;Surface-mount;0404;-55 to +155;No;image/resistors-fixed/60114.png;Datasheet\/resistors-fixed/CS44\CS44.pdf;Datasheet\/resistors-fixed/CS44\CS44.zip
CS44;Enlarge;400K;100M;;2.0;0.38;100;50;Surface-mount;Wire bondable;-55 to +155;No;image/resistors-fixed/60114.png;Datasheet\/resistors-fixed/CS44\CS44.pdf;Datasheet\/resistors-fixed/CS44\CS44.zip
CS44;Enlarge;400K;100M;;5.0;0.38;100;100;Surface-mount;0404;-55 to +155;No;image/resistors-fixed/60114.png;Datasheet\/resistors-fixed/CS44\CS44.pdf;Datasheet\/resistors-fixed/CS44\CS44.zip
CS44;Enlarge;400K;100M;;5.0;0.38;100;100;Surface-mount;Wire bondable;-55 to +155;No;image/resistors-fixed/60114.png;Datasheet\/resistors-fixed/CS44\CS44.pdf;Datasheet\/resistors-fixed/CS44\CS44.zip
CS44;Enlarge;400K;100M;;5.0;0.38;100;50;Surface-mount;0404;-55 to +155;No;image/resistors-fixed/60114.png;Datasheet\/resistors-fixed/CS44\CS44.pdf;Datasheet\/resistors-fixed/CS44\CS44.zip
CS44;Enlarge;400K;100M;;5.0;0.38;100;50;Surface-mount;Wire bondable;-55 to +155;No;image/resistors-fixed/60114.png;Datasheet\/resistors-fixed/CS44\CS44.pdf;Datasheet\/resistors-fixed/CS44\CS44.zip
