Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
CW - High Energy;Enlarge;1.5;87.5;;10.0;3;16;30;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30286.png;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.pdf;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.zip
CW - High Energy;Enlarge;1.5;87.5;;10.0;3;16;50;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30286.png;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.pdf;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.zip
CW - High Energy;Enlarge;1.5;87.5;;5.0;3;16;30;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30286.png;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.pdf;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.zip
CW - High Energy;Enlarge;1.5;87.5;;5.0;3;16;50;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30286.png;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.pdf;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.zip
CW - High Energy;Enlarge;15;938;;10.0;10;97;30;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30286.png;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.pdf;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.zip
CW - High Energy;Enlarge;15;938;;10.0;10;97;50;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30286.png;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.pdf;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.zip
CW - High Energy;Enlarge;15;938;;5.0;10;97;30;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30286.png;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.pdf;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.zip
CW - High Energy;Enlarge;15;938;;5.0;10;97;50;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30286.png;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.pdf;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.zip
CW - High Energy;Enlarge;5.5;343.6;;10.0;5;41;30;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30286.png;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.pdf;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.zip
CW - High Energy;Enlarge;5.5;343.6;;10.0;5;41;50;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30286.png;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.pdf;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.zip
CW - High Energy;Enlarge;5.5;343.6;;5.0;5;41;30;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30286.png;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.pdf;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.zip
CW - High Energy;Enlarge;5.5;343.6;;5.0;5;41;50;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30286.png;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.pdf;Datasheet\/resistors-fixed/CW - High Energy\CW - High Energy.zip
