Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
CW - High Surge;Enlarge;0.1;15000;;10.0;3;212;30;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;15000;;10.0;3;212;50;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;15000;;10.0;3;212;90;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;15000;;5.0;3;212;30;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;15000;;5.0;3;212;50;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;15000;;5.0;3;212;90;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;167000;;10.0;10;1292;30;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;167000;;10.0;10;1292;50;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;167000;;10.0;10;1292;90;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;167000;;5.0;10;1292;30;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;167000;;5.0;10;1292;50;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;167000;;5.0;10;1292;90;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;58500;;10.0;5;541;30;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;58500;;10.0;5;541;50;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;58500;;10.0;5;541;90;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;58500;;5.0;5;541;30;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;58500;;5.0;5;541;50;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;58500;;5.0;5;541;90;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;6370;;10.0;1;80;30;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;6370;;10.0;1;80;50;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;6370;;10.0;1;80;90;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;6370;;5.0;1;80;30;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;6370;;5.0;1;80;50;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
CW - High Surge;Enlarge;0.1;6370;;5.0;1;80;90;Through-hole;Axial;-65 to +250;No;image/resistors-fixed/30285.png;Datasheet\/resistors-fixed/CW - High Surge\CW - High Surge.pdf;
