Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
D/CRCW-IF e3;Enlarge;1;100K;E24;10.0;0.063;50;200;Surface-mount;0402;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20024.png;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.pdf;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.zip
D/CRCW-IF e3;Enlarge;1;100K;E24;10.0;0.1;75;200;Surface-mount;0603;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20024.png;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.pdf;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.zip
D/CRCW-IF e3;Enlarge;1;100K;E24;10.0;0.125;150;200;Surface-mount;0805;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20024.png;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.pdf;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.zip
D/CRCW-IF e3;Enlarge;1;100K;E24;10.0;0.25;200;200;Surface-mount;1206;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20024.png;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.pdf;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.zip
D/CRCW-IF e3;Enlarge;1;100K;E24;10.0;0.5;200;200;Surface-mount;1210;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20024.png;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.pdf;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.zip
D/CRCW-IF e3;Enlarge;1;100K;E24;10.0;0.75;400;200;Surface-mount;2010;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20024.png;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.pdf;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.zip
D/CRCW-IF e3;Enlarge;1;100K;E24;10.0;1;500;200;Surface-mount;2512;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20024.png;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.pdf;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.zip
D/CRCW-IF e3;Enlarge;1;100K;E24;5.0;0.063;50;200;Surface-mount;0402;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20024.png;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.pdf;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.zip
D/CRCW-IF e3;Enlarge;1;100K;E24;5.0;0.1;75;200;Surface-mount;0603;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20024.png;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.pdf;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.zip
D/CRCW-IF e3;Enlarge;1;100K;E24;5.0;0.125;150;200;Surface-mount;0805;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20024.png;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.pdf;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.zip
D/CRCW-IF e3;Enlarge;1;100K;E24;5.0;0.25;200;200;Surface-mount;1206;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20024.png;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.pdf;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.zip
D/CRCW-IF e3;Enlarge;1;100K;E24;5.0;0.5;200;200;Surface-mount;1210;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20024.png;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.pdf;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.zip
D/CRCW-IF e3;Enlarge;1;100K;E24;5.0;0.75;400;200;Surface-mount;2010;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20024.png;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.pdf;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.zip
D/CRCW-IF e3;Enlarge;1;100K;E24;5.0;1;500;200;Surface-mount;2512;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20024.png;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.pdf;Datasheet\/resistors-fixed/D/CRCW-IF e3\D/CRCW-IF e3.zip
