Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
D/CRCW-P;Enlarge;100;10M;E24;0.5;0.1;75;50;Surface-mount;0603;-55 to +155;No;image/resistors-fixed/20009.png;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.pdf;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.zip
D/CRCW-P;Enlarge;100;10M;E24;0.5;0.125;150;50;Surface-mount;0805;-55 to +155;No;image/resistors-fixed/20009.png;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.pdf;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.zip
D/CRCW-P;Enlarge;100;10M;E24;0.5;0.25;200;50;Surface-mount;1206;-55 to +155;No;image/resistors-fixed/20009.png;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.pdf;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.zip
D/CRCW-P;Enlarge;100;10M;E24;1.0;0.1;75;50;Surface-mount;0603;-55 to +155;No;image/resistors-fixed/20009.png;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.pdf;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.zip
D/CRCW-P;Enlarge;100;10M;E24;1.0;0.125;150;50;Surface-mount;0805;-55 to +155;No;image/resistors-fixed/20009.png;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.pdf;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.zip
D/CRCW-P;Enlarge;100;10M;E24;1.0;0.25;200;50;Surface-mount;1206;-55 to +155;No;image/resistors-fixed/20009.png;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.pdf;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.zip
D/CRCW-P;Enlarge;100;1M;E24;0.5;0.063;50;50;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/20009.png;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.pdf;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.zip
D/CRCW-P;Enlarge;100;1M;E24;1.0;0.063;50;50;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/20009.png;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.pdf;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.zip
D/CRCW-P;Enlarge;100;10M;E96;0.5;0.1;75;50;Surface-mount;0603;-55 to +155;No;image/resistors-fixed/20009.png;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.pdf;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.zip
D/CRCW-P;Enlarge;100;10M;E96;0.5;0.125;150;50;Surface-mount;0805;-55 to +155;No;image/resistors-fixed/20009.png;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.pdf;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.zip
D/CRCW-P;Enlarge;100;10M;E96;0.5;0.25;200;50;Surface-mount;1206;-55 to +155;No;image/resistors-fixed/20009.png;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.pdf;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.zip
D/CRCW-P;Enlarge;100;10M;E96;1.0;0.1;75;50;Surface-mount;0603;-55 to +155;No;image/resistors-fixed/20009.png;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.pdf;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.zip
D/CRCW-P;Enlarge;100;10M;E96;1.0;0.125;150;50;Surface-mount;0805;-55 to +155;No;image/resistors-fixed/20009.png;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.pdf;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.zip
D/CRCW-P;Enlarge;100;10M;E96;1.0;0.25;200;50;Surface-mount;1206;-55 to +155;No;image/resistors-fixed/20009.png;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.pdf;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.zip
D/CRCW-P;Enlarge;100;1M;E96;0.5;0.063;50;50;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/20009.png;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.pdf;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.zip
D/CRCW-P;Enlarge;100;1M;E96;1.0;0.063;50;50;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/20009.png;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.pdf;Datasheet\/resistors-fixed/D/CRCW-P\D/CRCW-P.zip
