Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
D2TO35;Enlarge;0.01;0.043;E24;10.0;35;500;1100;Surface-mount;TO-263;-55 to +175;Vishay Automotive Grade;image/resistors-fixed/51058.png;Datasheet\/resistors-fixed/D2TO35\D2TO35.pdf;Datasheet\/resistors-fixed/D2TO35\D2TO35.zip
D2TO35;Enlarge;0.01;0.043;E24;5.0;35;500;1100;Surface-mount;TO-263;-55 to +175;Vishay Automotive Grade;image/resistors-fixed/51058.png;Datasheet\/resistors-fixed/D2TO35\D2TO35.pdf;Datasheet\/resistors-fixed/D2TO35\D2TO35.zip
D2TO35;Enlarge;0.01;0.0442;E24;1.0;35;500;1100;Surface-mount;TO-263;-55 to +175;Vishay Automotive Grade;image/resistors-fixed/51058.png;Datasheet\/resistors-fixed/D2TO35\D2TO35.pdf;Datasheet\/resistors-fixed/D2TO35\D2TO35.zip
D2TO35;Enlarge;0.01;0.0442;E24;2.0;35;500;1100;Surface-mount;TO-263;-55 to +175;Vishay Automotive Grade;image/resistors-fixed/51058.png;Datasheet\/resistors-fixed/D2TO35\D2TO35.pdf;Datasheet\/resistors-fixed/D2TO35\D2TO35.zip
D2TO35;Enlarge;0.045;0.091;E24;10.0;35;500;700;Surface-mount;TO-263;-55 to +175;Vishay Automotive Grade;image/resistors-fixed/51058.png;Datasheet\/resistors-fixed/D2TO35\D2TO35.pdf;Datasheet\/resistors-fixed/D2TO35\D2TO35.zip
D2TO35;Enlarge;0.045;0.091;E24;5.0;35;500;700;Surface-mount;TO-263;-55 to +175;Vishay Automotive Grade;image/resistors-fixed/51058.png;Datasheet\/resistors-fixed/D2TO35\D2TO35.pdf;Datasheet\/resistors-fixed/D2TO35\D2TO35.zip
D2TO35;Enlarge;0.045;0.976;E24;1.0;35;500;700;Surface-mount;TO-263;-55 to +175;Vishay Automotive Grade;image/resistors-fixed/51058.png;Datasheet\/resistors-fixed/D2TO35\D2TO35.pdf;Datasheet\/resistors-fixed/D2TO35\D2TO35.zip
D2TO35;Enlarge;0.045;0.976;E24;2.0;35;500;700;Surface-mount;TO-263;-55 to +175;Vishay Automotive Grade;image/resistors-fixed/51058.png;Datasheet\/resistors-fixed/D2TO35\D2TO35.pdf;Datasheet\/resistors-fixed/D2TO35\D2TO35.zip
D2TO35;Enlarge;0.1;0.453;E24;1.0;35;500;250;Surface-mount;TO-263;-55 to +175;Vishay Automotive Grade;image/resistors-fixed/51058.png;Datasheet\/resistors-fixed/D2TO35\D2TO35.pdf;Datasheet\/resistors-fixed/D2TO35\D2TO35.zip
D2TO35;Enlarge;0.1;0.453;E24;2.0;35;500;250;Surface-mount;TO-263;-55 to +175;Vishay Automotive Grade;image/resistors-fixed/51058.png;Datasheet\/resistors-fixed/D2TO35\D2TO35.pdf;Datasheet\/resistors-fixed/D2TO35\D2TO35.zip
D2TO35;Enlarge;0.1;0.47;E24;10.0;35;500;250;Surface-mount;TO-263;-55 to +175;Vishay Automotive Grade;image/resistors-fixed/51058.png;Datasheet\/resistors-fixed/D2TO35\D2TO35.pdf;Datasheet\/resistors-fixed/D2TO35\D2TO35.zip
D2TO35;Enlarge;0.1;0.47;E24;5.0;35;500;250;Surface-mount;TO-263;-55 to +175;Vishay Automotive Grade;image/resistors-fixed/51058.png;Datasheet\/resistors-fixed/D2TO35\D2TO35.pdf;Datasheet\/resistors-fixed/D2TO35\D2TO35.zip
D2TO35;Enlarge;0.5;550K;E24;1.0;35;500;150;Surface-mount;TO-263;-55 to +175;Vishay Automotive Grade;image/resistors-fixed/51058.png;Datasheet\/resistors-fixed/D2TO35\D2TO35.pdf;Datasheet\/resistors-fixed/D2TO35\D2TO35.zip
D2TO35;Enlarge;0.5;550K;E24;10.0;35;500;150;Surface-mount;TO-263;-55 to +175;Vishay Automotive Grade;image/resistors-fixed/51058.png;Datasheet\/resistors-fixed/D2TO35\D2TO35.pdf;Datasheet\/resistors-fixed/D2TO35\D2TO35.zip
D2TO35;Enlarge;0.5;550K;E24;2.0;35;500;150;Surface-mount;TO-263;-55 to +175;Vishay Automotive Grade;image/resistors-fixed/51058.png;Datasheet\/resistors-fixed/D2TO35\D2TO35.pdf;Datasheet\/resistors-fixed/D2TO35\D2TO35.zip
D2TO35;Enlarge;0.5;550K;E24;5.0;35;500;150;Surface-mount;TO-263;-55 to +175;Vishay Automotive Grade;image/resistors-fixed/51058.png;Datasheet\/resistors-fixed/D2TO35\D2TO35.pdf;Datasheet\/resistors-fixed/D2TO35\D2TO35.zip
