Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
DLA Moisture Resistant Chip Resistor;Enlarge;10;1.75M;E192;0.1;0.225;175;100;Surface-mount;2208;-55 to +155;No;image/resistors-fixed/60163.png;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.pdf;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.zip
DLA Moisture Resistant Chip Resistor;Enlarge;10;1.75M;E192;0.1;0.225;175;25;Surface-mount;2208;-55 to +155;No;image/resistors-fixed/60163.png;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.pdf;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.zip
DLA Moisture Resistant Chip Resistor;Enlarge;10;1.75M;E192;0.1;0.225;175;300;Surface-mount;2208;-55 to +155;No;image/resistors-fixed/60163.png;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.pdf;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.zip
DLA Moisture Resistant Chip Resistor;Enlarge;10;1.75M;E192;0.1;0.225;175;50;Surface-mount;2208;-55 to +155;No;image/resistors-fixed/60163.png;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.pdf;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.zip
DLA Moisture Resistant Chip Resistor;Enlarge;10;1.75M;E192;1.0;0.225;175;100;Surface-mount;2208;-55 to +155;No;image/resistors-fixed/60163.png;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.pdf;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.zip
DLA Moisture Resistant Chip Resistor;Enlarge;10;1.75M;E192;1.0;0.225;175;25;Surface-mount;2208;-55 to +155;No;image/resistors-fixed/60163.png;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.pdf;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.zip
DLA Moisture Resistant Chip Resistor;Enlarge;10;1.75M;E192;1.0;0.225;175;300;Surface-mount;2208;-55 to +155;No;image/resistors-fixed/60163.png;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.pdf;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.zip
DLA Moisture Resistant Chip Resistor;Enlarge;10;1.75M;E192;1.0;0.225;175;50;Surface-mount;2208;-55 to +155;No;image/resistors-fixed/60163.png;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.pdf;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.zip
DLA Moisture Resistant Chip Resistor;Enlarge;10;1.75M;E192;10.0;0.225;175;100;Surface-mount;2208;-55 to +155;No;image/resistors-fixed/60163.png;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.pdf;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.zip
DLA Moisture Resistant Chip Resistor;Enlarge;10;1.75M;E192;10.0;0.225;175;25;Surface-mount;2208;-55 to +155;No;image/resistors-fixed/60163.png;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.pdf;Datasheet\/resistors-fixed/DLA Moisture Resistant Chip Resistor\DLA Moisture Resistant Chip Resistor.zip
