Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
EDGF, EDGA;Enlarge;0.053;1.23;;10.0;400;22.2;130;Off-board;A;390;No;image/resistors-fixed/31831.png;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.pdf;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.zip
EDGF, EDGA;Enlarge;0.053;1.23;;10.0;400;22.2;130;Off-board;F;390;No;image/resistors-fixed/31831.png;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.pdf;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.zip
EDGF, EDGA;Enlarge;0.053;1.23;;10.0;400;22.2;180;Off-board;A;390;No;image/resistors-fixed/31831.png;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.pdf;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.zip
EDGF, EDGA;Enlarge;0.053;1.23;;10.0;400;22.2;180;Off-board;F;390;No;image/resistors-fixed/31831.png;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.pdf;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.zip
EDGF, EDGA;Enlarge;0.053;1.23;;10.0;400;22.2;20;Off-board;A;390;No;image/resistors-fixed/31831.png;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.pdf;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.zip
EDGF, EDGA;Enlarge;0.053;1.23;;10.0;400;22.2;20;Off-board;F;390;No;image/resistors-fixed/31831.png;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.pdf;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.zip
EDGF, EDGA;Enlarge;0.053;1.23;;10.0;400;22.2;400;Off-board;A;390;No;image/resistors-fixed/31831.png;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.pdf;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.zip
EDGF, EDGA;Enlarge;0.053;1.23;;10.0;400;22.2;400;Off-board;F;390;No;image/resistors-fixed/31831.png;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.pdf;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.zip
EDGF, EDGA;Enlarge;0.115;2.64;;10.0;800;46;130;Off-board;A;390;No;image/resistors-fixed/31831.png;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.pdf;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.zip
EDGF, EDGA;Enlarge;0.115;2.64;;10.0;800;46;130;Off-board;F;390;No;image/resistors-fixed/31831.png;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.pdf;Datasheet\/resistors-fixed/EDGF, EDGA\EDGF, EDGA.zip
