Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
ERC Industrial;Enlarge;10;2M;;0.1;0.125;200;100;Through-hole;Axial;-65 to +175;No;image/resistors-fixed/31104.png;Datasheet\/resistors-fixed/ERC Industrial\ERC Industrial.pdf;
ERC Industrial;Enlarge;10;2M;;0.1;0.125;200;25;Through-hole;Axial;-65 to +175;No;image/resistors-fixed/31104.png;Datasheet\/resistors-fixed/ERC Industrial\ERC Industrial.pdf;
ERC Industrial;Enlarge;10;2M;;0.1;0.125;200;50;Through-hole;Axial;-65 to +175;No;image/resistors-fixed/31104.png;Datasheet\/resistors-fixed/ERC Industrial\ERC Industrial.pdf;
ERC Industrial;Enlarge;10;2M;;0.5;0.125;200;100;Through-hole;Axial;-65 to +175;No;image/resistors-fixed/31104.png;Datasheet\/resistors-fixed/ERC Industrial\ERC Industrial.pdf;
ERC Industrial;Enlarge;10;2M;;0.5;0.125;200;25;Through-hole;Axial;-65 to +175;No;image/resistors-fixed/31104.png;Datasheet\/resistors-fixed/ERC Industrial\ERC Industrial.pdf;
ERC Industrial;Enlarge;10;2M;;0.5;0.125;200;50;Through-hole;Axial;-65 to +175;No;image/resistors-fixed/31104.png;Datasheet\/resistors-fixed/ERC Industrial\ERC Industrial.pdf;
ERC Industrial;Enlarge;10;2M;;1.0;0.125;200;100;Through-hole;Axial;-65 to +175;No;image/resistors-fixed/31104.png;Datasheet\/resistors-fixed/ERC Industrial\ERC Industrial.pdf;
ERC Industrial;Enlarge;10;2M;;1.0;0.125;200;25;Through-hole;Axial;-65 to +175;No;image/resistors-fixed/31104.png;Datasheet\/resistors-fixed/ERC Industrial\ERC Industrial.pdf;
ERC Industrial;Enlarge;10;2M;;1.0;0.125;200;50;Through-hole;Axial;-65 to +175;No;image/resistors-fixed/31104.png;Datasheet\/resistors-fixed/ERC Industrial\ERC Industrial.pdf;
ERC Industrial;Enlarge;10;3.01M;;0.1;0.25;250;100;Through-hole;Axial;-65 to +175;No;image/resistors-fixed/31104.png;Datasheet\/resistors-fixed/ERC Industrial\ERC Industrial.pdf;
