Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
ERL Industrial;Enlarge;1;10M;;1.0;0.25;250;100;Through-hole;Axial;-65 to +150;No;image/resistors-fixed/31105.png;Datasheet\/resistors-fixed/ERL Industrial\ERL Industrial.pdf;
ERL Industrial;Enlarge;1;10M;;2.0;0.25;250;100;Through-hole;Axial;-65 to +150;No;image/resistors-fixed/31105.png;Datasheet\/resistors-fixed/ERL Industrial\ERL Industrial.pdf;
ERL Industrial;Enlarge;1;2.7M;;1.0;1;500;100;Through-hole;Axial;-65 to +150;No;image/resistors-fixed/31105.png;Datasheet\/resistors-fixed/ERL Industrial\ERL Industrial.pdf;
ERL Industrial;Enlarge;1;2.7M;;2.0;1;500;100;Through-hole;Axial;-65 to +150;No;image/resistors-fixed/31105.png;Datasheet\/resistors-fixed/ERL Industrial\ERL Industrial.pdf;
ERL Industrial;Enlarge;1.1M;22M;;10.0;0.125;200;200;Through-hole;Axial;-65 to +150;No;image/resistors-fixed/31105.png;Datasheet\/resistors-fixed/ERL Industrial\ERL Industrial.pdf;
ERL Industrial;Enlarge;1.1M;22M;;2.0;0.125;200;200;Through-hole;Axial;-65 to +150;No;image/resistors-fixed/31105.png;Datasheet\/resistors-fixed/ERL Industrial\ERL Industrial.pdf;
ERL Industrial;Enlarge;1.1M;22M;;5.0;0.125;200;200;Through-hole;Axial;-65 to +150;No;image/resistors-fixed/31105.png;Datasheet\/resistors-fixed/ERL Industrial\ERL Industrial.pdf;
ERL Industrial;Enlarge;10;2.7M;;1.0;2;500;100;Through-hole;Axial;-65 to +150;No;image/resistors-fixed/31105.png;Datasheet\/resistors-fixed/ERL Industrial\ERL Industrial.pdf;
ERL Industrial;Enlarge;10;2.7M;;10.0;2;500;100;Through-hole;Axial;-65 to +150;No;image/resistors-fixed/31105.png;Datasheet\/resistors-fixed/ERL Industrial\ERL Industrial.pdf;
ERL Industrial;Enlarge;10;2.7M;;2.0;2;500;100;Through-hole;Axial;-65 to +150;No;image/resistors-fixed/31105.png;Datasheet\/resistors-fixed/ERL Industrial\ERL Industrial.pdf;
