Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
FCHP;Enlarge;50;100;E192;0.1;1;30;100;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E192;0.1;1;30;25;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E192;0.1;1;30;50;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E192;0.5;1;30;100;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E192;0.5;1;30;25;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E192;0.5;1;30;50;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E192;1.0;1;30;100;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E192;1.0;1;30;25;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E192;1.0;1;30;50;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E192;2.0;1;30;100;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E192;2.0;1;30;25;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E192;2.0;1;30;50;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E192;5.0;1;30;100;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E192;5.0;1;30;25;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E192;5.0;1;30;50;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E24;0.1;1;30;100;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E24;0.1;1;30;25;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E24;0.1;1;30;50;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E24;0.5;1;30;100;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E24;0.5;1;30;25;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E24;0.5;1;30;50;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E24;1.0;1;30;100;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E24;1.0;1;30;25;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E24;1.0;1;30;50;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E24;2.0;1;30;100;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E24;2.0;1;30;25;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E24;2.0;1;30;50;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
FCHP;Enlarge;50;100;E24;5.0;1;30;100;Surface-mount;0402;-55 to +155;No;image/resistors-fixed/60162.png;Datasheet\/resistors-fixed/FCHP\FCHP.pdf;Datasheet\/resistors-fixed/FCHP\FCHP.zip
