Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
FDG, FDK, FDP;Enlarge;0.1;10K;E12;5.0;3;100;+100 to +180;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/21046.png;Datasheet\/resistors-fixed/FDG, FDK, FDP\FDG, FDK, FDP.pdf;
FDG, FDK, FDP;Enlarge;0.1;10K;E12;5.0;3.5;100;+100 to +180;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/21046.png;Datasheet\/resistors-fixed/FDG, FDK, FDP\FDG, FDK, FDP.pdf;
FDG, FDK, FDP;Enlarge;0.1;39K;E12;5.0;5.5;200;+100 to +180;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/21046.png;Datasheet\/resistors-fixed/FDG, FDK, FDP\FDG, FDK, FDP.pdf;
FDG, FDK, FDP;Enlarge;0.1;39K;E12;5.0;6.5;200;+100 to +180;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/21046.png;Datasheet\/resistors-fixed/FDG, FDK, FDP\FDG, FDK, FDP.pdf;
FDG, FDK, FDP;Enlarge;0.15;68K;E12;5.0;10;350;+100 to +180;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/21046.png;Datasheet\/resistors-fixed/FDG, FDK, FDP\FDG, FDK, FDP.pdf;
FDG, FDK, FDP;Enlarge;0.15;68K;E12;5.0;11.5;350;+100 to +180;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/21046.png;Datasheet\/resistors-fixed/FDG, FDK, FDP\FDG, FDK, FDP.pdf;
FDG, FDK, FDP;Enlarge;0.1;10K;E24;2.0;3;100;+100 to +180;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/21046.png;Datasheet\/resistors-fixed/FDG, FDK, FDP\FDG, FDK, FDP.pdf;
FDG, FDK, FDP;Enlarge;0.1;10K;E24;2.0;3.5;100;+100 to +180;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/21046.png;Datasheet\/resistors-fixed/FDG, FDK, FDP\FDG, FDK, FDP.pdf;
FDG, FDK, FDP;Enlarge;0.1;22K;E24;2.0;5.5;200;+100 to +180;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/21046.png;Datasheet\/resistors-fixed/FDG, FDK, FDP\FDG, FDK, FDP.pdf;
FDG, FDK, FDP;Enlarge;0.1;22K;E24;2.0;6.5;200;+100 to +180;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/21046.png;Datasheet\/resistors-fixed/FDG, FDK, FDP\FDG, FDK, FDP.pdf;
FDG, FDK, FDP;Enlarge;0.15;33K;E24;2.0;10;350;+100 to +180;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/21046.png;Datasheet\/resistors-fixed/FDG, FDK, FDP\FDG, FDK, FDP.pdf;
FDG, FDK, FDP;Enlarge;0.15;33K;E24;2.0;11.5;350;+100 to +180;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/21046.png;Datasheet\/resistors-fixed/FDG, FDK, FDP\FDG, FDK, FDP.pdf;
