Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
FSOT, FSOT...XX Flat;Enlarge;0.1;11000;;10.0;30;574;30;Through-hole;;-55 to +350;No;image/resistors-fixed/30337.png;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.pdf;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.zip
FSOT, FSOT...XX Flat;Enlarge;0.1;11000;;10.0;30;574;50;Through-hole;;-55 to +350;No;image/resistors-fixed/30337.png;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.pdf;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.zip
FSOT, FSOT...XX Flat;Enlarge;0.1;11000;;10.0;30;574;90;Through-hole;;-55 to +350;No;image/resistors-fixed/30337.png;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.pdf;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.zip
FSOT, FSOT...XX Flat;Enlarge;0.1;11000;;5.0;30;574;30;Through-hole;;-55 to +350;No;image/resistors-fixed/30337.png;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.pdf;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.zip
FSOT, FSOT...XX Flat;Enlarge;0.1;11000;;5.0;30;574;50;Through-hole;;-55 to +350;No;image/resistors-fixed/30337.png;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.pdf;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.zip
FSOT, FSOT...XX Flat;Enlarge;0.1;11000;;5.0;30;574;90;Through-hole;;-55 to +350;No;image/resistors-fixed/30337.png;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.pdf;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.zip
FSOT, FSOT...XX Flat;Enlarge;0.1;1200;;10.0;30;190;30;Through-hole;;-55 to +350;No;image/resistors-fixed/30337.png;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.pdf;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.zip
FSOT, FSOT...XX Flat;Enlarge;0.1;1200;;10.0;30;190;50;Through-hole;;-55 to +350;No;image/resistors-fixed/30337.png;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.pdf;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.zip
FSOT, FSOT...XX Flat;Enlarge;0.1;1200;;10.0;30;190;90;Through-hole;;-55 to +350;No;image/resistors-fixed/30337.png;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.pdf;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.zip
FSOT, FSOT...XX Flat;Enlarge;0.1;1200;;10.0;30;219;30;Through-hole;;-55 to +350;No;image/resistors-fixed/30337.png;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.pdf;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.zip
FSOT, FSOT...XX Flat;Enlarge;0.1;1200;;10.0;30;219;50;Through-hole;;-55 to +350;No;image/resistors-fixed/30337.png;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.pdf;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.zip
FSOT, FSOT...XX Flat;Enlarge;0.1;1200;;10.0;30;219;90;Through-hole;;-55 to +350;No;image/resistors-fixed/30337.png;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.pdf;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.zip
FSOT, FSOT...XX Flat;Enlarge;0.1;1200;;5.0;30;190;30;Through-hole;;-55 to +350;No;image/resistors-fixed/30337.png;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.pdf;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.zip
FSOT, FSOT...XX Flat;Enlarge;0.1;1200;;5.0;30;190;50;Through-hole;;-55 to +350;No;image/resistors-fixed/30337.png;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.pdf;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.zip
FSOT, FSOT...XX Flat;Enlarge;0.1;1200;;5.0;30;190;90;Through-hole;;-55 to +350;No;image/resistors-fixed/30337.png;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.pdf;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.zip
FSOT, FSOT...XX Flat;Enlarge;0.1;1200;;5.0;30;219;30;Through-hole;;-55 to +350;No;image/resistors-fixed/30337.png;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.pdf;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.zip
FSOT, FSOT...XX Flat;Enlarge;0.1;1200;;5.0;30;219;50;Through-hole;;-55 to +350;No;image/resistors-fixed/30337.png;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.pdf;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.zip
FSOT, FSOT...XX Flat;Enlarge;0.1;1200;;5.0;30;219;90;Through-hole;;-55 to +350;No;image/resistors-fixed/30337.png;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.pdf;Datasheet\/resistors-fixed/FSOT, FSOT...XX Flat\FSOT, FSOT...XX Flat.zip
