Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
FSTL, FSTS, FSWL;Enlarge;0.1;10250;;10.0;5;226;260;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;10250;;10.0;5;226;400;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;10250;;10.0;8;286;260;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;10250;;10.0;8;286;260;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;10250;;10.0;8;286;400;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;10250;;10.0;8;286;400;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;10250;;5.0;5;226;260;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;10250;;5.0;5;226;400;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;10250;;5.0;8;286;260;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;10250;;5.0;8;286;260;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;10250;;5.0;8;286;400;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;10250;;5.0;8;286;400;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;14500;;10.0;10;381;260;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;14500;;10.0;10;381;400;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;14500;;5.0;10;381;260;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;14500;;5.0;10;381;400;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;15000;;10.0;5.25;281;260;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;15000;;10.0;5.25;281;260;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;15000;;10.0;5.25;281;400;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;15000;;10.0;5.25;281;400;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;15000;;5.0;5.25;281;260;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;15000;;5.0;5.25;281;260;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;15000;;5.0;5.25;281;400;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;15000;;5.0;5.25;281;400;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;20500;;10.0;5;320;260;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;20500;;10.0;5;320;400;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;20500;;10.0;8;405;260;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;20500;;10.0;8;405;260;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;20500;;10.0;8;405;400;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;20500;;10.0;8;405;400;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;20500;;5.0;5;320;260;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;20500;;5.0;5;320;400;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;20500;;5.0;8;405;260;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;20500;;5.0;8;405;260;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;20500;;5.0;8;405;400;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;20500;;5.0;8;405;400;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;29000;;10.0;10;539;260;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;29000;;10.0;10;539;400;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;29000;;10.0;12;590;260;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;29000;;10.0;12;590;260;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;29000;;10.0;12;590;400;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;29000;;10.0;12;590;400;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;29000;;5.0;10;539;260;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;29000;;5.0;10;539;400;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;29000;;5.0;12;590;260;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;29000;;5.0;12;590;260;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;29000;;5.0;12;590;400;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;29000;;5.0;12;590;400;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;30000;;10.0;15;671;260;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;30000;;10.0;15;671;260;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;30000;;10.0;15;671;400;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;30000;;10.0;15;671;400;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;30000;;5.0;15;671;260;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;30000;;5.0;15;671;260;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;30000;;5.0;15;671;400;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;30000;;5.0;15;671;400;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;47500;;10.0;20;975;260;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;47500;;10.0;20;975;260;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;47500;;10.0;20;975;400;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;47500;;10.0;20;975;400;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;47500;;5.0;20;975;260;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;47500;;5.0;20;975;260;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;47500;;5.0;20;975;400;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;47500;;5.0;20;975;400;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;58000;;10.0;12;834;260;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;58000;;10.0;12;834;260;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;58000;;10.0;12;834;400;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;58000;;10.0;12;834;400;Through-hole;Radial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
FSTL, FSTS, FSWL;Enlarge;0.1;58000;;5.0;12;834;260;Through-hole;Axial;-55 to +350;No;image/resistors-fixed/31839.png;Datasheet\/resistors-fixed/FSTL, FSTS, FSWL\FSTL, FSTS, FSWL.pdf;
