Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
FVOT;Enlarge;0.1;15000;;10.0;10;387;260;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;15000;;10.0;10;387;400;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;15000;;5.0;10;387;260;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;15000;;5.0;10;387;400;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;1800;;10.0;10;134;260;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;1800;;10.0;10;134;400;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;1800;;5.0;10;134;260;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;1800;;5.0;10;134;400;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;26000;;10.0;15;624;260;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;26000;;10.0;15;624;400;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;26000;;5.0;15;624;260;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;26000;;5.0;15;624;400;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;3600;;10.0;15;232;260;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;3600;;10.0;15;232;400;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;3600;;5.0;15;232;260;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;3600;;5.0;15;232;400;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;71000;;10.0;20;1192;260;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;71000;;10.0;20;1192;400;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;71000;;5.0;20;1192;260;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;71000;;5.0;20;1192;400;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;9800;;10.0;20;443;260;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;9800;;10.0;20;443;400;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;9800;;5.0;20;443;260;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
FVOT;Enlarge;0.1;9800;;5.0;20;443;400;Through-hole;;-55 to +350;No;image/resistors-fixed/31848.png;Datasheet\/resistors-fixed/FVOT\FVOT.pdf;Datasheet\/resistors-fixed/FVOT\FVOT.zip
