Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
GBS, GBS E;Enlarge;0.1;0.43;E12;10.0;150;;+650 to +750;Other;37 x 100;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.1;0.43;E12;10.0;90;;+650 to +750;Other;37 x 100;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.13;0.51;E12;10.0;50;;+650 to +750;Other;24 x 100;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.13;0.51;E12;10.0;80;;+650 to +750;Other;24 x 100;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.15;0.62;E12;10.0;120;;+650 to +750;Other;37 x 133;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.15;0.62;E12;10.0;200;;+650 to +750;Other;37 x 133;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.2;0.91;E12;10.0;150;;+650 to +750;Other;37 x 165;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.2;0.91;E12;10.0;250;;+650 to +750;Other;37 x 165;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.27;1;E12;10.0;100;;+650 to +750;Other;24 x 165;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.27;1;E12;10.0;160;;+650 to +750;Other;24 x 165;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.27;1.1;E12;10.0;200;;+650 to +750;Other;37 x 215;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.27;1.1;E12;10.0;300;;+650 to +750;Other;37 x 215;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.3;1.3;E12;10.0;250;;+650 to +750;Other;37 x 265;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.3;1.3;E12;10.0;375;;+650 to +750;Other;37 x 265;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.39;1.8;E12;10.0;350;;+650 to +750;Other;37 x 330;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.39;1.8;E12;10.0;450;;+650 to +750;Other;37 x 330;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.47;1.8;E12;10.0;180;;+650 to +750;Other;24 x 265;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.47;1.8;E12;10.0;300;;+650 to +750;Other;24 x 265;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.47;3.3;E12;10.0;150;;-10 to -80;Other;37 x 100;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.47;3.3;E12;10.0;90;;-10 to -80;Other;37 x 100;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.56;2.2;E12;10.0;50;;-10 to -80;Other;24 x 100;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.56;2.2;E12;10.0;80;;-10 to -80;Other;24 x 100;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
GBS, GBS E;Enlarge;0.68;5.1;E12;10.0;120;;-10 to -80;Other;37 x 133;-55 to +350;No;image/resistors-fixed/21004.png;Datasheet\/resistors-fixed/GBS, GBS E\GBS, GBS E.pdf;
