Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
GWK, GWK Ni;Enlarge;1.8;16K;E12;10.0;10;280;+100 to +180;Other;7 x 46;-55 to +350;No;image/resistors-fixed/21006.png;Datasheet\/resistors-fixed/GWK, GWK Ni\GWK, GWK Ni.pdf;
GWK, GWK Ni;Enlarge;100;43K;E12;10.0;180;4000;+100 to +180;Other;22 x 266;-55 to +350;No;image/resistors-fixed/21006.png;Datasheet\/resistors-fixed/GWK, GWK Ni\GWK, GWK Ni.pdf;
GWK, GWK Ni;Enlarge;12;110K;E12;10.0;100;1600;+100 to +180;Other;22 x 121;-55 to +350;No;image/resistors-fixed/21006.png;Datasheet\/resistors-fixed/GWK, GWK Ni\GWK, GWK Ni.pdf;
GWK, GWK Ni;Enlarge;13;5.1K;E12;10.0;25;850;+100 to +180;Other;15 x 81;-55 to +350;No;image/resistors-fixed/21006.png;Datasheet\/resistors-fixed/GWK, GWK Ni\GWK, GWK Ni.pdf;
GWK, GWK Ni;Enlarge;2.2;27K;E12;10.0;20;400;+100 to +180;Other;12 x 51;-55 to +350;No;image/resistors-fixed/21006.png;Datasheet\/resistors-fixed/GWK, GWK Ni\GWK, GWK Ni.pdf;
GWK, GWK Ni;Enlarge;2.4;1K;E12;10.0;7;280;+100 to +180;Other;7 x 46;-55 to +350;No;image/resistors-fixed/21006.png;Datasheet\/resistors-fixed/GWK, GWK Ni\GWK, GWK Ni.pdf;
GWK, GWK Ni;Enlarge;20;180K;E12;10.0;160;2300;+100 to +180;Other;22 x 166;-55 to +350;No;image/resistors-fixed/21006.png;Datasheet\/resistors-fixed/GWK, GWK Ni\GWK, GWK Ni.pdf;
GWK, GWK Ni;Enlarge;27;10K;E12;10.0;50;1200;+100 to +180;Other;22 x 101;-55 to +350;No;image/resistors-fixed/21006.png;Datasheet\/resistors-fixed/GWK, GWK Ni\GWK, GWK Ni.pdf;
GWK, GWK Ni;Enlarge;3.3;43K;E12;10.0;30;580;+100 to +180;Other;15 x 61;-55 to +350;No;image/resistors-fixed/21006.png;Datasheet\/resistors-fixed/GWK, GWK Ni\GWK, GWK Ni.pdf;
GWK, GWK Ni;Enlarge;36;15K;E12;10.0;60;1600;+100 to +180;Other;22 x 121;-55 to +350;No;image/resistors-fixed/21006.png;Datasheet\/resistors-fixed/GWK, GWK Ni\GWK, GWK Ni.pdf;
GWK, GWK Ni;Enlarge;36;330K;E12;10.0;260;4000;+100 to +180;Other;22 x 266;-55 to +350;No;image/resistors-fixed/21006.png;Datasheet\/resistors-fixed/GWK, GWK Ni\GWK, GWK Ni.pdf;
GWK, GWK Ni;Enlarge;4.7;1.8K;E12;10.0;13;400;+100 to +180;Other;12 x 51;-55 to +350;No;image/resistors-fixed/21006.png;Datasheet\/resistors-fixed/GWK, GWK Ni\GWK, GWK Ni.pdf;
GWK, GWK Ni;Enlarge;56;22K;E12;10.0;100;2300;+100 to +180;Other;22 x 166;-55 to +350;No;image/resistors-fixed/21006.png;Datasheet\/resistors-fixed/GWK, GWK Ni\GWK, GWK Ni.pdf;
GWK, GWK Ni;Enlarge;6.2;82K;E12;10.0;40;850;+100 to +180;Other;15 x 81;-55 to +350;No;image/resistors-fixed/21006.png;Datasheet\/resistors-fixed/GWK, GWK Ni\GWK, GWK Ni.pdf;
GWK, GWK Ni;Enlarge;6.8;2.7K;E12;10.0;20;580;+100 to +180;Other;15 x 61;-55 to +350;No;image/resistors-fixed/21006.png;Datasheet\/resistors-fixed/GWK, GWK Ni\GWK, GWK Ni.pdf;
GWK, GWK Ni;Enlarge;8.2;82K;E12;10.0;80;1200;+100 to +180;Other;22 x 101;-55 to +350;No;image/resistors-fixed/21006.png;Datasheet\/resistors-fixed/GWK, GWK Ni\GWK, GWK Ni.pdf;
GWK, GWK Ni;Enlarge;100;43K;E24;5.0;180;4000;+100 to +180;Other;22 x 266;-55 to +350;No;image/resistors-fixed/21006.png;Datasheet\/resistors-fixed/GWK, GWK Ni\GWK, GWK Ni.pdf;
GWK, GWK Ni;Enlarge;12;110K;E24;5.0;100;1600;+100 to +180;Other;22 x 121;-55 to +350;No;image/resistors-fixed/21006.png;Datasheet\/resistors-fixed/GWK, GWK Ni\GWK, GWK Ni.pdf;
GWK, GWK Ni;Enlarge;12;27K;E24;5.0;20;400;+100 to +180;Other;12 x 51;-55 to +350;No;image/resistors-fixed/21006.png;Datasheet\/resistors-fixed/GWK, GWK Ni\GWK, GWK Ni.pdf;
