Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
HPS;Enlarge;1K;1G;;0.5;6;2500;100;Through-hole;Axial;-55 to +200;No;image/resistors-fixed/52015.png;Datasheet\/resistors-fixed/HPS\HPS.pdf;
HPS;Enlarge;1K;1G;;0.5;6;2500;150;Through-hole;Axial;-55 to +200;No;image/resistors-fixed/52015.png;Datasheet\/resistors-fixed/HPS\HPS.pdf;
HPS;Enlarge;1K;1G;;0.5;8;5000;100;Through-hole;Axial;-55 to +200;No;image/resistors-fixed/52015.png;Datasheet\/resistors-fixed/HPS\HPS.pdf;
HPS;Enlarge;1K;1G;;0.5;8;5000;150;Through-hole;Axial;-55 to +200;No;image/resistors-fixed/52015.png;Datasheet\/resistors-fixed/HPS\HPS.pdf;
HPS;Enlarge;1K;1G;;1.0;6;2500;100;Through-hole;Axial;-55 to +200;No;image/resistors-fixed/52015.png;Datasheet\/resistors-fixed/HPS\HPS.pdf;
HPS;Enlarge;1K;1G;;1.0;6;2500;150;Through-hole;Axial;-55 to +200;No;image/resistors-fixed/52015.png;Datasheet\/resistors-fixed/HPS\HPS.pdf;
HPS;Enlarge;1K;1G;;1.0;8;5000;100;Through-hole;Axial;-55 to +200;No;image/resistors-fixed/52015.png;Datasheet\/resistors-fixed/HPS\HPS.pdf;
HPS;Enlarge;1K;1G;;1.0;8;5000;150;Through-hole;Axial;-55 to +200;No;image/resistors-fixed/52015.png;Datasheet\/resistors-fixed/HPS\HPS.pdf;
HPS;Enlarge;1K;1G;;10.0;6;2500;100;Through-hole;Axial;-55 to +200;No;image/resistors-fixed/52015.png;Datasheet\/resistors-fixed/HPS\HPS.pdf;
HPS;Enlarge;1K;1G;;10.0;6;2500;150;Through-hole;Axial;-55 to +200;No;image/resistors-fixed/52015.png;Datasheet\/resistors-fixed/HPS\HPS.pdf;
HPS;Enlarge;1K;1G;;10.0;8;5000;100;Through-hole;Axial;-55 to +200;No;image/resistors-fixed/52015.png;Datasheet\/resistors-fixed/HPS\HPS.pdf;
HPS;Enlarge;1K;1G;;10.0;8;5000;150;Through-hole;Axial;-55 to +200;No;image/resistors-fixed/52015.png;Datasheet\/resistors-fixed/HPS\HPS.pdf;
HPS;Enlarge;1K;1G;;2.0;6;2500;100;Through-hole;Axial;-55 to +200;No;image/resistors-fixed/52015.png;Datasheet\/resistors-fixed/HPS\HPS.pdf;
HPS;Enlarge;1K;1G;;2.0;6;2500;150;Through-hole;Axial;-55 to +200;No;image/resistors-fixed/52015.png;Datasheet\/resistors-fixed/HPS\HPS.pdf;
HPS;Enlarge;1K;1G;;2.0;8;5000;100;Through-hole;Axial;-55 to +200;No;image/resistors-fixed/52015.png;Datasheet\/resistors-fixed/HPS\HPS.pdf;
