Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
HVR25, HVR37;Enlarge;100K;10M;E24;1.0;0.25;1600;200;Through-hole;0207;-55 to +155;No;image/resistors-fixed/30260.png;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.pdf;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.zip
HVR25, HVR37;Enlarge;100K;10M;E24;1.0;0.25;1600;200;Through-hole;Axial;-55 to +155;No;image/resistors-fixed/30260.png;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.pdf;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.zip
HVR25, HVR37;Enlarge;100K;10M;E24;1.0;0.25;1600;200;Through-hole;Radial;-55 to +155;No;image/resistors-fixed/30260.png;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.pdf;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.zip
HVR25, HVR37;Enlarge;100K;10M;E24;1.0;0.5;3500;200;Through-hole;0309;-55 to +155;No;image/resistors-fixed/30260.png;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.pdf;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.zip
HVR25, HVR37;Enlarge;100K;10M;E24;1.0;0.5;3500;200;Through-hole;Axial;-55 to +155;No;image/resistors-fixed/30260.png;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.pdf;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.zip
HVR25, HVR37;Enlarge;100K;10M;E24;5.0;0.25;1600;200;Through-hole;0207;-55 to +155;No;image/resistors-fixed/30260.png;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.pdf;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.zip
HVR25, HVR37;Enlarge;100K;10M;E24;5.0;0.25;1600;200;Through-hole;Axial;-55 to +155;No;image/resistors-fixed/30260.png;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.pdf;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.zip
HVR25, HVR37;Enlarge;100K;10M;E24;5.0;0.25;1600;200;Through-hole;Radial;-55 to +155;No;image/resistors-fixed/30260.png;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.pdf;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.zip
HVR25, HVR37;Enlarge;100K;10M;E24;5.0;0.5;3500;200;Through-hole;0309;-55 to +155;No;image/resistors-fixed/30260.png;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.pdf;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.zip
HVR25, HVR37;Enlarge;100K;10M;E24;5.0;0.5;3500;200;Through-hole;Axial;-55 to +155;No;image/resistors-fixed/30260.png;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.pdf;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.zip
HVR25, HVR37;Enlarge;100K;10M;E96;1.0;0.25;1600;200;Through-hole;0207;-55 to +155;No;image/resistors-fixed/30260.png;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.pdf;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.zip
HVR25, HVR37;Enlarge;100K;10M;E96;1.0;0.25;1600;200;Through-hole;Axial;-55 to +155;No;image/resistors-fixed/30260.png;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.pdf;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.zip
HVR25, HVR37;Enlarge;100K;10M;E96;1.0;0.25;1600;200;Through-hole;Radial;-55 to +155;No;image/resistors-fixed/30260.png;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.pdf;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.zip
HVR25, HVR37;Enlarge;100K;10M;E96;1.0;0.5;3500;200;Through-hole;0309;-55 to +155;No;image/resistors-fixed/30260.png;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.pdf;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.zip
HVR25, HVR37;Enlarge;100K;10M;E96;1.0;0.5;3500;200;Through-hole;Axial;-55 to +155;No;image/resistors-fixed/30260.png;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.pdf;Datasheet\/resistors-fixed/HVR25, HVR37\HVR25, HVR37.zip
