Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
L;Enlarge;0.1;0.25;;1.0;0.125;50;300;Surface-mount;0603;-55 to +155;No;image/resistors-fixed/53018.png;Datasheet\/resistors-fixed/L\L.pdf;Datasheet\/resistors-fixed/L\L.zip
L;Enlarge;0.1;0.25;;1.0;0.2;50;300;Surface-mount;0805;-55 to +155;No;image/resistors-fixed/53018.png;Datasheet\/resistors-fixed/L\L.pdf;Datasheet\/resistors-fixed/L\L.zip
L;Enlarge;0.1;0.25;;1.0;0.33;50;300;Surface-mount;1206;-55 to +155;No;image/resistors-fixed/53018.png;Datasheet\/resistors-fixed/L\L.pdf;Datasheet\/resistors-fixed/L\L.zip
L;Enlarge;0.1;0.25;;1.0;0.5;50;300;Surface-mount;1505;-55 to +155;No;image/resistors-fixed/53018.png;Datasheet\/resistors-fixed/L\L.pdf;Datasheet\/resistors-fixed/L\L.zip
L;Enlarge;0.1;0.25;;1.0;1.0;50;300;Surface-mount;2010;-55 to +155;No;image/resistors-fixed/53018.png;Datasheet\/resistors-fixed/L\L.pdf;Datasheet\/resistors-fixed/L\L.zip
L;Enlarge;0.1;0.25;;1.0;2;50;300;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/53018.png;Datasheet\/resistors-fixed/L\L.pdf;Datasheet\/resistors-fixed/L\L.zip
L;Enlarge;0.1;0.25;;2.0;0.125;50;300;Surface-mount;0603;-55 to +155;No;image/resistors-fixed/53018.png;Datasheet\/resistors-fixed/L\L.pdf;Datasheet\/resistors-fixed/L\L.zip
L;Enlarge;0.1;0.25;;2.0;0.2;50;300;Surface-mount;0805;-55 to +155;No;image/resistors-fixed/53018.png;Datasheet\/resistors-fixed/L\L.pdf;Datasheet\/resistors-fixed/L\L.zip
L;Enlarge;0.1;0.25;;2.0;0.33;50;300;Surface-mount;1206;-55 to +155;No;image/resistors-fixed/53018.png;Datasheet\/resistors-fixed/L\L.pdf;Datasheet\/resistors-fixed/L\L.zip
L;Enlarge;0.1;0.25;;2.0;0.5;50;300;Surface-mount;1505;-55 to +155;No;image/resistors-fixed/53018.png;Datasheet\/resistors-fixed/L\L.pdf;Datasheet\/resistors-fixed/L\L.zip
