Part Number;Configuration;SingleSupplyMin.;SingleSupplyMax.;DualSupplyMin.;DualSupplyMax.;On-Resistance(Ω);Is(off)Max.;tonMax.;QINJTyp.;XTALK&OIRR;Package;CS(on)(pF);CS(off)(pF);-3 dBBandwidth(MHz);Image path;Datasheet part;3d model part
DG1408E;8:1 x 1;4.5;24;4.5;16.5;3.9;0.55;130;-31;-58;QFN-16 4x4;;13;55;76516;Datasheet/analog-switches/DG1408E/DG1408E.pdf;None
DG1409E;4:1 x 2;4.5;24;4.5;16.5;3.9;0.55;130;-103;-58;QFN-16 4x4;;13;90;76516;Datasheet/analog-switches/DG1409E/DG1409E.pdf;None
DG1411E;SPST x 4, NC;4.5;24;4.5;16.5;1.6;12.5;140;-41;-104;QFN-16 4x4;;24;150;75104;Datasheet/analog-switches/DG1411E/DG1411E.pdf;None
DG1411E;SPST x 4, NC;4.5;24;4.5;16.5;1.6;12.5;140;-41;-104;TSSOP-16;;24;150;75104;Datasheet/analog-switches/DG1411E/DG1411E.pdf;None
DG1412E;SPST x 4, NC;4.5;24;4.5;16.5;1.6;12.5;140;-41;-104;QFN-16 4x4;;24;150;75104;Datasheet/analog-switches/DG1412E/DG1412E.pdf;None
DG1412E;SPST x 4, NC;4.5;24;4.5;16.5;1.6;12.5;140;-41;-104;TSSOP-16;;24;150;75104;Datasheet/analog-switches/DG1412E/DG1412E.pdf;None
DG1413E;SPST x 4, NC;4.5;24;4.5;16.5;1.6;12.5;140;-41;-104;QFN-16 4x4;;24;150;75104;Datasheet/analog-switches/DG1413E/DG1413E.pdf;None
DG1413E;SPST x 4, NC;4.5;24;4.5;16.5;1.6;12.5;140;-41;-104;TSSOP-16;;24;150;75104;Datasheet/analog-switches/DG1413E/DG1413E.pdf;None
DG2001E;SPDT x 1;1.8;5.5;;;0.85;30;35;8;-63;TSOP-6;53;16;;76471;Datasheet/analog-switches/DG2001E/DG2001E.pdf;None
DG2002E;SPDT x 2;1.8;5.5;;;6;1.5;32;1;-77;SC-70-6;13;7;;76624;Datasheet/analog-switches/DG2002E/DG2002E.pdf;None
