Part Number;Product Image;Description;Voltage;Capacitance;Dielectric;Lead Spacing(mm/inch);Lead Style;Packaging;Image path;Datasheet part;3d model part
660R10ACD10;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;10000;1000;X7R;NA;NA;Individual;image\capacitors\22209.png;Datasheet\capacitors\660R10ACD10\660R10ACD10.pdf;Datasheet\capacitors\660R10ACD10\660R10ACD10.zip
660R10ACD33;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;10000;3300;X7R;NA;NA;Individual;image\capacitors\22209.png;Datasheet\capacitors\660R10ACD33\660R10ACD33.pdf;Datasheet\capacitors\660R10ACD33\660R10ACD33.zip
660R10AED15;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;10000;1500;Z5U;NA;NA;Individual;image\capacitors\22209.png;Datasheet\capacitors\660R10AED15\660R10AED15.pdf;Datasheet\capacitors\660R10AED15\660R10AED15.zip
660R10AES10;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;10000;10000;Z5U;NA;NA;Individual;image\capacitors\22209.png;Datasheet\capacitors\660R10AES10\660R10AES10.pdf;Datasheet\capacitors\660R10AES10\660R10AES10.zip
660R15ACD22;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;15000;2200;X7R;NA;NA;Individual;image\capacitors\22209.png;Datasheet\capacitors\660R15ACD22\660R15ACD22.pdf;Datasheet\capacitors\660R15ACD22\660R15ACD22.zip
660R15ACT47;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;15000;470;X5R;NA;NA;Individual;image\capacitors\22209.png;Datasheet\capacitors\660R15ACT47\660R15ACT47.pdf;Datasheet\capacitors\660R15ACT47\660R15ACT47.zip
660R15ACT68;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;15000;680;X7R;NA;NA;Individual;image\capacitors\22209.png;Datasheet\capacitors\660R15ACT68\660R15ACT68.pdf;Datasheet\capacitors\660R15ACT68\660R15ACT68.zip
660R15AED15;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;15000;1500;Z5U;NA;NA;Individual;image\capacitors\22209.png;Datasheet\capacitors\660R15AED15\660R15AED15.pdf;Datasheet\capacitors\660R15AED15\660R15AED15.zip
660R15AZD15;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;15000;1500;N4700;NA;NA;Individual;image\capacitors\22209.png;Datasheet\capacitors\660R15AZD15\660R15AZD15.pdf;Datasheet\capacitors\660R15AZD15\660R15AZD15.zip
660R20ACD10;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;20000;1000;X7R;NA;NA;Individual;image\capacitors\22209.png;Datasheet\capacitors\660R20ACD10\660R20ACD10.pdf;Datasheet\capacitors\660R20ACD10\660R20ACD10.zip
660R20ACD25;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;20000;2500;X7R;NA;NA;Individual;image\capacitors\22209.png;Datasheet\capacitors\660R20ACD25\660R20ACD25.pdf;Datasheet\capacitors\660R20ACD25\660R20ACD25.zip
660R20ACD27;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;20000;2700;X7R;NA;NA;Individual;image\capacitors\22209.png;Datasheet\capacitors\660R20ACD27\660R20ACD27.pdf;Datasheet\capacitors\660R20ACD27\660R20ACD27.zip
660R20ACT10;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;20000;100;X7R;NA;NA;Individual;image\capacitors\22209.png;Datasheet\capacitors\660R20ACT10\660R20ACT10.pdf;Datasheet\capacitors\660R20ACT10\660R20ACT10.zip
660R20ACT22;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;20000;220;X7R;NA;NA;Individual;image\capacitors\22209.png;Datasheet\capacitors\660R20ACT22\660R20ACT22.pdf;Datasheet\capacitors\660R20ACT22\660R20ACT22.zip
660R20ACT47;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;20000;470;X7R;NA;NA;Individual;image\capacitors\22209.png;Datasheet\capacitors\660R20ACT47\660R20ACT47.pdf;Datasheet\capacitors\660R20ACT47\660R20ACT47.zip
660R20AED33;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;20000;3300;Z5U;NA;NA;Individual;image\capacitors\22209.png;Datasheet\capacitors\660R20AED33\660R20AED33.pdf;Datasheet\capacitors\660R20AED33\660R20AED33.zip
