Series▲▼;Product Image;IFAV(A)▲▼;TC(°C)▲▼;VRRM(V)▲▼;IFSM(A)▲▼;VFat IFMat 25 °C(V at A)▲▼;TJ(°C)▲▼;RthJC(°C/W)▲▼;trr(ns)▲▼;Package▲▼;CircuitConfiguration▲▼;Isolationfrom Heatsink▲▼;Image path;0;1;2;3d model part
VS-402CNQ200PBF;Enlarge;551;175;200;2100;0.845 at 200;-40 to +175;0.19;132;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules96898.png;diode-modules\VS-402CNQ200PBF\VS-402CNQ200PBF.pdf;;;None
VS-U5FH120EA120;Enlarge;60;85;1200;340;1.99 at 60;-55 to +175;0.69;71;SOT-227;"Two separate diodes,
antiparallel pin-out";Isolated;image/diode-modules97090.png;diode-modules\VS-U5FH120EA120\VS-U5FH120EA120.pdf;;;None
VS-U5FH120FA120;Enlarge;60;85;1200;340;1.99 at 60;-55 to +175;0.69;71;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules96934.png;diode-modules\VS-U5FH120FA120\VS-U5FH120FA120.pdf;;;None
VS-U5FH120FA60;Enlarge;60;115;600;485;1.36 at 60;-55 to +175;0.7;67;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules96939.png;diode-modules\VS-U5FH120FA60\VS-U5FH120FA60.pdf;;;None
VS-U5FH150FA60;Enlarge;75;117;600;575;1.34 at 75;-55 to +175;0.54;70;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules96941.png;diode-modules\VS-U5FH150FA60\VS-U5FH150FA60.pdf;;;None
VS-U5FH240FA120;Enlarge;120;75;1200;665;1.99 at 120;-55 to +175;0.38;98;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules96896.png;diode-modules\VS-U5FH240FA120\VS-U5FH240FA120.pdf;;;None
VS-U5FH300FA60;Enlarge;150;98;600;1080;1.36 at 150;-55 to +175;0.35;76;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules96943.png;diode-modules\VS-U5FH300FA60\VS-U5FH300FA60.pdf;;;None
VS-U5FH60FA120;Enlarge;30;105;1200;180;2.08 at 30;-55 to +175;1.1;54;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules96945.png;diode-modules\VS-U5FH60FA120\VS-U5FH60FA120.pdf;;;None
VS-U5FH60FA60;Enlarge;30;132;600;305;1.37 at 30;-55 to +175;0.95;61;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules96948.png;diode-modules\VS-U5FH60FA60\VS-U5FH60FA60.pdf;;;None
VS-U5FX120EA120;Enlarge;60;70;1200;290;2.75 at 60;-55 to +175;0.69;46;SOT-227;"Two separate diodes,
antiparallel pin-out";Isolated;image/diode-modules97089.png;diode-modules\VS-U5FX120EA120\VS-U5FX120EA120.pdf;;;None
VS-U5FX120FA120;Enlarge;60;70;1200;290;2.75 at 60;-55 to +175;0.69;46;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules96947.png;diode-modules\VS-U5FX120FA120\VS-U5FX120FA120.pdf;;;None
VS-U5FX120FA60;Enlarge;60;100;600;450;1.6 at 60;-55 to +175;0.7;63;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules96940.png;diode-modules\VS-U5FX120FA60\VS-U5FX120FA60.pdf;;;None
VS-U5FX150FA60;Enlarge;75;102;600;540;1.6 at 75;-55 to +175;0.54;65;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules96942.png;diode-modules\VS-U5FX150FA60\VS-U5FX150FA60.pdf;;;None
VS-U5FX240FA120;Enlarge;120;59;1200;595;2.8 at 120;-55 to +175;0.38;60;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules96933.png;diode-modules\VS-U5FX240FA120\VS-U5FX240FA120.pdf;;;None
VS-U5FX300FA60;Enlarge;150;80;600;1035;1.6 at 150;-55 to +175;0.35;72;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules96944.png;diode-modules\VS-U5FX300FA60\VS-U5FX300FA60.pdf;;;None
VS-U5FX60FA120;Enlarge;30;85;1200;150;2.91 at 30;-55 to +175;1.1;41;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules96946.png;diode-modules\VS-U5FX60FA120\VS-U5FX60FA120.pdf;;;None
VS-U5FX60FA60;Enlarge;30;128;600;290;1.6 at 30;-55 to +175;0.95;57;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules96938.png;diode-modules\VS-U5FX60FA60\VS-U5FX60FA60.pdf;;;None
VS-UFB130FA20;Enlarge;65;132;200;890;0.96 at 60;-55 to +175;0.72;42;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules93606.png;diode-modules\VS-UFB130FA20\VS-UFB130FA20.pdf;;;None
VS-UFB130FA40;Enlarge;65;123;400;800;1.16 at 60;-55 to +175;0.72;86;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules93602.png;diode-modules\VS-UFB130FA40\VS-UFB130FA40.pdf;;;None
VS-UFB130FA60;Enlarge;82;85;600;750;1.43 at 60;-55 to +175;0.73;79;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules93657.png;diode-modules\VS-UFB130FA60\VS-UFB130FA60.pdf;;;None
VS-UFB170FA60;Enlarge;94;90;600;850;1.02 at 50;-55 to +175;0.73;170;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules94814.png;diode-modules\VS-UFB170FA60\VS-UFB170FA60.pdf;;;None
VS-UFB201FA40;Enlarge;120;88;400;600;1.33 at 100;-55 to +175;0.56;80;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules93793.png;diode-modules\VS-UFB201FA40\VS-UFB201FA40.pdf;;;None
VS-UFB211FA40;Enlarge;210;90;400;1300;1.06 at 100;-55 to +175;0.32;93;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules95843.png;diode-modules\VS-UFB211FA40\VS-UFB211FA40.pdf;;;None
VS-UFB230FA60;Enlarge;141;85;600;1400;1.46 at 100;-55 to +175;0.43;83;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules93641.png;diode-modules\VS-UFB230FA60\VS-UFB230FA60.pdf;;;None
VS-UFB250FA60;Enlarge;168;90;600;1300;1.02 at 100;-55 to +175;0.43;166;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules93626.png;diode-modules\VS-UFB250FA60\VS-UFB250FA60.pdf;;;None
VS-UFB280FA20;Enlarge;175;95;200;1700;1.0 at 120;-55 to +175;0.43;34;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules93463.png;diode-modules\VS-UFB280FA20\VS-UFB280FA20.pdf;;;None
VS-UFB280FA40;Enlarge;170;90;400;1300;1.06 at 100;-55 to +175;0.43;93;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules93458.png;diode-modules\VS-UFB280FA40\VS-UFB280FA40.pdf;;;None
VS-UFB310CB40;Enlarge;155;135;400;1300;1.11 at 100;-55 to +175;0.19;89;SOT-227 not insulated;Two diodes common cathode;Not Isolated;image/diode-modules93608.png;diode-modules\VS-UFB310CB40\VS-UFB310CB40.pdf;;;None
VS-UFB80FA20;Enlarge;40;137;200;280;0.96 at 30;-55 to +175;1;34;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules93607.png;diode-modules\VS-UFB80FA20\VS-UFB80FA20.pdf;;;None
VS-UFB80FA40;Enlarge;40;130;400;270;1.14 at 30;-55 to +175;1;68;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules93620.png;diode-modules\VS-UFB80FA40\VS-UFB80FA40.pdf;;;None
VS-UFB80FA60;Enlarge;57;85;600;280;1.32 at 30;-55 to +175;1.02;79;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules93642.png;diode-modules\VS-UFB80FA60\VS-UFB80FA60.pdf;;;None
VS-UFH280FA30;Enlarge;160;95;300;1539;1.07 at 100;-55 to +175;0.39;58;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules96136.png;diode-modules\VS-UFH280FA30\VS-UFH280FA30.pdf;;;None
VS-UFL130FA60;Enlarge;87;85;600;800;1.29 at 60;-55 to +175;0.73;105;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules93658.png;diode-modules\VS-UFL130FA60\VS-UFL130FA60.pdf;;;None
VS-UFL230FA60;Enlarge;160;85;600;1500;1.28 at 100;-55 to +175;0.43;104;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules93635.png;diode-modules\VS-UFL230FA60\VS-UFL230FA60.pdf;;;None
VS-UFL250AB60;Enlarge;65;135;600;750;1.25 at 50;-55 to +175;0.38;100;SOT-227 not insulated;Separated anode diodes, not insulated, common cathodes;Not Isolated;image/diode-modules94874.png;diode-modules\VS-UFL250AB60\VS-UFL250AB60.pdf;;;None
VS-UFL250CB60;Enlarge;130;135;600;1500;1.28 at 100;-55 to +175;0.19;104;SOT-227 not insulated;Two diodes common cathode;Not Isolated;image/diode-modules93808.png;diode-modules\VS-UFL250CB60\VS-UFL250CB60.pdf;;;None
VS-UFL330FA60;Enlarge;243;90;600;1130;1.43 at 200;-55 to +175;0.22;98;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules96016.png;diode-modules\VS-UFL330FA60\VS-UFL330FA60.pdf;;;None
VS-UFL450CB60;Enlarge;250;135;600;1170;1.18 at 100;-55 to +175;0.11;97;SOT-227;Two diodes common cathode;Not Isolated;image/diode-modules95641.png;diode-modules\VS-UFL450CB60\VS-UFL450CB60.pdf;;;None
VS-UFL80FA60;Enlarge;65;85;600;300;1.1 at 30;-55 to +175;1.02;115;SOT-227;Two separate diodes, parallel pin-out;Isolated;image/diode-modules93643.png;diode-modules\VS-UFL80FA60\VS-UFL80FA60.pdf;;;None
VS-VS5HD240CW60;Enlarge;229;115;600;1300;1.52 at 120;-40 to +175;0.38;52;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules96922.png;diode-modules\VS-VS5HD240CW60\VS-VS5HD240CW60.pdf;;;None
VS-VS5HD300CW60;Enlarge;259;109;600;1150;1.36 at 150;-40 to +175;0.32;68;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules96923.png;diode-modules\VS-VS5HD300CW60\VS-VS5HD300CW60.pdf;;;None
VS-VS5HD480CW60;Enlarge;448;113;600;2200;1.5 at 240;-40 to +175;0.19;61;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules96924.png;diode-modules\VS-VS5HD480CW60\VS-VS5HD480CW60.pdf;;;None
VS-VS5HD600CW60;Enlarge;505;106;600;2200;1.34 at 300;-40 to +175;0.16;78;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules96925.png;diode-modules\VS-VS5HD600CW60\VS-VS5HD600CW60.pdf;;;None
VS-VSKDF400/06PbF;Enlarge;540;90;600;4140;1.28 at 200;-40 to +175;0.147;159;INT-A-PAK;Diode doubler circuit;Isolated;image/diode-modules96504.png;diode-modules\VS-VSKDF400;06PbF\VS-VSKDF400;06PbF.pdf;None
VS-VSKDF500/06PbF;Enlarge;772;90;600;4140;1.25 at 250;-40 to +175;0.11;104;INT-A-PAK;Diode doubler circuit;Isolated;image/diode-modules96505.png;diode-modules\VS-VSKDF500;06PbF\VS-VSKDF500;06PbF.pdf;None
VS-VSKDF600/06PbF;Enlarge;771;90;600;4140;1.305 at 300;-40 to +175;0.088;150;INT-A-PAK;Diode doubler circuit;Isolated;image/diode-modules96493.png;diode-modules\VS-VSKDF600;06PbF\VS-VSKDF600;06PbF.pdf;None
VS-VSKEF500/06PbF;Enlarge;772;90;600;4500;1.25 at 250;-40 to +175;0.11;104;INT-A-PAK;Single diode;Isolated;image/diode-modules95892.png;diode-modules\VS-VSKEF500;06PbF\VS-VSKEF500;06PbF.pdf;None
VS-VSUD360CW40;Enlarge;510;116;400;2880;1.09 at 180;-40 to +150;0.19;74;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules93116.png;diode-modules\VS-VSUD360CW40\VS-VSUD360CW40.pdf;;;None
VS-VSUD400CW20;Enlarge;240;127;200;2300;0.94 at 200;-40 to +175;0.19;87;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules94576.png;diode-modules\VS-VSUD400CW20\VS-VSUD400CW20.pdf;;;None
VS-VSUD400CW60;Enlarge;330;97;600;2520;1.45 at 200;-40 to +150;0.19;90;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules93117.png;diode-modules\VS-VSUD400CW60\VS-VSUD400CW60.pdf;;;None
VS-VSUD405CW60;Enlarge;480;132;600;2880;1.13 at 200;-40 to +175;0.19;124;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules94687.png;diode-modules\VS-VSUD405CW60\VS-VSUD405CW60.pdf;;;None
VS-VSUD410CW60;Enlarge;572;137;600;3330;1.0 at 200;-40 to +175;0.19;215;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules93622.png;diode-modules\VS-VSUD410CW60\VS-VSUD410CW60.pdf;;;None
VS-VSUD505CW60;Enlarge;572;129;600;3800;1.15 at 250;-40 to +175;0.16;179;TO-244;Two diodes common cathode;Not Isolated;image/diode-modules97092.png;diode-modules\VS-VSUD505CW60\VS-VSUD505CW60.pdf;;;None
