Part Number;Product Image;Package;Reverse WorkingVoltage(V);Capacitance(pF);LeakageCurrent(µA);Peak Pulse Current8/20 µs (*10/1000 µs)acc. IEC 61000-4-5(A);Peak PulsePower 8/20 µsacc. IEC 61000-4-5(W);ProtectableLines;ESD Immunityacc. IEC 61000-4-2(kV);Max. OperatingJunction Temperature(°C);AEC-Q101Qualified;Image path;Datasheet part;3d model part
GMF05C-HSF;Enlarge;LLP75-6L;5;126;1;12;200;5;± 30;125;No;image/diodes\81731.png;Datasheet\diodes\GMF05C-HSF\GMF05C-HSF.pdf;Datasheet\diodes\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A.zip
GSOT03;Enlarge;SOT-23;3.3;420;100;30;369;1;± 30;125;Yes;image/diodes\85807.png;Datasheet\diodes\GSOT03\GSOT03.pdf;Datasheet\diodes\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A.zip
GSOT03C;Enlarge;SOT-23;3.3;420;100;30;369;2;± 30;150;Yes;image/diodes\85824.png;Datasheet\diodes\GSOT03C\GSOT03C.pdf;Datasheet\diodes\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A.zip
GSOT04;Enlarge;SOT-23;4;310;20;30;429;1;± 30;125;Yes;image/diodes\85807.png;Datasheet\diodes\GSOT04\GSOT04.pdf;Datasheet\diodes\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A.zip
GSOT04C;Enlarge;SOT-23;4;310;20;30;429;2;± 30;150;Yes;image/diodes\85824.png;Datasheet\diodes\GSOT04C\GSOT04C.pdf;Datasheet\diodes\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A.zip
GSOT05;Enlarge;SOT-23;5;260;10;30;480;1;± 30;125;Yes;image/diodes\85807.png;Datasheet\diodes\GSOT05\GSOT05.pdf;Datasheet\diodes\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A.zip
GSOT05C;Enlarge;SOT-23;5;260;10;30;480;2;± 30;150;Yes;image/diodes\85824.png;Datasheet\diodes\GSOT05C\GSOT05C.pdf;Datasheet\diodes\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A.zip
GSOT08;Enlarge;SOT-23;8;160;5;18;345;1;± 30;125;Yes;image/diodes\85807.png;Datasheet\diodes\GSOT08\GSOT08.pdf;Datasheet\diodes\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A.zip
GSOT08C;Enlarge;SOT-23;8;160;5;18;345;2;± 30;150;Yes;image/diodes\85824.png;Datasheet\diodes\GSOT08C\GSOT08C.pdf;Datasheet\diodes\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A.zip
GSOT12;Enlarge;SOT-23;12;115;1;12;312;1;± 30;125;Yes;image/diodes\85807.png;Datasheet\diodes\GSOT12\GSOT12.pdf;Datasheet\diodes\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A\1.5KE6.8A thru 1.5KE540A, 1N6267A thru 1N6303A.zip
