Series;Product Image;Package (JEDEC®) Code;VRRM(V);IRat VR(nA at V);VFat IF(V at mA);trr(ns);Circuit Configuration;AEC-Q101 Qualified;Image path;Datasheet part;3d model part
1N4148;Enlarge;DO-35 (DO-204AH);100;25 at 20;1 at 10;8;Single;No;image/diodes/81857.png;Datasheet/diodes/switching/1N4148/1N4148.pdf;Datasheet/diodes/switching/1N4148/1N4148.zip
1N4148W;Enlarge;SOD-123;100;25 at 20;1 at 10;4;Single;Yes;image/diodes/86356.png;Datasheet/diodes/switching/1N4148W/1N4148W.pdf;Datasheet/diodes/switching/1N4148W/1N4148W.zip
1N4148W-G;Enlarge;SOD-123;100;25 at 20;1 at 10;4;Single;Yes;image/diodes/86357.png;Datasheet/diodes/switching/1N4148W-G/1N4148W-G.pdf;Datasheet/diodes/switching/1N4148W-G/1N4148W-G.zip
1N4148WS;Enlarge;SOD-323;100;25 at 20;1 at 10;4;Single;Yes;image/diodes/85751.png;Datasheet/diodes/switching/1N4148WS/1N4148WS.pdf;Datasheet/diodes/switching/1N4148WS/1N4148WS.zip
1N4148WS-G;Enlarge;SOD-323;100;25 at 20;1 at 10;4;Single;Yes;image/diodes/85413.png;Datasheet/diodes/switching/1N4148WS-G/1N4148WS-G.pdf;Datasheet/diodes/switching/1N4148WS-G/1N4148WS-G.zip
1N4150;Enlarge;DO-35 (DO-204AH);50;100 at 50;0.620 at 1;4;Single;No;image/diodes/85522.png;Datasheet/diodes/switching/1N4150/1N4150.pdf;Datasheet/diodes/switching/1N4150/1N4150.zip
1N4150W;Enlarge;SOD-123;50;100 at 50;0.620 at 1;4;Single;Yes;image/diodes/86358.png;Datasheet/diodes/switching/1N4150W/1N4150W.pdf;Datasheet/diodes/switching/1N4150W/1N4150W.zip
1N4150W-G;Enlarge;SOD-123;50;100 at 50;0.620 at 1;4;Single;Yes;image/diodes/86359.png;Datasheet/diodes/switching/1N4150W-G/1N4150W-G.pdf;Datasheet/diodes/switching/1N4150W-G/1N4150W-G.zip
1N4151;Enlarge;DO-35 (DO-204AH);75;50 at 50;1 at 50;4;Single;No;image/diodes/85523.png;Datasheet/diodes/switching/1N4151/1N4151.pdf;Datasheet/diodes/switching/1N4151/1N4151.zip
1N4151W;Enlarge;SOD-123;75;50 at 50;1.0 at 50;4;Single;Yes;image/diodes/86360.png;Datasheet/diodes/switching/1N4151W/1N4151W.pdf;Datasheet/diodes/switching/1N4151W/1N4151W.zip
1N4151W-G;Enlarge;SOD-123;75;50 at 50;1.0 at 50;4;Single;Yes;image/diodes/86361.png;Datasheet/diodes/switching/1N4151W-G/1N4151W-G.pdf;Datasheet/diodes/switching/1N4151W-G/1N4151W-G.zip
1N4151WS;Enlarge;SOD-323;75;50 at 50;1 at 50;4;Single;Yes;image/diodes/85847.png;Datasheet/diodes/switching/1N4151WS/1N4151WS.pdf;Datasheet/diodes/switching/1N4151WS/1N4151WS.zip
1N4151WS-G;Enlarge;SOD-323;75;50 at 50;1 at 50;4;Single;Yes;image/diodes/85412.png;Datasheet/diodes/switching/1N4151WS-G/1N4151WS-G.pdf;Datasheet/diodes/switching/1N4151WS-G/1N4151WS-G.zip
1N4154;Enlarge;DO-35 (DO-204AH);35;100 at 25;1 at 30;4;Single;No;image/diodes/85524.png;Datasheet/diodes/switching/1N4154/1N4154.pdf;Datasheet/diodes/switching/1N4154/1N4154.zip
1N4448;Enlarge;DO-35 (DO-204AH);100;25 at 20;0.720 at 5;8;Single;No;image/diodes/81858.png;Datasheet/diodes/switching/1N4448/1N4448.pdf;Datasheet/diodes/switching/1N4448/1N4448.zip
1N4448W;Enlarge;SOD-123;100;25 at 20;1 at 100;4;Single;Yes;image/diodes/86362.png;Datasheet/diodes/switching/1N4448W/1N4448W.pdf;Datasheet/diodes/switching/1N4448W/1N4448W.zip
1N4448W-G;Enlarge;SOD-123;100;25 at 20;1 at 100;4;Single;Yes;image/diodes/86363.png;Datasheet/diodes/switching/1N4448W-G/1N4448W-G.pdf;Datasheet/diodes/switching/1N4448W-G/1N4448W-G.zip
1N4448WS;Enlarge;SOD-323;100;25 at 20;1 at 100;4;Single;Yes;image/diodes/81387.png;Datasheet/diodes/switching/1N4448WS/1N4448WS.pdf;Datasheet/diodes/switching/1N4448WS/1N4448WS.zip
1N4448WS-G;Enlarge;SOD-323;100;25 at 20;1 at 100;4;Single;Yes;image/diodes/85414.png;Datasheet/diodes/switching/1N4448WS-G/1N4448WS-G.pdf;Datasheet/diodes/switching/1N4448WS-G/1N4448WS-G.zip
1N914;Enlarge;DO-35 (DO-204AH);100;5 at 75;1 at 10;4;Single;No;image/diodes/85622.png;Datasheet/diodes/switching/1N914/1N914.pdf;Datasheet/diodes/switching/1N914/1N914.zip
BAL99;Enlarge;SOT-23;70;2500 at 70;0.715 at 1;6;Single;Yes;image/diodes/86364.png;Datasheet/diodes/switching/BAL99/BAL99.pdf;Datasheet/diodes/switching/BAL99/BAL99.zip
BAL99-G;Enlarge;SOT-23;70;2500 at 70;0.715 at 1;6;Single;Yes;image/diodes/86365.png;Datasheet/diodes/switching/BAL99-G/BAL99-G.pdf;Datasheet/diodes/switching/BAL99-G/BAL99-G.zip
BAR64-05W;Enlarge;SOT-323;;50 at 50;1.1 at 50;n/a;Common cathode;Yes;image/diodes/86199.png;Datasheet/diodes/switching/BAR64-05W/BAR64-05W.pdf;Datasheet/diodes/switching/BAR64-05W/BAR64-05W.zip
BAS16;Enlarge;SOT-23;75;100 at 75;0.715 at 1;6;Single;Yes;image/diodes/86366.png;Datasheet/diodes/switching/BAS16/BAS16.pdf;Datasheet/diodes/switching/BAS16/BAS16.zip
BAS16-G;Enlarge;SOT-23;75;100 at 75;0.715 at 1;6;Single;Yes;image/diodes/86367.png;Datasheet/diodes/switching/BAS16-G/BAS16-G.pdf;Datasheet/diodes/switching/BAS16-G/BAS16-G.zip
BAS16D;Enlarge;SOD-123;100;50 at 75;1.25 at 150;6;Single;Yes;image/diodes/86368.png;Datasheet/diodes/switching/BAS16D/BAS16D.pdf;Datasheet/diodes/switching/BAS16D/BAS16D.zip
BAS16D-G;Enlarge;SOD-123;100;50 at 75;1.25 at 150;6;Single;Yes;image/diodes/86369.png;Datasheet/diodes/switching/BAS16D-G/BAS16D-G.pdf;Datasheet/diodes/switching/BAS16D-G/BAS16D-G.zip
BAS16L;Enlarge;DFN1006-2A;100;500 at 80;1.250 at 150;4;Single;Yes;image/diodes/86187.png;Datasheet/diodes/switching/BAS16L/BAS16L.pdf;None
BAS16LTH;Enlarge;DFN1006-2A;;500 at 80;1.250 at 150;4;Single;Yes;image/diodes/86327.png;Datasheet/diodes/switching/BAS16LTH/BAS16LTH.pdf;None
BAS16WS;Enlarge;SOD-323;100;1000 at 75;1.250 at 150;6;Single;Yes;image/diodes/85752.png;Datasheet/diodes/switching/BAS16WS/BAS16WS.pdf;Datasheet/diodes/switching/BAS16WS/BAS16WS.zip
BAS16WS-G;Enlarge;SOD-323;100;1000 at 75;1.250 at 150;6;Single;Yes;image/diodes/85152.png;Datasheet/diodes/switching/BAS16WS-G/BAS16WS-G.pdf;Datasheet/diodes/switching/BAS16WS-G/BAS16WS-G.zip
BAS19, BAS20, BAS21;Enlarge;SOT-23;250;100 at 200;1.0 at 100;50;Single;Yes;image/diodes/86370.png;Datasheet/diodes/switching/BAS19, BAS20, BAS21/BAS19, BAS20, BAS21.pdf;Datasheet/diodes/switching/BAS19, BAS20, BAS21/BAS19, BAS20, BAS21.zip
BAS19, BAS20, BAS21;Enlarge;SOT-23;120;100 at 100;1.0 at 100;50;Single;Yes;image/diodes/86370.png;Datasheet/diodes/switching/BAS19, BAS20, BAS21/BAS19, BAS20, BAS21.pdf;Datasheet/diodes/switching/BAS19, BAS20, BAS21/BAS19, BAS20, BAS21.zip
BAS19, BAS20, BAS21;Enlarge;SOT-23;200;100 at 150;1.0 at 100;50;Single;Yes;image/diodes/86370.png;Datasheet/diodes/switching/BAS19, BAS20, BAS21/BAS19, BAS20, BAS21.pdf;Datasheet/diodes/switching/BAS19, BAS20, BAS21/BAS19, BAS20, BAS21.zip
BAS19-G, BAS20-G, BAS21-G;Enlarge;SOT-23;120;100 at 100;1.0 at 100;50;Single;Yes;image/diodes/86371.png;Datasheet/diodes/switching/BAS19-G, BAS20-G, BAS21-G/BAS19-G, BAS20-G, BAS21-G.pdf;Datasheet/diodes/switching/BAS19-G, BAS20-G, BAS21-G/BAS19-G, BAS20-G, BAS21-G.zip
BAV100, BAV101, BAV102, BAV103;Enlarge;MiniMELF (SOD-80);120;100 at 100;1 at 100;50;Single;No;image/diodes/85542.png;Datasheet/diodes/switching/BAV100, BAV101, BAV102, BAV103/BAV100, BAV101, BAV102, BAV103.pdf;Datasheet/diodes/switching/BAV100, BAV101, BAV102, BAV103/BAV100, BAV101, BAV102, BAV103.zip
BAV100, BAV101, BAV102, BAV103;Enlarge;MiniMELF (SOD-80);200;100 at 150;1 at 100;50;Single;No;image/diodes/85542.png;Datasheet/diodes/switching/BAV100, BAV101, BAV102, BAV103/BAV100, BAV101, BAV102, BAV103.pdf;Datasheet/diodes/switching/BAV100, BAV101, BAV102, BAV103/BAV100, BAV101, BAV102, BAV103.zip
BAV100, BAV101, BAV102, BAV103;Enlarge;MiniMELF (SOD-80);250;100 at 200;1 at 100;50;Single;No;image/diodes/85542.png;Datasheet/diodes/switching/BAV100, BAV101, BAV102, BAV103/BAV100, BAV101, BAV102, BAV103.pdf;Datasheet/diodes/switching/BAV100, BAV101, BAV102, BAV103/BAV100, BAV101, BAV102, BAV103.zip
BAV100, BAV101, BAV102, BAV103;Enlarge;MiniMELF (SOD-80);60;100 at 50;1 at 100;50;Single;No;image/diodes/85542.png;Datasheet/diodes/switching/BAV100, BAV101, BAV102, BAV103/BAV100, BAV101, BAV102, BAV103.pdf;Datasheet/diodes/switching/BAV100, BAV101, BAV102, BAV103/BAV100, BAV101, BAV102, BAV103.zip
BAV17, BAV18, BAV19, BAV20, BAV21;Enlarge;DO-35 (DO-204AH);200;100 at 150;1 at 100;50;Single;No;image/diodes/85543.png;Datasheet/diodes/switching/BAV17, BAV18, BAV19, BAV20, BAV21/BAV17, BAV18, BAV19, BAV20, BAV21.pdf;Datasheet/diodes/switching/BAV17, BAV18, BAV19, BAV20, BAV21/BAV17, BAV18, BAV19, BAV20, BAV21.zip
BAV17, BAV18, BAV19, BAV20, BAV21;Enlarge;DO-35 (DO-204AH);25;100 at 20;1 at 100;50;Single;No;image/diodes/85543.png;Datasheet/diodes/switching/BAV17, BAV18, BAV19, BAV20, BAV21/BAV17, BAV18, BAV19, BAV20, BAV21.pdf;Datasheet/diodes/switching/BAV17, BAV18, BAV19, BAV20, BAV21/BAV17, BAV18, BAV19, BAV20, BAV21.zip
BAV17, BAV18, BAV19, BAV20, BAV21;Enlarge;DO-35 (DO-204AH);250;100 at 200;1 at 100;50;Single;No;image/diodes/85543.png;Datasheet/diodes/switching/BAV17, BAV18, BAV19, BAV20, BAV21/BAV17, BAV18, BAV19, BAV20, BAV21.pdf;Datasheet/diodes/switching/BAV17, BAV18, BAV19, BAV20, BAV21/BAV17, BAV18, BAV19, BAV20, BAV21.zip
BAV17, BAV18, BAV19, BAV20, BAV21;Enlarge;DO-35 (DO-204AH);60;100 at 50;1 at 100;50;Single;No;image/diodes/85543.png;Datasheet/diodes/switching/BAV17, BAV18, BAV19, BAV20, BAV21/BAV17, BAV18, BAV19, BAV20, BAV21.pdf;Datasheet/diodes/switching/BAV17, BAV18, BAV19, BAV20, BAV21/BAV17, BAV18, BAV19, BAV20, BAV21.zip
BAV17, BAV18, BAV19, BAV20, BAV21;Enlarge;DO-35 (DO-204AH);120;100 at 100;1 at 100;50;Single;No;image/diodes/85543.png;Datasheet/diodes/switching/BAV17, BAV18, BAV19, BAV20, BAV21/BAV17, BAV18, BAV19, BAV20, BAV21.pdf;Datasheet/diodes/switching/BAV17, BAV18, BAV19, BAV20, BAV21/BAV17, BAV18, BAV19, BAV20, BAV21.zip
BAV19W, BAV20W, BAV21W;Enlarge;SOD-123;120;100 at 100;1 at 100;50;Single;Yes;image/diodes/86372.png;Datasheet/diodes/switching/BAV19W, BAV20W, BAV21W/BAV19W, BAV20W, BAV21W.pdf;Datasheet/diodes/switching/BAV19W, BAV20W, BAV21W/BAV19W, BAV20W, BAV21W.zip
BAV19W, BAV20W, BAV21W;Enlarge;SOD-123;200;100 at 150;1 at 100;50;Single;Yes;image/diodes/86372.png;Datasheet/diodes/switching/BAV19W, BAV20W, BAV21W/BAV19W, BAV20W, BAV21W.pdf;Datasheet/diodes/switching/BAV19W, BAV20W, BAV21W/BAV19W, BAV20W, BAV21W.zip
BAV19W, BAV20W, BAV21W;Enlarge;SOD-123;250;100 at 200;1 at 100;50;Single;Yes;image/diodes/86372.png;Datasheet/diodes/switching/BAV19W, BAV20W, BAV21W/BAV19W, BAV20W, BAV21W.pdf;Datasheet/diodes/switching/BAV19W, BAV20W, BAV21W/BAV19W, BAV20W, BAV21W.zip
BAV19W-G, BAV20W-G, BAV21W-G;Enlarge;SOD-123;120;100 at 100;1 at 100;50;Single;Yes;image/diodes/86373.png;Datasheet/diodes/switching/BAV19W-G, BAV20W-G, BAV21W-G/BAV19W-G, BAV20W-G, BAV21W-G.pdf;Datasheet/diodes/switching/BAV19W-G, BAV20W-G, BAV21W-G/BAV19W-G, BAV20W-G, BAV21W-G.zip
BAV19WS, BAV20WS, BAV21WS;Enlarge;SOD-323;120;100 at 100;1 at 100;50;Single;Yes;image/diodes/85726.png;Datasheet/diodes/switching/BAV19WS, BAV20WS, BAV21WS/BAV19WS, BAV20WS, BAV21WS.pdf;Datasheet/diodes/switching/BAV19WS, BAV20WS, BAV21WS/BAV19WS, BAV20WS, BAV21WS.zip
BAV19WS, BAV20WS, BAV21WS;Enlarge;SOD-323;200;100 at 150;1 at 100;50;Single;Yes;image/diodes/85726.png;Datasheet/diodes/switching/BAV19WS, BAV20WS, BAV21WS/BAV19WS, BAV20WS, BAV21WS.pdf;Datasheet/diodes/switching/BAV19WS, BAV20WS, BAV21WS/BAV19WS, BAV20WS, BAV21WS.zip
BAV19WS, BAV20WS, BAV21WS;Enlarge;SOD-323;250;100 at 200;1 at 100;50;Single;Yes;image/diodes/85726.png;Datasheet/diodes/switching/BAV19WS, BAV20WS, BAV21WS/BAV19WS, BAV20WS, BAV21WS.pdf;Datasheet/diodes/switching/BAV19WS, BAV20WS, BAV21WS/BAV19WS, BAV20WS, BAV21WS.zip
BAV19WS-G, BAV20WS-G, BAV21WS-G;Enlarge;SOD-323;200;100 at 150;1 at 100;50;Single;Yes;image/diodes/83423.png;Datasheet/diodes/switching/BAV19WS-G, BAV20WS-G, BAV21WS-G/BAV19WS-G, BAV20WS-G, BAV21WS-G.pdf;Datasheet/diodes/switching/BAV19WS-G, BAV20WS-G, BAV21WS-G/BAV19WS-G, BAV20WS-G, BAV21WS-G.zip
BAV19WS-G, BAV20WS-G, BAV21WS-G;Enlarge;SOD-323;250;100 at 200;1 at 100;50;Single;Yes;image/diodes/83423.png;Datasheet/diodes/switching/BAV19WS-G, BAV20WS-G, BAV21WS-G/BAV19WS-G, BAV20WS-G, BAV21WS-G.pdf;Datasheet/diodes/switching/BAV19WS-G, BAV20WS-G, BAV21WS-G/BAV19WS-G, BAV20WS-G, BAV21WS-G.zip
BAV19WS-G, BAV20WS-G, BAV21WS-G;Enlarge;SOD-323;120;100 at 100;1 at 100;50;Single;Yes;image/diodes/83423.png;Datasheet/diodes/switching/BAV19WS-G, BAV20WS-G, BAV21WS-G/BAV19WS-G, BAV20WS-G, BAV21WS-G.pdf;Datasheet/diodes/switching/BAV19WS-G, BAV20WS-G, BAV21WS-G/BAV19WS-G, BAV20WS-G, BAV21WS-G.zip
