Series;Type(V);Display Format;Outline Dimensions(W x H mm);Effective Viewing Area(W x H mm);Character Size(W x H mm);Dot Size(W x H mm);Dot Pitch(W x H mm);Driving Method (Duty);Built-In Controller;Process Color STN Gray;Process Color STN Yellow;Process Color STN Blue;Process Color FSTN B & W;BL None;BL LED;BL EL;BL CCFL;Image path;Datasheet part;3d model part
LCD-122H032A, LCD-122H032C;Graphic;122 x 32 dots;84.0 x 44.0;60.0 x 18.0;N/a;0.40 x 0.45;0.44 x 0.49;1/32;Epson SED1520 (or equivalent);x;x;x;x;x;x;x;;37318;Datasheet/displays/LCD-122H032A, LCD-122H032C\LCD-122H032A, LCD-122H032C.pdf;None
LCD-122H032B, LCD-122H032G;Graphic;122 x 32 dots;65.4 x 28.2;54.8 x 19.0;N/a;0.36 x 0.41;0.40 x 0.45;1/32;Epson SED1520 (or equivalent);x;x;;;x;x;;;37319;Datasheet/displays/LCD-122H032B, LCD-122H032G\LCD-122H032B, LCD-122H032G.pdf;None
LCD-122H032BP1;Graphic;122 x 32 dots;65.4 x 28.2 x 10.5;54.8 x 19.0;N/a;0.36 x 0.41;0.40 x 0.45;1/32;Epson SED1520 (or equivalent);x;x;;;;x;;;37320;Datasheet/displays/LCD-122H032BP1\LCD-122H032BP1.pdf;None
LCD-122H032D;Graphic;122 x 32 dots;59.0 x 29.3;52.0 x 15.0;N/a;0.345 x 0.345;0.375 x 0.375;1/32;Epson SED1520 (or equivalent);x;x;;x;x;x;x;;37321;Datasheet/displays/LCD-122H032D\LCD-122H032D.pdf;None
LCD-122H032E, LCD-122H032J;Graphic;122 x 32 dots;80.0 x 36.0;60.0 x 18.0;N/a;0.40 x 0.45;0.44 x 0.49;1/32;Epson SED1520 (or equivalent);x;x;x;x;x;x;x;;37322;Datasheet/displays/LCD-122H032E, LCD-122H032J\LCD-122H032E, LCD-122H032J.pdf;None
LCD-122H032I;Graphic;122 x 32 dots;59.0 x 29.3 x 5.55;52.0 x 15.0;N/a;0.345 x 0.345;0.375 x 0.375;1/32;Epson SED1520 (or equivalent);x;x;;x;x;;;;37323;Datasheet/displays/LCD-122H032I\LCD-122H032I.pdf;None
LCD-122H032K;Graphic;122 x 32 dots;59.0 x 32.1;52.0 x 15.0;N/a;0.345 x 0.345;0.375 x 0.375;1/32;Epson SED1520 (or equivalent);x;x;;x;x;x;x;;37324;Datasheet/displays/LCD-122H032K\LCD-122H032K.pdf;None
LCD-122H032L;Graphic;122 x 32 dots;84.0 x 44.0;60.0 x 18.0;N/a;0.40 x 0.45;0.44 x 0.49;1/32;ST7920;x;x;x;x;x;x;x;;37326;Datasheet/displays/LCD-122H032L\LCD-122H032L.pdf;None
LCD-122H032M;Graphic;122 x 32 dots;59.0 x 29.3 x 5.5;52.0 x 15.0;N/a;0.345 x 0.345;0.375 x 0.375;1/32;ST7920;x;x;;x;x;;;;37327;Datasheet/displays/LCD-122H032M\LCD-122H032M.pdf;None
LCD-122H032N;Graphic;122 x 32 dots;59.0 x 29.3 x 5.5;52.0 x 15.0;N/a;0.345 x 0.345;0.375 x 0.375;1/32;ST7920;x;x;;x;x;x;x;;37328;Datasheet/displays/LCD-122H032N\LCD-122H032N.pdf;None
