Series;Type(V);Display Format;mm(W x H mm);mm(W x H mm);mm(W x H mm);mm(W x H mm);mm(W x H mm);Duty;Built-In Controller;Yellow;Green;Red;Blue;White;Image path;Datasheet part;3d model part
OLED-008N002A;Character;8 x 2 characters;58.0 x 32.0 x 10.0 (max.);38.0 x 16.0;2.96 x 5.56;0.56 x 0.66;0.60 x 0.70;1/16;OLED-0010;Y;Y;Y;Y;Y;37700;Datasheet/displays/OLED-008N002A\OLED-008N002A.pdf;None
OLED-008N002A-BPP5N00000;character;8 x 2 characters;58.0 x 32.0 x 10.0 (max.);38.0 x 16.0;2.96 x 5.56;0.56 x 0.66;0.60 x 0.70;1/16;OLED-0010;-;-;-;Yes;-;37726;Datasheet/displays/OLED-008N002A-BPP5N00000\OLED-008N002A-BPP5N00000.pdf;None
OLED-008N002A-GPP5N00000;character;8 x 2 characters;58.0 x 32.0 x 10.0 (max.);38.0 x 16.0;2.96 x 5.56;0.56 x 0.66;0.60 x 0.70;1/16;OLED-0010;-;Yes;-;-;-;37758;Datasheet/displays/OLED-008N002A-GPP5N00000\OLED-008N002A-GPP5N00000.pdf;None
OLED-008N002A-RPP5N00000;character;8 x 2 characters;58.0 x 32.0 x 10.0 (max.);38.0 x 16.0;2.96 x 5.56;0.56 x 0.66;0.60 x 0.70;1/16;OLED-0010;-;-;Yes;-;-;37967;Datasheet/displays/OLED-008N002A-RPP5N00000\OLED-008N002A-RPP5N00000.pdf;None
OLED-008N002A-WPP5N00000;character;8 x 2 characters;58.0 x 32.0 x 10.0 (max.);38.0 x 16.0;2.96 x 5.56;0.56 x 0.66;0.60 x 0.70;1/16;OLED-0010;-;-;-;-;Yes;37729;Datasheet/displays/OLED-008N002A-WPP5N00000\OLED-008N002A-WPP5N00000.pdf;None
OLED-012N002A;Character;12 x 2 characters;55.7 x 32.0 x 11.0 (max.);46.0 x 14.5;2.65 x 5.5;0.45 x 0.60;0.55 x 0.70;1/16;OLED-0010;Y;-;-;-;-;37701;Datasheet/displays/OLED-012N002A\OLED-012N002A.pdf;None
OLED-012N002A-GPP5N00000;character;12 x 2 characters;55.7 x 32.0 x 11.0 (max.);46.0 x 14.5;2.65 x 5.5;0.45 x 0.60;0.55 x 0.70;1/16;OLED-0010;-;Yes;-;-;-;37759;Datasheet/displays/OLED-012N002A-GPP5N00000\OLED-012N002A-GPP5N00000.pdf;None
OLED-012N002A-LPP5N00000;character;12 x 2 characters;55.7 x 32.0 x 11.0 (max.);46.0 x 14.5;2.65 x 5.5;0.45 x 0.60;0.55 x 0.70;1/16;OLED-0010;Yes;-;-;-;-;37760;Datasheet/displays/OLED-012N002A-LPP5N00000\OLED-012N002A-LPP5N00000.pdf;None
OLED-012N002A-WPP5N00000;character;12 x 2 characters;55.7 x 32.0 x 11.0 (max.);46.0 x 14.5;2.65 x 5.5;0.45 x 0.60;0.55 x 0.70;1/16;OLED-0010;-;-;-;-;Yes;37762;Datasheet/displays/OLED-012N002A-WPP5N00000\OLED-012N002A-WPP5N00000.pdf;None
OLED-016N001A-BPP5N00000;character;16 x 1 characters;80.0 x 36.0 x 10.0 (max.);66.0 x 16.0;2.95 x 6.35;0.55 x 0.75;0.60 x 0.80;1/8;OLED-0010;-;-;-;Yes;-;37763;Datasheet/displays/OLED-016N001A-BPP5N00000\OLED-016N001A-BPP5N00000.pdf;None
OLED-016N001A-GPP5N00000;character;16 x 1 characters;80.0 x 36.0 x 10.0 (max.);66.0 x 16.0;2.95 x 6.35;0.55 x 0.75;0.60 x 0.80;1/8;OLED-0010;-;Yes;-;-;-;37764;Datasheet/displays/OLED-016N001A-GPP5N00000\OLED-016N001A-GPP5N00000.pdf;None
OLED-016N001A-LPP5N00000;character;16 x 1 characters;80.0 x 36.0 x 10.0 (max.);66.0 x 16.0;2.95 x 6.35;0.55 x 0.75;0.60 x 0.80;1/8;OLED-0010;Yes;-;-;-;-;37765;Datasheet/displays/OLED-016N001A-LPP5N00000\OLED-016N001A-LPP5N00000.pdf;None
OLED-016N001A-WPP5N00000;character;16 x 1 characters;80.0 x 36.0 x 10.0 (max.);66.0 x 16.0;2.95 x 6.35;0.55 x 0.75;0.60 x 0.80;1/8;OLED-0010;-;-;-;-;Yes;37767;Datasheet/displays/OLED-016N001A-WPP5N00000\OLED-016N001A-WPP5N00000.pdf;None
