Part Number;Image;Package;Color;Circuitry;IVminμcd;Typ. IVμcd;Max. IVμcd;at If(mA);Typ. Vf(V);Image path;Datasheet part;3d model part
TDCG1050M;Enlarge;10 mm clock;Green;Common anode;2800;4000;;10;2;image/displays83180.png;displays\TDCG1050M\TDCG1050M.pdf;displays\TDCG1050M\TDCG1050M.zip
TDCG1060M;Enlarge;10 mm clock;Green;Common cathode;2800;4000;;10;2;image/displays83180.png;displays\TDCG1060M\TDCG1060M.pdf;displays\TDCG1060M\TDCG1060M.zip
TDCR1050M;Enlarge;10 mm clock;Red;Common anode;4000;6000;;10;2;image/displays83180.png;displays\TDCR1050M\TDCR1050M.pdf;displays\TDCR1050M\TDCR1050M.zip
TDCR1060M;Enlarge;10 mm clock;Red;Common cathode;4000;6000;;10;2;image/displays83180.png;displays\TDCR1060M\TDCR1060M.pdf;displays\TDCR1060M\TDCR1060M.zip
TDSG1150;Enlarge;7 mm;Green;Common anode;450;6000;;10;2.4;image/displays83124.png;displays\TDSG1150\TDSG1150.pdf;displays\TDSG1150\TDSG1150.zip
TDSG1150-LM;Enlarge;7 mm;Green;Common anode;2800;;9000;10;2.4;image/displays83124.png;displays\TDSG1150-LM\TDSG1150-LM.pdf;displays\TDSG1150-LM\TDSG1150-LM.zip
TDSG1160;Enlarge;7 mm;Green;Common cathode;450;6000;;10;2.4;image/displays83124.png;displays\TDSG1160\TDSG1160.pdf;displays\TDSG1160\TDSG1160.zip
TDSG1160-LM;Enlarge;7 mm;Green;Common cathode;2800;;9000;10;2.4;image/displays83124.png;displays\TDSG1160-LM\TDSG1160-LM.pdf;displays\TDSG1160-LM\TDSG1160-LM.zip
TDSG3150;Enlarge;10 mm;Green;Common anode;450;6800;;10;2.4;image/displays83125.png;displays\TDSG3150\TDSG3150.pdf;displays\TDSG3150\TDSG3150.zip
TDSG3150-M;Enlarge;10 mm;Green;Common anode;4500;;9000;10;2.4;image/displays83125.png;displays\TDSG3150-M\TDSG3150-M.pdf;displays\TDSG3150-M\TDSG3150-M.zip
TDSG3150-MN;Enlarge;10 mm;Green;Common anode;4500;;14000;10;2.4;image/displays83125.png;displays\TDSG3150-MN\TDSG3150-MN.pdf;displays\TDSG3150-MN\TDSG3150-MN.zip
TDSG3160;Enlarge;10 mm;Green;Common cathode;450;6800;;10;2.4;image/displays83125.png;displays\TDSG3160\TDSG3160.pdf;displays\TDSG3160\TDSG3160.zip
TDSG3160-M;Enlarge;10 mm;Green;Common cathode;4500;;9000;10;2.4;image/displays83125.png;displays\TDSG3160-M\TDSG3160-M.pdf;displays\TDSG3160-M\TDSG3160-M.zip
TDSG5150;Enlarge;13 mm;Green;Common anode;700;9500;;10;2.4;image/displays83126.png;displays\TDSG5150\TDSG5150.pdf;displays\TDSG5150\TDSG5150.zip
TDSG5150-MN;Enlarge;13 mm;Green;Common anode;4500;;14000;10;2.4;image/displays83126.png;displays\TDSG5150-MN\TDSG5150-MN.pdf;displays\TDSG5150-MN\TDSG5150-MN.zip
TDSG5150-N;Enlarge;13 mm;Green;Common anode;7000;;14000;10;2.4;image/displays83126.png;displays\TDSG5150-N\TDSG5150-N.pdf;displays\TDSG5150-N\TDSG5150-N.zip
TDSG5160;Enlarge;13 mm;Green;Common cathode;700;9500;;10;2.4;image/displays83126.png;displays\TDSG5160\TDSG5160.pdf;displays\TDSG5160\TDSG5160.zip
TDSG5160-MN;Enlarge;13 mm;Green;Common cathode;4500;;14000;10;2.4;image/displays83126.png;displays\TDSG5160-MN\TDSG5160-MN.pdf;displays\TDSG5160-MN\TDSG5160-MN.zip
TDSG5160-N;Enlarge;13 mm;Green;Common cathode;7000;;14000;10;2.4;image/displays83126.png;displays\TDSG5160-N\TDSG5160-N.pdf;displays\TDSG5160-N\TDSG5160-N.zip
TDSL1150;Enlarge;7 mm;Red;Common anode;;1000;;5;1.8;image/displays83121.png;displays\TDSL1150\TDSL1150.pdf;None
TDSL1160;Enlarge;7 mm;Red;Common cathode;;1000;;5;1.8;image/displays83121.png;displays\TDSL1160\TDSL1160.pdf;None
TDSL3150;Enlarge;10 mm;Red;Common anode;180;260;;2;1.8;image/displays83122.png;displays\TDSL3150\TDSL3150.pdf;displays\TDSL3150\TDSL3150.zip
TDSL3160;Enlarge;10 mm;Red;Common cathode;180;260;;2;1.8;image/displays83122.png;displays\TDSL3160\TDSL3160.pdf;displays\TDSL3160\TDSL3160.zip
TDSL5150;Enlarge;13 mm;Red;Common anode;280;400;;2;1.8;image/displays83123.png;displays\TDSL5150\TDSL5150.pdf;displays\TDSL5150\TDSL5150.zip
TDSL5160;Enlarge;13 mm;Red;Common cathode;280;400;;2;1.8;image/displays83123.png;displays\TDSL5160\TDSL5160.pdf;displays\TDSL5160\TDSL5160.zip
TDSO1150;Enlarge;7 mm;Orange red;Common anode;450;3000;;10;2;image/displays83124.png;displays\TDSO1150\TDSO1150.pdf;displays\TDSO1150\TDSO1150.zip
TDSO1150-K;Enlarge;7 mm;Orange red;Common anode;1800;;3600;10;2;image/displays83124.png;displays\TDSO1150-K\TDSO1150-K.pdf;displays\TDSO1150-K\TDSO1150-K.zip
TDSO1160;Enlarge;7 mm;Orange red;Common cathode;450;3000;;10;2;image/displays83124.png;displays\TDSO1160\TDSO1160.pdf;displays\TDSO1160\TDSO1160.zip
TDSO1160-KL;Enlarge;7 mm;Orange red;Common cathode;1800;;5600;10;2;image/displays83124.png;displays\TDSO1160-KL\TDSO1160-KL.pdf;displays\TDSO1160-KL\TDSO1160-KL.zip
TDSO3150;Enlarge;10 mm;Orange red;Common anode;450;4500;;10;2;image/displays83125.png;displays\TDSO3150\TDSO3150.pdf;displays\TDSO3150\TDSO3150.zip
TDSO3150-KL;Enlarge;10 mm;Orange red;Common anode;1800;;5600;10;2;image/displays83125.png;displays\TDSO3150-KL\TDSO3150-KL.pdf;displays\TDSO3150-KL\TDSO3150-KL.zip
TDSO3150-L;Enlarge;10 mm;Orange red;Common anode;2800;;5600;10;2;image/displays83125.png;displays\TDSO3150-L\TDSO3150-L.pdf;displays\TDSO3150-L\TDSO3150-L.zip
TDSO3155;Enlarge;10 mm;Orange red;Common anode;1100;;9000;10;2;image/displays83125.png;displays\TDSO3155\TDSO3155.pdf;displays\TDSO3155\TDSO3155.zip
TDSO3160;Enlarge;10 mm;Orange red;Common cathode;450;4500;;10;2;image/displays83125.png;displays\TDSO3160\TDSO3160.pdf;displays\TDSO3160\TDSO3160.zip
TDSO3160-KL;Enlarge;10 mm;Orange red;Common cathode;1800;;5600;10;2;image/displays83125.png;displays\TDSO3160-KL\TDSO3160-KL.pdf;displays\TDSO3160-KL\TDSO3160-KL.zip
TDSO3160-L;Enlarge;10 mm;Orange red;Common cathode;2800;;5600;10;2;image/displays83125.png;displays\TDSO3160-L\TDSO3160-L.pdf;displays\TDSO3160-L\TDSO3160-L.zip
TDSO5150;Enlarge;13 mm;Orange red;Common anode;700;5000;;10;2;image/displays83126.png;displays\TDSO5150\TDSO5150.pdf;displays\TDSO5150\TDSO5150.zip
TDSO5150-LM;Enlarge;13 mm;Orange red;Common anode;2800;;9000;10;2;image/displays83126.png;displays\TDSO5150-LM\TDSO5150-LM.pdf;displays\TDSO5150-LM\TDSO5150-LM.zip
TDSO5160;Enlarge;13 mm;Orange red;Common cathode;700;5000;;10;2;image/displays83126.png;displays\TDSO5160\TDSO5160.pdf;displays\TDSO5160\TDSO5160.zip
TDSO5160-LM;Enlarge;13 mm;Orange red;Common cathode;2800;;9000;10;2;image/displays83126.png;displays\TDSO5160-LM\TDSO5160-LM.pdf;displays\TDSO5160-LM\TDSO5160-LM.zip
TDSR0750;Enlarge;7 mm;Red;Common anode;180;;2200;1;1.8;image/displays81163.png;displays\TDSR0750\TDSR0750.pdf;displays\TDSR0750\TDSR0750.zip
TDSR0750-HI;Enlarge;7 mm;Red;Common anode;700;;2200;1;1.8;image/displays81163.png;displays\TDSR0750-HI\TDSR0750-HI.pdf;displays\TDSR0750-HI\TDSR0750-HI.zip
TDSR0760;Enlarge;7 mm;Red;Common cathode;180;;2200;1;1.8;image/displays81163.png;displays\TDSR0760\TDSR0760.pdf;displays\TDSR0760\TDSR0760.zip
TDSR1050;Enlarge;10 mm;Red;Common anode;280;;3600;1;1.8;image/displays81199.png;displays\TDSR1050\TDSR1050.pdf;displays\TDSR1050\TDSR1050.zip
TDSR1050-IK;Enlarge;10 mm;Red;Common anode;1100;;3600;1;1.8;image/displays81199.png;displays\TDSR1050-IK\TDSR1050-IK.pdf;displays\TDSR1050-IK\TDSR1050-IK.zip
TDSR1060;Enlarge;10 mm;Red;Common cathode;280;;3600;1;1.8;image/displays81199.png;displays\TDSR1060\TDSR1060.pdf;displays\TDSR1060\TDSR1060.zip
TDSR1350;Enlarge;13 mm;Red;Common anode;280;;3600;1;1.8;image/displays85180.png;displays\TDSR1350\TDSR1350.pdf;displays\TDSR1350\TDSR1350.zip
TDSR1360;Enlarge;13 mm;Red;Common cathode;280;;3600;1;1.8;image/displays85180.png;displays\TDSR1360\TDSR1360.pdf;displays\TDSR1360\TDSR1360.zip
TDSR1360-IK;Enlarge;13 mm;Red;Common cathode;1100;;3600;1;1.8;image/displays85180.png;displays\TDSR1360-IK\TDSR1360-IK.pdf;displays\TDSR1360-IK\TDSR1360-IK.zip
VDMG10A0;Enlarge;10 mm;Green;Common anode;;4400;;10;2.0;image/displays84196.png;displays\VDMG10A0\VDMG10A0.pdf;displays\VDMG10A0\VDMG10A0.zip
VDMG10C0;Enlarge;10 mm;Green;Common cathode;;4400;;10;2.0;image/displays84196.png;displays\VDMG10C0\VDMG10C0.pdf;displays\VDMG10C0\VDMG10C0.zip
VDMO10A0;Enlarge;10 mm;Soft orange;Common anode;;8250;;10;2.0;image/displays84196.png;displays\VDMO10A0\VDMO10A0.pdf;displays\VDMO10A0\VDMO10A0.zip
VDMO10C0;Enlarge;10 mm;Soft orange;Common cathode;;8250;;10;2.0;image/displays84196.png;displays\VDMO10C0\VDMO10C0.pdf;displays\VDMO10C0\VDMO10C0.zip
VDMR10A0;Enlarge;10 mm;Super red;Common anode;;8250;;10;2.0;image/displays84196.png;displays\VDMR10A0\VDMR10A0.pdf;displays\VDMR10A0\VDMR10A0.zip
VDMR10A1;Enlarge;10 mm;Super red;Common anode;;20;;10;2.0;image/displays84197.png;displays\VDMR10A1\VDMR10A1.pdf;displays\VDMR10A1\VDMR10A1.zip
VDMR10C0;Enlarge;10 mm;Super red;Common cathode;;8250;;10;2.0;image/displays84196.png;displays\VDMR10C0\VDMR10C0.pdf;displays\VDMR10C0\VDMR10C0.zip
VDMY10A0;Enlarge;10 mm;Yellow;Common anode;;30250;;10;2.0;image/displays84196.png;displays\VDMY10A0\VDMY10A0.pdf;displays\VDMY10A0\VDMY10A0.zip
VDMY10A1;Enlarge;10 mm;Yellow;Common anode;;17;;10;2.0;image/displays84197.png;displays\VDMY10A1\VDMY10A1.pdf;displays\VDMY10A1\VDMY10A1.zip
VDMY10C0;Enlarge;10 mm;Yellow;Common cathode;;30250;;10;2.0;image/displays84196.png;displays\VDMY10C0\VDMY10C0.pdf;displays\VDMY10C0\VDMY10C0.zip
