Part Number;Product Image;Package Type;Package Form;Package Dimensions (L x W x H)(mm);Peak Wavelength(nm);Radiant Intensity(mW/sr);Angle of Half Intensity(±°);Rise Time(ns);Radiant Power(mW);AEC-Qualified;Image path;Datasheet part;3d model part
CQY36N;Enlarge;leaded;T-¾;∅ 1.8;950;1.5;55;800;;;image/ir-emitting-diodes/81001.png;Datasheet\/ir-emitting-diodes/CQY36N\CQY36N.pdf;None
CQY37N;Enlarge;leaded;T-¾;∅ 1.8;950;5;12;800;;No;image/ir-emitting-diodes/81002.png;Datasheet\/ir-emitting-diodes/CQY37N\CQY37N.pdf;None
TB9408VA;Enlarge;chip;Chip;0.2 x 0.2 x 0.19;940;4.0;80;15;22;No;image/ir-emitting-diodes/84227.png;Datasheet\/ir-emitting-diodes/TB9408VA\TB9408VA.pdf;None
TB9414VA;Enlarge;chip;chip;0.37 x 0.37 x 0.19;940;4.3;80;15;21;No;image/ir-emitting-diodes/81132.png;Datasheet\/ir-emitting-diodes/TB9414VA\TB9414VA.pdf;None
TS8510VB;Enlarge;chip;Chip;0.260 x 0.260 x 0.17;855;n/a;60;10;18;No;image/ir-emitting-diodes/84402.png;Datasheet\/ir-emitting-diodes/TS8510VB\TS8510VB.pdf;None
TS8514VB;Enlarge;chip;Chip;0.355 x 0.355 x 0.17;855;n/a;60;10;38;No;image/ir-emitting-diodes/84403.png;Datasheet\/ir-emitting-diodes/TS8514VB\TS8514VB.pdf;None
TS8914VB;Enlarge;chip;Chip;0.360 x 0.360 x 0.17;890;n/a;60;10;39;No;image/ir-emitting-diodes/80367.png;Datasheet\/ir-emitting-diodes/TS8914VB\TS8914VB.pdf;None
TS9410VB;Enlarge;chip;Chip;0.260 x 0.260 x 0.17;940;n/a;60;10;20;No;image/ir-emitting-diodes/84291.png;Datasheet\/ir-emitting-diodes/TS9410VB\TS9410VB.pdf;None
TS9414VB;Enlarge;chip;Chip;0.355 x 0.355 x 0.17;940;n/a;60;10;40;No;image/ir-emitting-diodes/84275.png;Datasheet\/ir-emitting-diodes/TS9414VB\TS9414VB.pdf;None
TSAL4400;Enlarge;leaded;T-1;∅ 3;940;36;25;15;;No;image/ir-emitting-diodes/81006.png;Datasheet\/ir-emitting-diodes/TSAL4400\TSAL4400.pdf;None
TSAL6100;Enlarge;leaded;T-1¾;∅ 5;940;170;10;15;;No;image/ir-emitting-diodes/81009.png;Datasheet\/ir-emitting-diodes/TSAL6100\TSAL6100.pdf;Datasheet\/ir-emitting-diodes/TSAL6100\TSAL6100.zip
TSAL6100UL;Enlarge;leaded;T-1¾;∅ 5;940;170;10;15;;No;image/ir-emitting-diodes/84388.png;Datasheet\/ir-emitting-diodes/TSAL6100UL\TSAL6100UL.pdf;None
TSAL6102;Enlarge;leaded;T-1¾;∅ 5;940;220;10;15;;No;image/ir-emitting-diodes/84337.png;Datasheet\/ir-emitting-diodes/TSAL6102\TSAL6102.pdf;None
TSAL6200;Enlarge;leaded;T-1¾;∅ 5;940;72;17;15;;No;image/ir-emitting-diodes/81010.png;Datasheet\/ir-emitting-diodes/TSAL6200\TSAL6200.pdf;Datasheet\/ir-emitting-diodes/TSAL6200\TSAL6200.zip
TSAL6400;Enlarge;leaded;T-1¾;∅ 5;940;50;25;15;;No;image/ir-emitting-diodes/81011.png;Datasheet\/ir-emitting-diodes/TSAL6400\TSAL6400.pdf;Datasheet\/ir-emitting-diodes/TSAL6400\TSAL6400.zip
TSHF5210;Enlarge;leaded;T-1¾;∅ 5;890;327;8;10;;No;image/ir-emitting-diodes/81313.png;Datasheet\/ir-emitting-diodes/TSHF5210\TSHF5210.pdf;Datasheet\/ir-emitting-diodes/TSHF5210\TSHF5210.zip
TSHF5211;Enlarge;leaded;T-1¾;∅ 5;890;235;10;15;;No;image/ir-emitting-diodes/80343.png;Datasheet\/ir-emitting-diodes/TSHF5211\TSHF5211.pdf;Datasheet\/ir-emitting-diodes/TSHF5211\TSHF5211.zip
TSHF5410;Enlarge;leaded;T-1¾;∅ 5;890;62;27;10;;No;image/ir-emitting-diodes/81303.png;Datasheet\/ir-emitting-diodes/TSHF5410\TSHF5410.pdf;Datasheet\/ir-emitting-diodes/TSHF5410\TSHF5410.zip
TSHF6210;Enlarge;leaded;T-1¾;∅ 5;890;327;8;10;;No;image/ir-emitting-diodes/81734.png;Datasheet\/ir-emitting-diodes/TSHF6210\TSHF6210.pdf;Datasheet\/ir-emitting-diodes/TSHF6210\TSHF6210.zip
TSHF6410;Enlarge;leaded;T-1¾;∅ 5;890;62;27;10;;No;image/ir-emitting-diodes/81832.png;Datasheet\/ir-emitting-diodes/TSHF6410\TSHF6410.pdf;Datasheet\/ir-emitting-diodes/TSHF6410\TSHF6410.zip
TSHG5210;Enlarge;leaded;T-1¾;∅ 5;850;230;10;20;;;image/ir-emitting-diodes/81810.png;Datasheet\/ir-emitting-diodes/TSHG5210\TSHG5210.pdf;Datasheet\/ir-emitting-diodes/TSHG5210\TSHG5210.zip
TSHG5410;Enlarge;leaded;T-1¾;∅ 5;850;90;18;20;;;image/ir-emitting-diodes/81811.png;Datasheet\/ir-emitting-diodes/TSHG5410\TSHG5410.pdf;Datasheet\/ir-emitting-diodes/TSHG5410\TSHG5410.zip
TSHG6200;Enlarge;leaded;T-1¾;∅ 5;850;180;10;20;;;image/ir-emitting-diodes/81078.png;Datasheet\/ir-emitting-diodes/TSHG6200\TSHG6200.pdf;Datasheet\/ir-emitting-diodes/TSHG6200\TSHG6200.zip
TSHG6210;Enlarge;leaded;T-1¾;∅ 5;850;230;10;20;;No;image/ir-emitting-diodes/81869.png;Datasheet\/ir-emitting-diodes/TSHG6210\TSHG6210.pdf;Datasheet\/ir-emitting-diodes/TSHG6210\TSHG6210.zip
TSHG6400;Enlarge;leaded;T-1¾;∅ 5;850;70;22;20;;;image/ir-emitting-diodes/84636.png;Datasheet\/ir-emitting-diodes/TSHG6400\TSHG6400.pdf;Datasheet\/ir-emitting-diodes/TSHG6400\TSHG6400.zip
TSHG6410;Enlarge;leaded;T-1¾;∅ 5;850;90;18;20;;;image/ir-emitting-diodes/81870.png;Datasheet\/ir-emitting-diodes/TSHG6410\TSHG6410.pdf;Datasheet\/ir-emitting-diodes/TSHG6410\TSHG6410.zip
TSHG8200;Enlarge;leaded;T-1¾;∅ 5;830;180;10;20;;No;image/ir-emitting-diodes/84755.png;Datasheet\/ir-emitting-diodes/TSHG8200\TSHG8200.pdf;Datasheet\/ir-emitting-diodes/TSHG8200\TSHG8200.zip
TSHG8400;Enlarge;leaded;T-1¾;∅ 5;830;70;22;20;;No;image/ir-emitting-diodes/81297.png;Datasheet\/ir-emitting-diodes/TSHG8400\TSHG8400.pdf;Datasheet\/ir-emitting-diodes/TSHG8400\TSHG8400.zip
