Part Number;Package;Color;Dominant Wavelength Min. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Typ. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Max. (nm)orColor Coordinate(x, y)(nm);Luminous Intensity IVMin.(mcd);Luminous Intensity IVTyp.(mcd);Luminous Intensity IVMax.(mcd);IFforIV(mA);Luminous Flux ΦVMin.(mIm);Luminous Flux ΦVTyp.(mIm);Luminous Flux ΦVMax.(mIm);IFforΦV(mA);Forward Voltage, VFTyp.(V);Forward Voltage, VFMax.(V);Angle of Half Intensity(± °);Key Feature;Image path;Datasheet part;3d model part
TLCPG5100;5 mm;Pure green;555;562;567;430;1250;;50;;;;;2.1;2.7;9;Power;81346;Datasheet/leds/TLCPG5100\TLCPG5100.pdf;Datasheet/leds/TLCPG5100\TLCPG5100.zip
TLCR5100;5 mm;Red;611;616;622;4300;11000;;50;;;;;2.1;2.7;9;Power;81346;Datasheet/leds/TLCR5100\TLCR5100.pdf;Datasheet/leds/TLCR5100\TLCR5100.zip
TLCR6200;5 mm;Red;611;616;622;1350;4000;;50;;;;;2.1;2.7;15;Power;81197;Datasheet/leds/TLCR6200\TLCR6200.pdf;Datasheet/leds/TLCR6200\TLCR6200.zip
TLCR6800;5 mm;Red;611;616;622;7500;35000;;50;;;;;2.1;2.7;4;Power;81157;Datasheet/leds/TLCR6800\TLCR6800.pdf;Datasheet/leds/TLCR6800\TLCR6800.zip
TLCS5100;5 mm;Super red;626;630;638;2400;7500;;50;;;;;2.1;2.7;9;Power;81346;Datasheet/leds/TLCS5100\TLCS5100.pdf;Datasheet/leds/TLCS5100\TLCS5100.zip
TLCY5200;5 mm;Yellow;585;590;597;1350;4000;;50;;;;;2.1;2.7;15;Power;81354;Datasheet/leds/TLCY5200\TLCY5200.pdf;Datasheet/leds/TLCY5200\TLCY5200.zip
TLCY6800;5 mm;Yellow;585;590;597;5750;25000;;50;;;;;2.1;2.7;4;Power;81157;Datasheet/leds/TLCY6800\TLCY6800.pdf;Datasheet/leds/TLCY6800\TLCY6800.zip
TLCYG5100;5 mm;Yellow green;565;572;576;1350;3500;;50;;;;;2.2;2.7;9;Power;81346;Datasheet/leds/TLCYG5100\TLCYG5100.pdf;Datasheet/leds/TLCYG5100\TLCYG5100.zip
TLWR8600;TELUX;Red;611;616;634;;;;;2000;3700;;70;2.2;2.67;30;Power;83168;Datasheet/leds/TLWR8600\TLWR8600.pdf;Datasheet/leds/TLWR8600\TLWR8600.zip
TLWR8900;TELUX;Red;611;616;634;;;;;2000;3700;;70;2.2;2.67;45;Power;83212;Datasheet/leds/TLWR8900\TLWR8900.pdf;Datasheet/leds/TLWR8900\TLWR8900.zip
TLWR8901;TELUX;Red;611;616;634;;;;;2000;3700;4800;70;2.2;2.67;45;Power;83212;Datasheet/leds/TLWR8901\TLWR8901.pdf;Datasheet/leds/TLWR8901\TLWR8901.zip
TLWR8902;TELUX;Red;611;616;634;;;;;3000;3900;4800;70;2.2;2.67;45;Power;83212;Datasheet/leds/TLWR8902\TLWR8902.pdf;Datasheet/leds/TLWR8902\TLWR8902.zip
TLWY8600;TELUX;Yellow;585;591;597;;;;;2000;3200;;70;2.1;2.67;30;Power;83168;Datasheet/leds/TLWY8600\TLWY8600.pdf;Datasheet/leds/TLWY8600\TLWY8600.zip
TLWY8900;TELUX;Yellow;585;591;597;;;;;2000;3200;;70;2.1;2.67;45;Power;83212;Datasheet/leds/TLWY8900\TLWY8900.pdf;Datasheet/leds/TLWY8900\TLWY8900.zip
VLCS5130;5 mm;Red;620;624;630;7500;25000;;50;;;;;2.2;3.0;9;Power;81938;Datasheet/leds/VLCS5130\VLCS5130.pdf;Datasheet/leds/VLCS5130\VLCS5130.zip
VLCS5830;5 mm;Red;620;624;630;24000;65000;;50;;;;;2.2;3.0;4;Power;81892;Datasheet/leds/VLCS5830\VLCS5830.pdf;Datasheet/leds/VLCS5830\VLCS5830.zip
VLDB1232G;SMD dome lens;Blue;458;465;472;1800;3500;;20;;;;;3.0;3.4;9;Power;80003;Datasheet/leds/VLDB1232G\VLDB1232G.pdf;Datasheet/leds/VLDB1232G\VLDB1232G.zip
VLDB1232R;SMD dome lens;Blue;458;465;472;1800;3500;;20;;;;;3.0;3.4;9;Power;80003;Datasheet/leds/VLDB1232R\VLDB1232R.pdf;Datasheet/leds/VLDB1232R\VLDB1232R.zip
VLDK1235G;SMD dome lens;Amber;611;616;621;9000;18000;35500;50;;;;;2.25;2.7;11;Power;84280;Datasheet/leds/VLDK1235G\VLDK1235G.pdf;Datasheet/leds/VLDK1235G\VLDK1235G.zip
VLDK1235R;SMD dome lens;Amber;611;616;621;9000;18000;35500;50;;;;;2.25;2.7;11;Power;84280;Datasheet/leds/VLDK1235R\VLDK1235R.pdf;Datasheet/leds/VLDK1235R\VLDK1235R.zip
