Part Number;Package;Color;Dominant Wavelength Min. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Typ. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Max. (nm)orColor Coordinate(x, y)(nm);Luminous Intensity IVMin.(mcd);Luminous Intensity IVTyp.(mcd);Luminous Intensity IVMax.(mcd);IFforIV(mA);Luminous Flux ΦVMin.(mIm);Luminous Flux ΦVTyp.(mIm);Luminous Flux ΦVMax.(mIm);IFforΦV(mA);Forward Voltage, VFTyp.(V);Forward Voltage, VFMax.(V);Angle of Half Intensity(± °);Key Feature;Image path;Datasheet part;3d model part
TLMG1100;SMD 0603;Green;564;570;575;12.5;35;;20;;;;;2.1;2.4;80;Standard;83173;leds\TLMG1100\TLMG1100.pdf;
TLMO1000;SMD 0603;Soft orange;600;605;609;3.55;7.5;;2;;;;;1.8;2.6;80;Low current;83172;leds\TLMO1000\TLMO1000.pdf;
TLMO1100;SMD 0603;Orange;600;606;609;50;80;;20;;;;;2.1;2.4;80;Standard;83173;leds\TLMO1100\TLMO1100.pdf;
TLMP1100;SMD 0603;Pure green;551;561;566;6.3;15;;20;;;;;2.1;2.4;80;Standard;83173;leds\TLMP1100\TLMP1100.pdf;
TLMS1000;SMD 0603;Red;624;628;636;1.8;4;;2;;;;;1.8;2.6;80;Low current;83172;leds\TLMS1000\TLMS1000.pdf;
TLMS1100;SMD 0603;Red;627;633;639;32;63;;20;;;;;2.1;2.4;80;Standard;83173;leds\TLMS1100\TLMS1100.pdf;
TLMS1101;SMD 0603;Red;627;633;639;50;;125;20;;;;;2.1;2.4;80;Standard;83173;leds\TLMS1101\TLMS1101.pdf;
TLMY1000;SMD 0603;Yellow;580;588;595;3.55;7.5;;2;;;;;1.8;2.6;80;Low current;83172;leds\TLMY1000\TLMY1000.pdf;
TLMY1100;SMD 0603;Yellow;580;589;595;50;80;;20;;;;;2.1;2.4;80;Standard;83173;leds\TLMY1100\TLMY1100.pdf;
VLDB1232G;SMD dome lens;Blue;458;465;472;1800;3500;;20;;;;;3.0;3.4;9;Power;80003;leds\VLDB1232G\VLDB1232G.pdf;
VLDB1232R;SMD dome lens;Blue;458;465;472;1800;3500;;20;;;;;3.0;3.4;9;Power;80003;leds\VLDB1232R\VLDB1232R.pdf;
VLDK1235G;SMD dome lens;Amber;611;616;621;9000;18000;35500;50;;;;;2.25;2.7;11;Power;84280;leds\VLDK1235G\VLDK1235G.pdf;
VLDK1235R;SMD dome lens;Amber;611;616;621;9000;18000;35500;50;;;;;2.25;2.7;11;Power;84280;leds\VLDK1235R\VLDK1235R.pdf;
VLDK1535G;SMD dome lens;Amber;611;616;621;4500;8000;14000;50;;;;;2.25;2.7;22;Power;84876;leds\VLDK1535G\VLDK1535G.pdf;
VLDK1535R;SMD dome lens;Amber;611;616;621;4500;8000;14000;50;;;;;2.25;2.7;22;Power;84876;leds\VLDK1535R\VLDK1535R.pdf;
VLDR1235G;SMD dome lens;Red;619;624;631;9000;14500;35500;50;;;;;2.2;2.7;11;Power;84280;leds\VLDR1235G\VLDR1235G.pdf;
VLDR1235R;SMD dome lens;Red;619;624;631;9000;14500;35500;50;;;;;2.2;2.7;11;Power;84280;leds\VLDR1235R\VLDR1235R.pdf;
VLDR1535G;SMD dome lens;Red;619;624;631;3550;6500;11200;50;;;;;2.2;2.7;22;Power;84876;leds\VLDR1535G\VLDR1535G.pdf;
VLDR1535R;SMD dome lens;Red;619;624;631;3550;6500;11200;50;;;;;2.2;2.7;22;Power;84876;leds\VLDR1535R\VLDR1535R.pdf;
VLDS1235G;SMD dome lens;Super red;626;630;637;5600;11000;22400;50;;;;;2.2;2.7;11;Power;84280;leds\VLDS1235G\VLDS1235G.pdf;
VLDS1235R;SMD dome lens;Super red;626;630;637;5600;11000;22400;50;;;;;2.2;2.7;11;Power;84280;leds\VLDS1235R\VLDS1235R.pdf;
VLDS1535G;SMD dome lens;Super red;626;630;637;2800;5000;9000;50;;;;;2.2;2.7;22;Power;84876;leds\VLDS1535G\VLDS1535G.pdf;
VLDS1535R;SMD dome lens;Super red;626;630;637;2800;5000;9000;50;;;;;2.2;2.7;22;Power;84876;leds\VLDS1535R\VLDS1535R.pdf;
VLDTG1232G;SMD dome lens;True green;515;525;541;7100;16000;;20;;;;;2.9;3.4;9;Power;80003;leds\VLDTG1232G\VLDTG1232G.pdf;
VLDTG1232R;SMD dome lens;True green;515;525;541;7100;16000;;20;;;;;2.9;3.4;9;Power;80003;leds\VLDTG1232R\VLDTG1232R.pdf;
VLDY1235G;SMD dome lens;Yellow;583;589;595;9000;18000;35500;50;;;;;2.3;2.7;11;Power;84280;leds\VLDY1235G\VLDY1235G.pdf;
VLDY1235R;SMD dome lens;Yellow;583;589;595;9000;18000;35500;50;;;;;2.3;2.7;11;Power;84280;leds\VLDY1235R\VLDY1235R.pdf;
