Part Number;Package;Color;Dominant Wavelength Min. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Typ. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Max. (nm)orColor Coordinate(x, y)(nm);Luminous Intensity IVMin.(mcd);Luminous Intensity IVTyp.(mcd);Luminous Intensity IVMax.(mcd);IFforIV(mA);Luminous Flux ΦVMin.(mIm);Luminous Flux ΦVTyp.(mIm);Luminous Flux ΦVMax.(mIm);IFforΦV(mA);Forward Voltage, VFTyp.(V);Forward Voltage, VFMax.(V);Angle of Half Intensity(± °);Key Feature;Image path;Datasheet part;3d model part
TLDR4400;3 mm;Red;;648;;25;45;;20;;;;;1.8;2.2;40;Standard;83001;leds\TLDR4400\TLDR4400.pdf;
TLDR4900;3 mm;Red;;648;;63;200;;20;;;;;1.8;2.2;16;Standard;83002;leds\TLDR4900\TLDR4900.pdf;
TLDR4901;3 mm;Red;;648;;63;;200;20;;;;;1.8;2.2;16;Standard;83002;leds\TLDR4901\TLDR4901.pdf;
TLDR5400;5 mm;Red;;648;;35;70;;20;;;;;1.8;2.2;30;Standard;83003;leds\TLDR5400\TLDR5400.pdf;
TLDR5800;5 mm;Red;;648;;1000;2500;;20;;;;;1.8;2.2;4;Standard;83004;leds\TLDR5800\TLDR5800.pdf;
TLDR6400;5 mm;Red;;648;;35;70;;20;;;;;1.8;2.2;30;Standard;81155;leds\TLDR6400\TLDR6400.pdf;
TLDR6800;5 mm;Red;;648;;1000;2500;;20;;;;;1.8;2.2;4;Standard;81156;leds\TLDR6800\TLDR6800.pdf;
TLHA44R1S2;3 mm;Amber;612;617;625;112;;280;20;;;;;2;2.6;30;Standard;83376;leds\TLHA44R1S2\TLHA44R1S2.pdf;
TLHE44R1S2-26;3 mm;Yellow;583;588;594;112;;280;20;;;;;1.9;2.6;30;Standard;83375;leds\TLHE44R1S2-26\TLHE44R1S2-26.pdf;
TLHE4600;3 mm;Yellow;581;588;594;10;26;;10;;;;;1.9;2.6;60;Standard;83130;leds\TLHE4600\TLHE4600.pdf;
TLHE5800;5 mm;Yellow;581;588;594;1000;3500;;20;;;;;2;2.6;4;Standard;83024;leds\TLHE5800\TLHE5800.pdf;
TLHF4600;3 mm;Soft orange;598;605;611;10;26;;10;;;;;2.0;2.6;60;Standard;83134;leds\TLHF4600\TLHF4600.pdf;
TLHF4601;3 mm;Soft orange;602;;609;40;;125;10;;;;;2.0;2.6;60;Standard;83134;leds\TLHF4601\TLHF4601.pdf;
TLHF4900;3 mm;Soft orange;598;605;611;63;300;;10;;;;;1.9;2.6;16;Standard;83025;leds\TLHF4900\TLHF4900.pdf;
TLHG4200;3 mm;Green;562;;575;6.3;10;;10;;;;;2.4;3;22;Standard;83005;leds\TLHG4200\TLHG4200.pdf;
TLHG4201;3 mm;Green;562;;575;10;15;;10;;;;;2.4;3;22;Standard;83005;leds\TLHG4201\TLHG4201.pdf;
TLHG4205;3 mm;Green;562;;575;16;20;;10;;;;;2.4;3;22;Standard;83005;leds\TLHG4205\TLHG4205.pdf;
TLHG4400;3 mm;Green;562;;575;2.5;13;;10;;;;;2.4;3;30;Standard;83006;leds\TLHG4400\TLHG4400.pdf;
TLHG4401;3 mm;Green;562;;575;4;14;;10;;;;;2.4;3;30;Standard;83006;leds\TLHG4401\TLHG4401.pdf;
TLHG4405;3 mm;Green;562;;575;6.3;15;;10;;;;;2.4;3;30;Standard;83006;leds\TLHG4405\TLHG4405.pdf;
TLHG44K1M2;3 mm;Green;562;;575;;;;;;;;;2.1;2.6;30;Standard;80319;leds\TLHG44K1M2\TLHG44K1M2.pdf;
TLHG4600;3 mm;Green;562;;575;1;4;;10;;;;;2.4;3;60;Standard;83007;leds\TLHG4600\TLHG4600.pdf;
TLHG4605;3 mm;Green;562;;575;4;6;;10;;;;;2.4;3;60;Standard;83007;leds\TLHG4605\TLHG4605.pdf;
TLHG4900;3 mm;Green;562;;575;16;37;;10;;;;;2.4;3;16;Standard;83009;leds\TLHG4900\TLHG4900.pdf;
TLHG5420;5 mm;Green;562;570;575;6.3;20;;10;;;;;2.1;2.4;25;Standard;86335;leds\TLHG5420\TLHG5420.pdf;
