Series;Product Image;Configuration;Package;Ch;VDS(V);VGS(V);RDS(on)@1.2V(Ω);RDS(on)1.5V(Ω);RDS(on)@1.8V(Ω);RDS(on)@2.5V(Ω);RDS(on)@3V(Ω);RDS(on)@4.5V(Ω);RDS(on)@6V(Ω);RDS(on)@7.5V(Ω);RDS(on)@10V(Ω);Qg@4.5V(nC);Qg@10V(nC);Qgs(nC);Qgd(nC);IDMax.(A);PDMax.(W);VGS(th)Min.(V);RgTyp.(Ω);Image path;Datasheet part;3d model part
2N7002K;Enlarge;Single;SOT-23;N;60;20;;;;;;4;;;2;0.4;;;;0.3;0.35;1;;image/mosfets/71333.png;Datasheet/mosfets/2N7002K/2N7002K.pdf;Datasheet/mosfets/2N7002K/2N7002K.zip
IRF510;Enlarge;Single;TO-220AB;N;100;20;;;;;;;;;0.54;;8.3;2.3;3.8;5.6;43;2;;image/mosfets/91015.png;Datasheet/mosfets/IRF510/IRF510.pdf;None
IRF510S, SiHF510S;Enlarge;Single;D2PAK (TO-263);N;100;20;;;;;;;;;0.54;;8.3;2.3;3.8;5.6;43;2;;image/mosfets/91016.png;Datasheet/mosfets/IRF510S, SiHF510S/IRF510S, SiHF510S.pdf;None
IRF520;Enlarge;Single;TO-220AB;N;100;20;;;;;;;;;0.27;;16;4.4;7.7;9.2;60;2;;image/mosfets/91017.png;Datasheet/mosfets/IRF520/IRF520.pdf;None
IRF520S, SiHF520S;Enlarge;Single;D2PAK (TO-263);N;100;20;;;;;;;;;0.27;;16;4.4;7.7;9.2;60;2;;image/mosfets/91018.png;Datasheet/mosfets/IRF520S, SiHF520S/IRF520S, SiHF520S.pdf;None
IRF530;Enlarge;Single;TO-220AB;N;100;20;;;;;;;;;0.16;;26;5.5;11;14;88;2;;image/mosfets/91019.png;Datasheet/mosfets/IRF530/IRF530.pdf;None
IRF530S, SiHF530S;Enlarge;Single;D2PAK (TO-263);N;100;20;;;;;;;;;0.16;;26;5.5;11;14;88;2;;image/mosfets/91020.png;Datasheet/mosfets/IRF530S, SiHF530S/IRF530S, SiHF530S.pdf;None
IRF540;Enlarge;Single;TO-220AB;N;100;20;;;;;;;;;0.077;;72;11;32;28;150;2;;image/mosfets/91021.png;Datasheet/mosfets/IRF540/IRF540.pdf;None
IRF540S, SiHF540S;Enlarge;Single;D2PAK (TO-263);N;100;20;;;;;;;;;0.077;;72;11;32;28;150;2;;image/mosfets/91022.png;Datasheet/mosfets/IRF540S, SiHF540S/IRF540S, SiHF540S.pdf;None
IRF610;Enlarge;Single;TO-220AB;N;200;20;;;;;;;;;1.5;;8.2;1.8;4.5;3.3;36;2;;image/mosfets/91023.png;Datasheet/mosfets/IRF610/IRF610.pdf;None
IRF610S, SiHF610S, IRF610L, SiHF610L;Enlarge;Single;D2PAK (TO-263);N;200;20;;;;;;;;;1.5;;8.2;1.8;4.5;3.3;36;2;;image/mosfets/91024.png;Datasheet/mosfets/IRF610S, SiHF610S, IRF610L, SiHF610L/IRF610S, SiHF610S, IRF610L, SiHF610L.pdf;None
IRF620;Enlarge;Single;TO-220AB;N;200;20;;;;;;;;;0.8;;14;3;7.9;5.2;50;2;;image/mosfets/91027.png;Datasheet/mosfets/IRF620/IRF620.pdf;None
IRF620S, SiHF620S;Enlarge;Single;D2PAK (TO-263);N;200;20;;;;;;;;;0.8;;14;3;7.9;5.2;50;2;;image/mosfets/91028.png;Datasheet/mosfets/IRF620S, SiHF620S/IRF620S, SiHF620S.pdf;None
IRF630;Enlarge;Single;TO-220AB;N;200;20;;;;;;;;;0.4;;43;7;23;9;74;2;;image/mosfets/91031.png;Datasheet/mosfets/IRF630/IRF630.pdf;None
IRF630S, SiHF630S;Enlarge;Single;D2PAK (TO-263);N;200;20;;;;;;;;;0.4;;43;7;23;9;74;2;;image/mosfets/91032.png;Datasheet/mosfets/IRF630S, SiHF630S/IRF630S, SiHF630S.pdf;None
IRF634;Enlarge;Single;TO-220AB;N;250;20;;;;;;;;;0.45;;41;6.5;22;8.1;74;2;;image/mosfets/91034.png;Datasheet/mosfets/IRF634/IRF634.pdf;None
IRF634S, SiHF634S;Enlarge;Single;D2PAK (TO-263);N;250;20;;;;;;;;;0.45;;41;6.5;22;8.1;74;2;;image/mosfets/91035.png;Datasheet/mosfets/IRF634S, SiHF634S/IRF634S, SiHF634S.pdf;None
IRF640, SiHF640;Enlarge;Single;TO-220AB;N;200;20;;;;;;;;;0.18;;70;13;39;18;125;2;;image/mosfets/91036.png;Datasheet/mosfets/IRF640, SiHF640/IRF640, SiHF640.pdf;None
IRF640S, SiHF640S, SiHF640L;Enlarge;Single;D2PAK (TO-263);N;200;20;;;;;;;;;0.18;;70;13;39;18;130;2;;image/mosfets/91037.png;Datasheet/mosfets/IRF640S, SiHF640S, SiHF640L/IRF640S, SiHF640S, SiHF640L.pdf;None
IRF640S, SiHF640S, SiHF640L;Enlarge;Single;I2PAK (TO-262);N;200;20;;;;;;;;;0.18;;70;13;39;18;130;2;;image/mosfets/91037.png;Datasheet/mosfets/IRF640S, SiHF640S, SiHF640L/IRF640S, SiHF640S, SiHF640L.pdf;None
IRF644;Enlarge;Single;TO-220AB;N;250;20;;;;;;;;;0.28;;68;11;35;14;125;2;;image/mosfets/91039.png;Datasheet/mosfets/IRF644/IRF644.pdf;None
IRF644S, SiHF644S;Enlarge;Single;D2PAK (TO-263);N;250;20;;;;;;;;;0.28;;68;11;35;14;125;2;;image/mosfets/91040.png;Datasheet/mosfets/IRF644S, SiHF644S/IRF644S, SiHF644S.pdf;None
IRF710;Enlarge;Single;TO-220AB;N;400;20;;;;;;;;;3.6;;17;3.4;8.5;2;36;2;;image/mosfets/91041.png;Datasheet/mosfets/IRF710/IRF710.pdf;None
