Part Number;Product Image;Package;VCEO(V);CTR Min.(1)%;CTR Max.(1)%;Forward Current IF(mA);ton/toff(µs);Operating Temperature(°C);Isolation Voltage VISOVRMS;Safety Standard(s);Image path;Datasheet part;3d model part
4N25-X, 4N26-X, 4N27-X, 4N28-X;Enlarge;DIP-6;70;10;;;;- 55 to + 100;5000;UL, cUL, VDE, BSI, FIMKO, CQC;image/optocouplers\81864.png;Datasheet\optocouplers\4N25-X, 4N26-X, 4N27-X, 4N28-X\4N25-X, 4N26-X, 4N27-X, 4N28-X.pdf;None
4N25-X, 4N26-X, 4N27-X, 4N28-X;Enlarge;DIP-6, 400 mil;70;10;;;;- 55 to + 100;5000;UL, cUL, VDE, BSI, FIMKO, CQC;image/optocouplers\81864.png;Datasheet\optocouplers\4N25-X, 4N26-X, 4N27-X, 4N28-X\4N25-X, 4N26-X, 4N27-X, 4N28-X.pdf;None
4N25-X, 4N26-X, 4N27-X, 4N28-X;Enlarge;SMD-6;70;10;;;;- 55 to + 100;5000;UL, cUL, VDE, BSI, FIMKO, CQC;image/optocouplers\81864.png;Datasheet\optocouplers\4N25-X, 4N26-X, 4N27-X, 4N28-X\4N25-X, 4N26-X, 4N27-X, 4N28-X.pdf;None
CNY17;Enlarge;DIP-6;70;13;320;10;3, 2.3;-55 to +110;5000;UL, cUL, VDE, BSI, FIMKO, CQC;image/optocouplers\83606.png;Datasheet\optocouplers\CNY17\CNY17.pdf;Datasheet\optocouplers\CNY17\CNY17.zip
CNY17;Enlarge;DIP-6, 400 mil;70;13;320;10;3, 2.3;-55 to +110;5000;UL, cUL, VDE, BSI, FIMKO, CQC;image/optocouplers\83606.png;Datasheet\optocouplers\CNY17\CNY17.pdf;Datasheet\optocouplers\CNY17\CNY17.zip
CNY17;Enlarge;SMD-6;70;13;320;10;3, 2.3;-55 to +110;5000;UL, cUL, VDE, BSI, FIMKO, CQC;image/optocouplers\83606.png;Datasheet\optocouplers\CNY17\CNY17.pdf;Datasheet\optocouplers\CNY17\CNY17.zip
CNY17F;Enlarge;DIP-6;70;13;320;10;3, 2.3;-55 to +110;5000;UL, cUL, VDE, BSI, FIMKO, CQC;image/optocouplers\83607.png;Datasheet\optocouplers\CNY17F\CNY17F.pdf;Datasheet\optocouplers\CNY17F\CNY17F.zip
CNY17F;Enlarge;DIP-6, 400 mil;70;13;320;10;3, 2.3;-55 to +110;5000;UL, cUL, VDE, BSI, FIMKO, CQC;image/optocouplers\83607.png;Datasheet\optocouplers\CNY17F\CNY17F.pdf;Datasheet\optocouplers\CNY17F\CNY17F.zip
CNY17F;Enlarge;SMD-6;70;13;320;10;3, 2.3;-55 to +110;5000;UL, cUL, VDE, BSI, FIMKO, CQC;image/optocouplers\83607.png;Datasheet\optocouplers\CNY17F\CNY17F.pdf;Datasheet\optocouplers\CNY17F\CNY17F.zip
CNY64, CNY65, CNY66;Enlarge;DIP-4 HV;32;50;300;10;5, 3;-55 to +85;8200 13 900;UL, VDE;image/optocouplers\83540.png;Datasheet\optocouplers\CNY64, CNY65, CNY66\CNY64, CNY65, CNY66.pdf;Datasheet\optocouplers\CNY64, CNY65, CNY66\CNY64, CNY65, CNY66.zip
