Part Number;Product Image;Package;VCEO(V);CTR min.1%;CTR max.1%;Forward Current IFmax.(mA);Power DissipationmW(mW);Operating Temperature max.(°C);Isolation Voltage VISOVRMS;Safety Standard(s);Image path;Datasheet part;3d model part
H11AA1;Enlarge;DIP-6;30;20;;± 60;200;-55 to +100;4420;UL, cUL, VDE, BSI, FIMKO;image/optocouplers/83608.png;Datasheet/optocouplers/opto-ac-in/H11AA1/H11AA1.pdf;Datasheet/optocouplers/opto-ac-in/H11AA1/H11AA1.zip
H11AA1;Enlarge;DIP-6 400 mil;30;20;;± 60;200;-55 to +100;4420;UL, cUL, VDE, BSI, FIMKO;image/optocouplers/83608.png;Datasheet/optocouplers/opto-ac-in/H11AA1/H11AA1.pdf;Datasheet/optocouplers/opto-ac-in/H11AA1/H11AA1.zip
H11AA1;Enlarge;SMD-6;30;20;;± 60;200;-55 to +100;4420;UL, cUL, VDE, BSI, FIMKO;image/optocouplers/83608.png;Datasheet/optocouplers/opto-ac-in/H11AA1/H11AA1.pdf;Datasheet/optocouplers/opto-ac-in/H11AA1/H11AA1.zip
IL250, IL252;Enlarge;DIP-6;30;50;;60;200150;-55 to +100;4420;UL, cUL, VDE, BSI, , ,;image/optocouplers/83618.png;Datasheet/optocouplers/opto-ac-in/IL250, IL252/IL250, IL252.pdf;Datasheet/optocouplers/opto-ac-in/IL250, IL252/IL250, IL252.zip
IL250, IL252;Enlarge;SMD-6;30;50;;60;200150;-55 to +100;4420;UL, cUL, VDE, BSI, , ,;image/optocouplers/83618.png;Datasheet/optocouplers/opto-ac-in/IL250, IL252/IL250, IL252.pdf;Datasheet/optocouplers/opto-ac-in/IL250, IL252/IL250, IL252.zip
ILD256T;Enlarge;SOIC-8;70;20;;30;125;-55 to +100;4000;UL, cUL;image/optocouplers/83649.png;Datasheet/optocouplers/opto-ac-in/ILD256T/ILD256T.pdf;Datasheet/optocouplers/opto-ac-in/ILD256T/ILD256T.zip
ILD620, ILD620GB, ILQ620, ILQ620GB;Enlarge;DIP-8;70;30;600;60;150;-55 to +110;4420;UL, cUL, VDE, CQC, FIMKO;image/optocouplers/83653.png;Datasheet/optocouplers/opto-ac-in/ILD620, ILD620GB, ILQ620, ILQ620GB/ILD620, ILD620GB, ILQ620, ILQ620GB.pdf;Datasheet/optocouplers/opto-ac-in/ILD620, ILD620GB, ILQ620, ILQ620GB/ILD620, ILD620GB, ILQ620, ILQ620GB.zip
ILD620, ILD620GB, ILQ620, ILQ620GB;Enlarge;SMD-8;70;30;600;60;150;-55 to +110;4420;UL, cUL, VDE, CQC, FIMKO;image/optocouplers/83653.png;Datasheet/optocouplers/opto-ac-in/ILD620, ILD620GB, ILQ620, ILQ620GB/ILD620, ILD620GB, ILQ620, ILQ620GB.pdf;Datasheet/optocouplers/opto-ac-in/ILD620, ILD620GB, ILQ620, ILQ620GB/ILD620, ILD620GB, ILQ620, ILQ620GB.zip
ILD620, ILD620GB, ILQ620, ILQ620GB;Enlarge;DIP-16;70;30;600;60;150;-55 to +110;4420;UL, cUL, VDE, CQC, FIMKO;image/optocouplers/83653.png;Datasheet/optocouplers/opto-ac-in/ILD620, ILD620GB, ILQ620, ILQ620GB/ILD620, ILD620GB, ILQ620, ILQ620GB.pdf;Datasheet/optocouplers/opto-ac-in/ILD620, ILD620GB, ILQ620, ILQ620GB/ILD620, ILD620GB, ILQ620, ILQ620GB.zip
ILD620, ILD620GB, ILQ620, ILQ620GB;Enlarge;SMD-16;70;30;600;60;150;-55 to +110;4420;UL, cUL, VDE, CQC, FIMKO;image/optocouplers/83653.png;Datasheet/optocouplers/opto-ac-in/ILD620, ILD620GB, ILQ620, ILQ620GB/ILD620, ILD620GB, ILQ620, ILQ620GB.pdf;Datasheet/optocouplers/opto-ac-in/ILD620, ILD620GB, ILQ620, ILQ620GB/ILD620, ILD620GB, ILQ620, ILQ620GB.zip
SFH620A, SFH6206;Enlarge;DIP-4;70;13;320;± 60;150;-55 to +100;44705300;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers/83675.png;Datasheet/optocouplers/opto-ac-in/SFH620A, SFH6206/SFH620A, SFH6206.pdf;Datasheet/optocouplers/opto-ac-in/SFH620A, SFH6206/SFH620A, SFH6206.zip
SFH620A, SFH6206;Enlarge;DIP-4 400 mil;70;13;320;± 60;150;-55 to +100;44705300;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers/83675.png;Datasheet/optocouplers/opto-ac-in/SFH620A, SFH6206/SFH620A, SFH6206.pdf;Datasheet/optocouplers/opto-ac-in/SFH620A, SFH6206/SFH620A, SFH6206.zip
SFH620A, SFH6206;Enlarge;SMD-4;70;13;320;± 60;150;-55 to +100;44705300;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers/83675.png;Datasheet/optocouplers/opto-ac-in/SFH620A, SFH6206/SFH620A, SFH6206.pdf;Datasheet/optocouplers/opto-ac-in/SFH620A, SFH6206/SFH620A, SFH6206.zip
SFH620AA, SFH620AGB;Enlarge;DIP-4;;50;600;± 60;150;-55 to +100;5300;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers/83676.png;Datasheet/optocouplers/opto-ac-in/SFH620AA, SFH620AGB/SFH620AA, SFH620AGB.pdf;Datasheet/optocouplers/opto-ac-in/SFH620AA, SFH620AGB/SFH620AA, SFH620AGB.zip
SFH620AA, SFH620AGB;Enlarge;SMD-4;;50;600;± 60;150;-55 to +100;5300;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers/83676.png;Datasheet/optocouplers/opto-ac-in/SFH620AA, SFH620AGB/SFH620AA, SFH620AGB.pdf;Datasheet/optocouplers/opto-ac-in/SFH620AA, SFH620AGB/SFH620AA, SFH620AGB.zip
SFH628A, SFH6286;Enlarge;DIP-4;55;32;500;± 50;150;-55 to +100;4420;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers/83722.png;Datasheet/optocouplers/opto-ac-in/SFH628A, SFH6286/SFH628A, SFH6286.pdf;Datasheet/optocouplers/opto-ac-in/SFH628A, SFH6286/SFH628A, SFH6286.zip
SFH628A, SFH6286;Enlarge;SFH6286 option;55;32;500;± 50;150;-55 to +100;4420;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers/83722.png;Datasheet/optocouplers/opto-ac-in/SFH628A, SFH6286/SFH628A, SFH6286.pdf;Datasheet/optocouplers/opto-ac-in/SFH628A, SFH6286/SFH628A, SFH6286.zip
SFH628A, SFH6286;Enlarge;DIP-4 400 mil;55;32;500;± 50;150;-55 to +100;4420;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers/83722.png;Datasheet/optocouplers/opto-ac-in/SFH628A, SFH6286/SFH628A, SFH6286.pdf;Datasheet/optocouplers/opto-ac-in/SFH628A, SFH6286/SFH628A, SFH6286.zip
SFH628A, SFH6286;Enlarge;SMD-4;55;32;500;± 50;150;-55 to +100;4420;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers/83722.png;Datasheet/optocouplers/opto-ac-in/SFH628A, SFH6286/SFH628A, SFH6286.pdf;Datasheet/optocouplers/opto-ac-in/SFH628A, SFH6286/SFH628A, SFH6286.zip
SFH691AT;Enlarge;SOP-4;70;50;300;± 50;150;-55 to +100;3750;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers/83719.png;Datasheet/optocouplers/opto-ac-in/SFH691AT/SFH691AT.pdf;Datasheet/optocouplers/opto-ac-in/SFH691AT/SFH691AT.zip
TCLT1600;Enlarge;SOP-4L;70;80;300;± 5;;-55 to +100;5000;UL, cUL, VDE, BSI, FIMKO, CQC,;image/optocouplers/83517.png;Datasheet/optocouplers/opto-ac-in/TCLT1600/TCLT1600.pdf;None
TCMT1600, TCMT4600, TCMT4606;Enlarge;SOP-4;70;80;300;± 60;150;-40 to +100;3750;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers/83512.png;Datasheet/optocouplers/opto-ac-in/TCMT1600, TCMT4600, TCMT4606/TCMT1600, TCMT4600, TCMT4606.pdf;Datasheet/optocouplers/opto-ac-in/TCMT1600, TCMT4600, TCMT4606/TCMT1600, TCMT4600, TCMT4606.zip
TCMT1600, TCMT4600, TCMT4606;Enlarge;SOP-16;70;80;300;± 60;150;-40 to +100;3750;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers/83512.png;Datasheet/optocouplers/opto-ac-in/TCMT1600, TCMT4600, TCMT4606/TCMT1600, TCMT4600, TCMT4606.pdf;Datasheet/optocouplers/opto-ac-in/TCMT1600, TCMT4600, TCMT4606/TCMT1600, TCMT4600, TCMT4606.zip
VOL628A;Enlarge;LSOP-4 mini-flat;80;50;600;± 60;150;-55 to +110;5000;UL, cUL, VDE, BSI, FIMKO, CQC,;image/optocouplers/82401.png;Datasheet/optocouplers/opto-ac-in/VOL628A/VOL628A.pdf;None
VOS627A;Enlarge;SSOP-4;80;50;600;50;;-55 to +110;3750;UL, cUL, VDE, FIMKO, CQC;image/optocouplers/83475.png;Datasheet/optocouplers/opto-ac-in/VOS627A/VOS627A.pdf;Datasheet/optocouplers/opto-ac-in/VOS627A/VOS627A.zip
VOS628A;Enlarge;SSOP-4;80;50;600;50;;-55 to +110;3750;UL, cUL, VDE, FIMKO, CQC;image/optocouplers/83466.png;Datasheet/optocouplers/opto-ac-in/VOS628A/VOS628A.pdf;Datasheet/optocouplers/opto-ac-in/VOS628A/VOS628A.zip
