Part Number;Product Image;Package;Output Current IO(A);Operating Voltage Range Vcc(V);tPLH, tPHLmin.(µs);tPLH, tPHLmax.(µs);Pulse Width Distortion PWD(µs);Supply Current ICC max.(mA);Common Mode Rejection CMR min.(kV/µs);Operating Temperature Range(°C);Isolation Voltage VISOVRMS;Safety Standard(s);Image path;Datasheet part;3d model part
VO3120;Enlarge;DIP-8;2.5;15 to 32;0.1;0.4;0.2;2.5;25;-40 to +110;5300;UL, cUL, VDE;image/optocouplers/81314.png;Datasheet/optocouplers/opto-driver/VO3120/VO3120.pdf;Datasheet/optocouplers/opto-driver/VO3120/VO3120.zip
VO3120;Enlarge;SMD-8;2.5;15 to 32;0.1;0.4;0.2;2.5;25;-40 to +110;5300;UL, cUL, VDE;image/optocouplers/81314.png;Datasheet/optocouplers/opto-driver/VO3120/VO3120.pdf;Datasheet/optocouplers/opto-driver/VO3120/VO3120.zip
LH1262CAC, LH1262CACTR, LH1262CB;Enlarge;SMD-8;;;;;;;;-40 to +85;5300;UL, cUL, VDE, CQC, CQC, FIMKO;image/optocouplers/83802.png;Datasheet/optocouplers/opto-driver/LH1262CAC, LH1262CACTR, LH1262CB/LH1262CAC, LH1262CACTR, LH1262CB.pdf;Datasheet/optocouplers/opto-driver/LH1262CAC, LH1262CACTR, LH1262CB/LH1262CAC, LH1262CACTR, LH1262CB.zip
LH1262CAC, LH1262CACTR, LH1262CB;Enlarge;DIP-8;;;;;;;;-40 to +85;5300;UL, cUL, VDE, CQC, CQC, FIMKO;image/optocouplers/83802.png;Datasheet/optocouplers/opto-driver/LH1262CAC, LH1262CACTR, LH1262CB/LH1262CAC, LH1262CACTR, LH1262CB.pdf;Datasheet/optocouplers/opto-driver/LH1262CAC, LH1262CACTR, LH1262CB/LH1262CAC, LH1262CACTR, LH1262CB.zip
VO1263AAC, VO1263AACTR, VO1263AB;Enlarge;SMD-8;;;;;;;;-40 to +100;5300;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers/84639.png;Datasheet/optocouplers/opto-driver/VO1263AAC, VO1263AACTR, VO1263AB/VO1263AAC, VO1263AACTR, VO1263AB.pdf;Datasheet/optocouplers/opto-driver/VO1263AAC, VO1263AACTR, VO1263AB/VO1263AAC, VO1263AACTR, VO1263AB.zip
VO1263AAC, VO1263AACTR, VO1263AB;Enlarge;DIP-8;;;;;;;;-40 to +100;5300;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers/84639.png;Datasheet/optocouplers/opto-driver/VO1263AAC, VO1263AACTR, VO1263AB/VO1263AAC, VO1263AACTR, VO1263AB.pdf;Datasheet/optocouplers/opto-driver/VO1263AAC, VO1263AACTR, VO1263AB/VO1263AAC, VO1263AACTR, VO1263AB.zip
VO3150A;Enlarge;DIP-8;0.5;15 to 32;0.1;0.4;0.2;2.5;25;-40 to +110;5300;UL, cUL, VDE;image/optocouplers/81808.png;Datasheet/optocouplers/opto-driver/VO3150A/VO3150A.pdf;Datasheet/optocouplers/opto-driver/VO3150A/VO3150A.zip
VO3150A;Enlarge;SMD-8;0.5;15 to 32;0.1;0.4;0.2;2.5;25;-40 to +110;5300;UL, cUL, VDE;image/optocouplers/81808.png;Datasheet/optocouplers/opto-driver/VO3150A/VO3150A.pdf;Datasheet/optocouplers/opto-driver/VO3150A/VO3150A.zip
VOW3120;Enlarge;DIP-8;2.5;15 to 32;0.1;0.5;0.3;2.5;25;-40 to +100;5300;UL, cUL, VDE, CQC, CQC;image/optocouplers/82442.png;Datasheet/optocouplers/opto-driver/VOW3120/VOW3120.pdf;Datasheet/optocouplers/opto-driver/VOW3120/VOW3120.zip
VOW3120;Enlarge;SMD-8;2.5;15 to 32;0.1;0.5;0.3;2.5;25;-40 to +100;5300;UL, cUL, VDE, CQC, CQC;image/optocouplers/82442.png;Datasheet/optocouplers/opto-driver/VOW3120/VOW3120.pdf;Datasheet/optocouplers/opto-driver/VOW3120/VOW3120.zip
VOM1271;Enlarge;SOP-4;;;;;;;;-40 to +100;3750;UL, cUL, FIMKO;image/optocouplers/83469.png;Datasheet/optocouplers/opto-driver/VOM1271/VOM1271.pdf;Datasheet/optocouplers/opto-driver/VOM1271/VOM1271.zip
VOD3120AB, VOD3120AD, VOD3120AG;Enlarge;DIP-8;2.5;15 to 30;0.05;0.5;0.07;3;35;-40 to +105;5300;UL, cUL, VDE, CQC;image/optocouplers/84921.png;Datasheet/optocouplers/opto-driver/VOD3120AB, VOD3120AD, VOD3120AG/VOD3120AB, VOD3120AD, VOD3120AG.pdf;Datasheet/optocouplers/opto-driver/VOD3120AB, VOD3120AD, VOD3120AG/VOD3120AB, VOD3120AD, VOD3120AG.zip
VOD3120AB, VOD3120AD, VOD3120AG;Enlarge;DIP-8, 400 mil;2.5;15 to 30;0.05;0.5;0.07;3;35;-40 to +105;5300;UL, cUL, VDE, CQC;image/optocouplers/84921.png;Datasheet/optocouplers/opto-driver/VOD3120AB, VOD3120AD, VOD3120AG/VOD3120AB, VOD3120AD, VOD3120AG.pdf;Datasheet/optocouplers/opto-driver/VOD3120AB, VOD3120AD, VOD3120AG/VOD3120AB, VOD3120AD, VOD3120AG.zip
VOD3120AB, VOD3120AD, VOD3120AG;Enlarge;SMD-8;2.5;15 to 30;0.05;0.5;0.07;3;35;-40 to +105;5300;UL, cUL, VDE, CQC;image/optocouplers/84921.png;Datasheet/optocouplers/opto-driver/VOD3120AB, VOD3120AD, VOD3120AG/VOD3120AB, VOD3120AD, VOD3120AG.pdf;Datasheet/optocouplers/opto-driver/VOD3120AB, VOD3120AD, VOD3120AG/VOD3120AB, VOD3120AD, VOD3120AG.zip
VOMDA1271;Enlarge;SOP-4;;;;;;;;-1.3-40 to +125;3750;UL, cUL, CQC;image/optocouplers/80316.png;Datasheet/optocouplers/opto-driver/VOMDA1271/VOMDA1271.pdf;Datasheet/optocouplers/opto-driver/VOMDA1271/VOMDA1271.zip
