Part Number;Product Image;Device Type;Package Type;Package Form;Package Dimensions L x W x H(mm);Peak Wavelength λp(nm);Spectral Bandwidth(1)(nm);Output Current(2)(µA);Angle of Half Sensitivity φ;Photo Sensitive Area(mm2);Image path;Datasheet part;3d model part
BP104;Enlarge;Silicon PIN Photodiode;leaded;Top view;5.4 x 4.3 x 3.2;950;870 to 1050;45;65;7.5;image/photo-detectors\81500.png;Datasheet\photo-detectors\BP104\BP104.pdf;None
BP104S;Enlarge;Silicon PIN Photodiode;leaded;Top view;5.4 x 4.3 x 3.2;950;870 to 1050;45;65;7.5;image/photo-detectors\81500.png;Datasheet\photo-detectors\BP104S\BP104S.pdf;None
BPV09NF;Enlarge;Silicon PIN Photodiode;leaded;T-1¾;∅ 5;940;790 to 1050;55;55;;image/photo-detectors\80275.png;Datasheet\photo-detectors\BPV09NF\BPV09NF.pdf;None
BPV10;Enlarge;Silicon PIN Photodiode;leaded;T-1¾;∅ 5;920;380 to 1100;70;20;;image/photo-detectors\81502.png;Datasheet\photo-detectors\BPV10\BPV10.pdf;Datasheet\photo-detectors\BPV10\BPV10.zip
BPV10NF;Enlarge;Silicon PIN Photodiode;leaded;T-1¾;∅ 5;940;780 to 1050;60;60;;image/photo-detectors\81503.png;Datasheet\photo-detectors\BPV10NF\BPV10NF.pdf;Datasheet\photo-detectors\BPV10NF\BPV10NF.zip
BPV10NF;Enlarge;Silicon PIN Photodiode;leaded;T-1;∅ 5;940;780 to 1050;60;60;;image/photo-detectors\81503.png;Datasheet\photo-detectors\BPV10NF\BPV10NF.pdf;Datasheet\photo-detectors\BPV10NF\BPV10NF.zip
BPV11;Enlarge;Silicon NPN Phototransistor, RoHS Compliant;leaded;T-1¾;∅ 5;850;450 to 1080;10000;15;;image/photo-detectors\81504.png;Datasheet\photo-detectors\BPV11\BPV11.pdf;Datasheet\photo-detectors\BPV11\BPV11.zip
BPV11F;Enlarge;Silicon NPN Phototransistor, RoHS Compliant;leaded;T-1¾;∅ 5;930;900 to 980;9000;15;;image/photo-detectors\81505.png;Datasheet\photo-detectors\BPV11F\BPV11F.pdf;Datasheet\photo-detectors\BPV11F\BPV11F.zip
BPV22F;Enlarge;Silicon PIN Photodiode;leaded;Side view;4.5 x 5 x 6;950;870 to 1050;80;60;7.5;image/photo-detectors\81508.png;Datasheet\photo-detectors\BPV22F\BPV22F.pdf;None
BPV22NF;Enlarge;Silicon PIN Photodiode;leaded;Side view;4.5 x 5 x 6;940;790 to 1050;85;60;7.5;image/photo-detectors\81509.png;Datasheet\photo-detectors\BPV22NF\BPV22NF.pdf;None
BPV22NFL;Enlarge;Silicon PIN Photodiode;leaded;Side view, long leads;4.5 x 5 x 6;940;790 to 1050;85;60;7.5;image/photo-detectors\81509.png;Datasheet\photo-detectors\BPV22NFL\BPV22NFL.pdf;None
BPV23F;Enlarge;Silicon PIN Photodiode;leaded;Side view;4.5 x 5 x 6;950;870 to 1050;63;60;4.4;image/photo-detectors\81510.png;Datasheet\photo-detectors\BPV23F\BPV23F.pdf;None
