Series;Product Image;Type;Technology;Description;Voltage Min.(V);Voltage Max.(V);Capacitance Min.;Capacitance Max.;Image path;Datasheet part;3d model part
ACMKP;Enlarge;Capacitors, Fixed, Power Electronic;Metallized polypropylene film, self-healing;Power Electronic AC Capacitors (PEC);350;1700;6.8 uF;600 uF;image\capacitors\13228.png;Datasheet\capacitors\ACMKP\ACMKP.pdf;Datasheet\capacitors\ACMKP\ACMKP.zip
ACMKP Rectangular;Enlarge;Capacitors, Fixed, Power Electronic;Metallized polypropylene film, self-healing;AC Power Electronic Capacitors (PEC) - Rectangular;200;6000;10 uF;5000 uF;image\capacitors\13218.png;Datasheet\capacitors\ACMKP Rectangular\ACMKP Rectangular.pdf;Datasheet\capacitors\ACMKP Rectangular\ACMKP Rectangular.zip
DCMKP;Enlarge;Capacitors, Fixed, Power Electronic;Metallized polypropylene film, self-healing;Power Electronic Capacitors (PEC);880;2200;30 uF;1000 uF;image\capacitors\13039.png;Datasheet\capacitors\DCMKP\DCMKP.pdf;Datasheet\capacitors\DCMKP\DCMKP.zip
DCMKP Rectangular;Enlarge;Capacitors, Fixed, Power Electronic;Metallized polypropylene film, self-healing;Power Electronic Capacitors (PEC) - Rectangular;750;10 000;50 uF;20 000 uF;image\capacitors\13020.png;Datasheet\capacitors\DCMKP Rectangular\DCMKP Rectangular.pdf;Datasheet\capacitors\DCMKP Rectangular\DCMKP Rectangular.zip
EC;Enlarge;Capacitors, Fixed, Power Electronic;Film, Polypropylene, Polyester;High Voltage DC Filter Capacitors;10000;120000;0.001 uF;2 uF;image\capacitors\13015.png;Datasheet\capacitors\EC\EC.pdf;None
EPR;Enlarge;Capacitors, Fixed, Power Electronic;Film, Polypropylene, Polyester;High Voltage DC Filter Capacitors;15000;300000;0.002 uF;2 uF;image\capacitors\13016.png;Datasheet\capacitors\EPR\EPR.pdf;None
ER;Enlarge;Capacitors, Fixed, Power Electronic;Film, Polypropylene, Polyester;DC Filter Capacitors;1000;40000;0.01 uF;100 uF;image\capacitors\13013.png;Datasheet\capacitors\ER\ER.pdf;None
ET;Enlarge;Capacitors, Fixed, Power Electronic;Film, Polypropylene, Polyester;DC Filter Capacitors;1000;60000;0.0005 uF;2 uF;image\capacitors\13014.png;Datasheet\capacitors\ET\ET.pdf;None
GLI;Enlarge;Capacitors, Fixed, Power Electronic;Metallized polypropylene film, self-healing;Power Electronic Capacitors (PEC);700;2150;15 uF;230 uF;image\capacitors\13021.png;Datasheet\capacitors\GLI\GLI.pdf;Datasheet\capacitors\GLI\GLI.zip
GLI......A;Enlarge;Capacitors, Fixed, Power Electronic;Metallized polypropylene film, self-healing;Power Electronic Capacitors (PEC);700;2150;11 uF;230 uF;image\capacitors\13048.png;Datasheet\capacitors\GLI......A\GLI......A.pdf;Datasheet\capacitors\GLI......A\GLI......A.zip
HDMKP;Enlarge;Capacitors, Fixed, Power Electronic;Metallized polypropylene film, self-healing;Power Electronic Capacitors (PEC);500;3600;30 uF;7350 uF;image\capacitors\13115.png;Datasheet\capacitors\HDMKP\HDMKP.pdf;Datasheet\capacitors\HDMKP\HDMKP.zip
LNK Rectangular;Enlarge;Capacitors, Fixed, Power Electronic;Metallized polypropylene film, self-healing;DC Power Electronic Capacitors (PEC) - Rectangular in Plastic Casing;450;3800;110 uF;8000 uF;image\capacitors\13227.png;Datasheet\capacitors\LNK Rectangular\LNK Rectangular.pdf;Datasheet\capacitors\LNK Rectangular\LNK Rectangular.zip
