Part Number;Status;Description;Product Type;VINMin.(V);VINMax.(V);Package;Package Size(W, L, H)(mm);Image path;Datasheet part;3d model part
SiP2100;Active;5 V, 1 A H-Bridge Motor Driver;Motor Drive;3.8;5.5;SOIC-8;5.0 x 6.0 x 1.5;63949;Datasheet/power-ics/healthcare/SiP2100/SiP2100.pdf;None
SIC431;Active;24A,3V to 24V in,up to 1MHz,Synch. Buck Regulator;microBUCK (Step Down Regulator);3;24;PowerPak MLP 44-24L;4.0 x 4.0 x 0.75;74589;Datasheet/power-ics/healthcare/SIC431/SIC431.pdf;None
SiP12109;Active;4 A, 4.5 V to 15 V input, 1.5 MHz synchronous buck regulator;microBUCK (step down regulator);4.5;15;QFN16-33G;3.0 x 3.0 x 0.8;62694;Datasheet/power-ics/healthcare/SiP12109/SiP12109.pdf;None
SiP32510;Active;1.2 V to 5.5 V, 44 mΩ, 1.6 ms rise time with bidirectional off isolation, output discharge;Slew rate;1.2;5.5;TSOT23-6;3.0 x 2.9 x 1.0;63577;Datasheet/power-ics/healthcare/SiP32510/SiP32510.pdf;None
SiP32430;Active;6 V to 28 V, 99 mΩ, programmable current limit and slew rate, auto retry on fault;Slew rate, current limit;6;28;DFN33-10L;3.0 x 3.0 x 0.9;65223;Datasheet/power-ics/healthcare/SiP32430/SiP32430.pdf;None
SiP4282;Active;1.8 V to 5.5 V, 105 mΩ, 100 µs rise time, with UVLO;Slew rate;1.8;5.5;TDFN4;1.2 x 1.6 x 0.5;65740;Datasheet/power-ics/healthcare/SiP4282/SiP4282.pdf;None
SiP4282;Active;1.8 V to 5.5 V, 105 mΩ, 100 µs rise time, with UVLO;Slew rate;1.8;5.5;PowerPAK SC-75-6;0.75 x 1.6 x 0.5;65740;Datasheet/power-ics/healthcare/SiP4282/SiP4282.pdf;None
SiP4282A;Active;1.5 V to 5.5 V, 105 mΩ, 100 µs rise time;Slew rate;1.5;5.5;TDFN4;1.2 x 1.6 x 0.5;65740;Datasheet/power-ics/healthcare/SiP4282A/SiP4282A.pdf;None
SiP4282A;Active;1.5 V to 5.5 V, 105 mΩ, 100 µs rise time;Slew rate;1.5;5.5;PowerPAK SC-75-6;0.75 x 1.6 x 0.5;65740;Datasheet/power-ics/healthcare/SiP4282A/SiP4282A.pdf;None
SiP32411;Active;1.1 V to 5 V, 62 mΩ, 150 μs rise time, output discharge;Slew rate;1.1;5.5;TDFN4;1.2 x 1.6 x 0.5;66710;Datasheet/power-ics/healthcare/SiP32411/SiP32411.pdf;None
SiP32411;Active;1.1 V to 5 V, 101 mΩ, 150 μs rise time, output discharge;Slew rate;1.1;5.5;SC-70-6;2.0 x 2.0 x 0.5;66710;Datasheet/power-ics/healthcare/SiP32411/SiP32411.pdf;None
SiP32408;Active;1.1 V to 5.5 V, 42 mΩ, 2.5 ms rise time, bidirectional off isolation;Slew rate;1.1;5.5;TDFN4;1.2 x 1.6 x 0.5;63717;Datasheet/power-ics/healthcare/SiP32408/SiP32408.pdf;None
SiP32409;Active;1.1 V to 5.5 V, 42 mΩ, 2.5 ms rise time, bidirectional off isolation, output discharge;Slew rate;1.1;5.5;TDFN4;1.2 x 1.6 x 0.5;63717;Datasheet/power-ics/healthcare/SiP32409/SiP32409.pdf;None
SiP32413;Active;Dual switch, 1.1 V to 5.5 V, 150 μs rise time, reversed EN logic;Slew rate;1.1;5.5;TDFN8;2.0 x 2.0 x 0.5;71437;Datasheet/power-ics/healthcare/SiP32413/SiP32413.pdf;None
SiP32414;Active;1.1 V to 5.5 V, 150 μs rise time, output discharge;Slew rate;1.1;5.5;TDFN8;2.0 x 2.0 x 0.5;71437;Datasheet/power-ics/healthcare/SiP32414/SiP32414.pdf;None
SiP32416;Active;1.1 V to 5.5 V, 2.5 ms rise time, output discharge;Slew rate;1.1;5.5;TDFN8;2.0 x 2.0 x 0.5;71437;Datasheet/power-ics/healthcare/SiP32416/SiP32416.pdf;None
SiP32508;Active;1.1 V to 5.5 V, 44 mΩ, 2.5 ms rise time, bidirectional off isolation;Slew rate;1.1;5.5;TSOT23-6;3.0 x 2.9 x 1.0;62754;Datasheet/power-ics/healthcare/SiP32508/SiP32508.pdf;None
SiP32509;Active;1.1 V to 5.5 V, 44 mΩ, 2.5 ms rise time, bidirectional off isolation, output discharge;Slew rate;1.1;5.5;TSOT23-6;3.0 x 2.9 x 1.0;62754;Datasheet/power-ics/healthcare/SiP32509/SiP32509.pdf;None
SiP32431DN;Active;1.5 V to 5.5 V, 105 mΩ, 10 pA IQ, bidirectional off isolation, EN active high;Slew rate;1.5;5.5;TDFN4;1.2 x 1.6 x 0.5;66597;Datasheet/power-ics/healthcare/SiP32431DN/SiP32431DN.pdf;None
SiP32431DR;Active;1.5 V to 5.5 V, 147 mΩ, 10 pA IQ, bidirectional off isolation, EN active high;Slew rate;1.5;5.5;SC-70-6;2.0 x 2.0 x 0.5;66597;Datasheet/power-ics/healthcare/SiP32431DR/SiP32431DR.pdf;None
SiP32432DN;Active;1.5 V to 5.5 V, 105 mΩ, 10 pA IQ, bidirectional off isolation, EN active low;Slew rate;1.5;5.5;TDFN4;1.2 x 1.6 x 0.5;66597;Datasheet/power-ics/healthcare/SiP32432DN/SiP32432DN.pdf;None
SiP32432DR;Active;1.5 V to 5.5 V, 147 mΩ, 10 pA IQ, bidirectional off isolation, EN active low;Slew rate;1.5;5.5;SC-70-6;2.0 x 2.0 x 0.5;66597;Datasheet/power-ics/healthcare/SiP32432DR/SiP32432DR.pdf;None
SiP32501;Active;0.9 V to 2.5 V, 66 mΩ, 9.8 µs rise time, load switch;Slew rate;0.9;2.5;TDFN4;1.2 x 1.6 x 0.5;75595;Datasheet/power-ics/healthcare/SiP32501/SiP32501.pdf;None
SiP32451;Active;0.9 V to 2.5 V, 55 mΩ, bidirectional off isolation, fast turn on / off, output discharge;Slew rate;0.9;2.5;WCSP4;0.8 x 0.8 x 0.5;63315;Datasheet/power-ics/healthcare/SiP32451/SiP32451.pdf;None
SiP32452;Active;0.9 V to 2.5 V, 55 mΩ, bidirectional off isolation, fast turn on / off;Slew rate;0.9;2.5;WCSP4;0.8 x 0.8 x 0.5;63315;Datasheet/power-ics/healthcare/SiP32452/SiP32452.pdf;None
SiP32453;Active;0.9 V to 2.5 V, 55 mΩ, bidirectional off isolation, fast turn on and 98 µs turn off delay;Slew rate;0.9;2.5;WCSP4;0.8 x 0.8 x 0.5;63315;Datasheet/power-ics/healthcare/SiP32453/SiP32453.pdf;None
SiP32475;Active;1.2 V to 5.5 V, 47 mΩ, 200 µs rise time, bidirectional off isolation, output discharge;Slew rate;1.2;5.5;µDFN-4L;1.0 x 1.0 x 0.35;75792;Datasheet/power-ics/healthcare/SiP32475/SiP32475.pdf;None
SiP32458;Active;1.5 V to 5.5 V, 20 mΩ, bidirectional off isolation;Slew rate;1.5;5.5;WCSP6;1.0 x 1.5 x 0.5;63999;Datasheet/power-ics/healthcare/SiP32458/SiP32458.pdf;None
SiP32459;Active;1.5 V to 5.5 V, 20 mΩ, output discharge;Slew rate;1.5;5.5;WCSP6;1.0 x 1.5 x 0.5;63999;Datasheet/power-ics/healthcare/SiP32459/SiP32459.pdf;None
SiP32460;Active;1.2 V to 5.5 V, 50 mΩ, 200 µs rise time, bidirectional off isolation;Slew rate;1.2;5.5;WCSP4;0.8 x 0.8 x 0.5;67754;Datasheet/power-ics/healthcare/SiP32460/SiP32460.pdf;None
SiP32461;Active;1.2 V to 5.5 V, 50 mΩ, 200 µs rise time, bidirectional off isolation, output discharge;Slew rate;1.2;5.5;WCSP4;0.8 x 0.8 x 0.5;67754;Datasheet/power-ics/healthcare/SiP32461/SiP32461.pdf;None
SiP32462;Active;1.2 V to 5.5 V, 50 mΩ, 7.5 µs rise time, bidirectional off isolation;Slew rate;1.2;5.5;WCSP4;0.8 x 0.8 x 0.5;67754;Datasheet/power-ics/healthcare/SiP32462/SiP32462.pdf;None
SiP32467;Active;1.2 V to 5.5 V, 50 mΩ, EN active low, bidirectional off isolation;Slew rate;1.2;5.5;WCSP4;0.8 x 0.8 x 0.5;67757;Datasheet/power-ics/healthcare/SiP32467/SiP32467.pdf;None
SiP32468;Active;1.2 V to 5.5 V, 50 mΩ, EN active low, bidirectional off isolation, output discharge;Slew rate;1.2;5.5;WCSP4;0.8 x 0.8 x 0.5;67757;Datasheet/power-ics/healthcare/SiP32468/SiP32468.pdf;None
SiP32454;Active;0.8 V to 2.5 V, 28 mΩ, 1.5 ms rise time, output discharge;Slew rate;0.8;2.5;WCSP4;0.8 x 0.8 x 0.5;62531;Datasheet/power-ics/healthcare/SiP32454/SiP32454.pdf;None
SiP32455;Active;0.8 V to 2.5 V, 28 mΩ, 1.5 ms rise time;Slew rate;0.8;2.5;WCSP4;0.8 x 0.8 x 0.5;62531;Datasheet/power-ics/healthcare/SiP32455/SiP32455.pdf;None
SiC437A;New;12 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode and internal 5 V bias;microBUCK (step down regulator);4.5;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/healthcare/SiC437A/SiC437A.pdf;None
SiC437B;New;12 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode and internal 5 V bias;microBUCK (step down regulator);4.5;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/healthcare/SiC437B/SiC437B.pdf;None
SiC437C;New;12 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode, requires external 5 V bias;microBUCK (step down regulator);3;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/healthcare/SiC437C/SiC437C.pdf;None
SiC437D;New;12 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode, requires external 5 V bias;microBUCK (step down regulator);3;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/healthcare/SiC437D/SiC437D.pdf;None
SiC438A;Active;8 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode and internal 5 V bias;microBUCK (step down regulator);4.5;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/healthcare/SiC438A/SiC438A.pdf;None
SiC438B;Active;8 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode and internal 5 V bias;microBUCK (step down regulator);4.5;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/healthcare/SiC438B/SiC438B.pdf;None
SiC438C;Active;8 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode, requires external 5 V bias;microBUCK (step down regulator);3;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/healthcare/SiC438C/SiC438C.pdf;None
SiC438D;Active;8 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode, requires external 5 V bias;microBUCK (step down regulator);3;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/healthcare/SiC438D/SiC438D.pdf;None
SiP32419;Active;6 V to 28 V, 56 mΩ, programmable current limit and slew rate, latch-off on fault;Slew rate, current limit;6;28;DFN33-10L;3.0 x 3.0 x 0.9;63939;Datasheet/power-ics/healthcare/SiP32419/SiP32419.pdf;None
SiP32429;Active;6 V to 28 V, 56 mΩ, programmable current limit and slew rate, auto-retry on fault;Slew rate, current limit;6;28;DFN33-10L;3.0 x 3.0 x 0.9;63939;Datasheet/power-ics/healthcare/SiP32429/SiP32429.pdf;None
SIP32434A;Active;6 A, 33 mΩ, 2.8 V to 23 V, programmable OVP and current limit, latch-off on fault;Slew rate, current limit;2.8;28;DFN33-10L;3.0 x 3.0 x 0.9;63147;Datasheet/power-ics/healthcare/SIP32434A/SIP32434A.pdf;None
