Part Number;Status;Description;Product Type;VINMin.(V);VINMax.(V);Package;Package Size(W, L, H)(mm);Image path;Datasheet part;3d model part
SiP2100;Active;5 V, 1 A H-Bridge Motor Driver;Motor Drive;3.8;5.5;SOIC-8;5.0 x 6.0 x 1.5;63949;Datasheet/power-ics/industrial/SiP2100/SiP2100.pdf;None
SiC631;Active;50A, 4.5V - 24V,  5.0V PWM, VRPower with ZCD, with PS4 mode;VRPower (DrMOS);4.5;24;PowerPAK MLP55-31L;5.0 x 5.0 x 0.70;67104;Datasheet/power-ics/industrial/SiC631/SiC631.pdf;None
SIC431;Active;24A,3V to 24V in,up to 1MHz,Synch. Buck Regulator;microBUCK (Step Down Regulator);3;24;PowerPak MLP 44-24L;4.0 x 4.0 x 0.75;74589;Datasheet/power-ics/industrial/SIC431/SIC431.pdf;None
SiP12109;Active;4 A, 4.5 V to 15 V input, 1.5 MHz synchronous buck regulator;microBUCK (step down regulator);4.5;15;QFN16-33G;3.0 x 3.0 x 0.8;62694;Datasheet/power-ics/industrial/SiP12109/SiP12109.pdf;None
SiC621;Active;60 A power stage, 4.5 VINto 18 VIN, 5 V PWM with ZCD, PS4 mode;VRPower (DrMOS);4.5;18;PowerPAK MLP55-31L;5.0 x 5.0 x 0.75;67173;Datasheet/power-ics/industrial/SiC621/SiC621.pdf;None
SiC638;Active;50 A power stage, 2.7 VINto 24 VIN, 5 V PWM with ZCD mode;VRPower (DrMOS);2.7;24;PowerPAK MLP55-31L;5.0 x 5.0 x 0.75;76582;Datasheet/power-ics/industrial/SiC638/SiC638.pdf;None
SiC638A;Active;50 A power stage, 2.7 VINto 24 VIN, 3.3 V PWM with ZCD mode;VRPower (DrMOS);2.7;24;PowerPAK MLP55-31L;5.0 x 5.0 x 0.75;76582;Datasheet/power-ics/industrial/SiC638A/SiC638A.pdf;None
SiC639;Active;50 A power stage, 2.7 VINto 24 VIN, 5 V PWM with ZCD mode;VRPower (DrMOS);2.7;24;PowerPAK MLP55-31L;5.0 x 5.0 x 0.75;76585;Datasheet/power-ics/industrial/SiC639/SiC639.pdf;None
SiC639A;Active;50 A power stage, 2.7 VINto 24 VIN, 3.3 V PWM with ZCD mode;VRPower (DrMOS);2.7;24;PowerPAK MLP55-31L;5.0 x 5.0 x 0.75;76585;Datasheet/power-ics/industrial/SiC639A/SiC639A.pdf;None
SiC634;Active;50 A power stage, 4.5 VINto 24 VIN, 5 V PWM with ZCD, PS4 mode;VRPower (DrMOS);4.5;24;PowerPAK MLP55-31L;5.0 x 5.0 x 0.75;76784;Datasheet/power-ics/industrial/SiC634/SiC634.pdf;None
SiC620;Active;60 A power stage, 4.5 VINto 18 VIN, 5 V PWM with ZCD mode;VRPower (DrMOS);4.5;18;PowerPAK MLP55-31L;5.0 x 5.0 x 0.75;62922;Datasheet/power-ics/industrial/SiC620/SiC620.pdf;None
SiC620A;Active;60 A power stage, 4.5 VINto 18 VIN, 3.3 V PWM with ZCD mode;VRPower (DrMOS);4.5;18;PowerPAK MLP55-31L;5.0 x 5.0 x 0.75;62922;Datasheet/power-ics/industrial/SiC620A/SiC620A.pdf;None
SiC789;Active;60 A power stage, 4.5 VINto 18 VIN, 5 V PWM with diode emulation mode;VRPower (DrMOS);4.5;18;PowerPAK MLP66-40L;6.0 x 6.0 x 0.75;62972;Datasheet/power-ics/industrial/SiC789/SiC789.pdf;None
SiC789A;Active;60 A power stage, 4.5 VINto 18 VIN, 3.3 V PWM with diode emulation mode;VRPower (DrMOS);4.5;18;PowerPAK MLP66-40L;6.0 x 6.0 x 0.75;62972;Datasheet/power-ics/industrial/SiC789A/SiC789A.pdf;None
SiC788;Active;50 A power stage, 4.5 VINto 18 VIN, 5 V PWM with diode emulation mode;VRPower (DrMOS);4.5;18;PowerPAK MLP66-40L;6.0 x 6.0 x 0.75;62985;Datasheet/power-ics/industrial/SiC788/SiC788.pdf;None
SiC788A;Active;50 A power stage, 4.5 VINto 18 VIN, 3.3 V PWM with diode emulation mode;VRPower (DrMOS);4.5;18;PowerPAK MLP66-40L;6.0 x 6.0 x 0.75;62985;Datasheet/power-ics/industrial/SiC788A/SiC788A.pdf;None
SiC632;Active;50 A power stage, 4.5 VINto 24 VIN, 5 V PWM with ZCD mode;VRPower (DrMOS);4.5;24;PowerPAK MLP55-31L;5.0 x 5.0 x 0.75;62992;Datasheet/power-ics/industrial/SiC632/SiC632.pdf;None
