Part Number;Product Image;Package;Output;Load voltage (max.)(V);Load current (max.)(mA);I Fon (max.)(mA);R ON (max.)(Ω);R OFF (typ.)(GΩ);Turn-on time max.(ms);Turn-off time max.(ms);VISOmax.VRMS(V);Safety Standard;Image path;Datasheet part;3d model part
LH1262CAC, LH1262CACTR, LH1262CB;Enlarge;SMD-8, DIP-8;MOSFET Driver;;;;;;;;5300;UL, cUL, VDE, BSI, CQC, FIMKO;image/solid-state-relays/83802.png;Datasheet\/solid-state-relays/LH1262CAC, LH1262CACTR, LH1262CB\LH1262CAC, LH1262CACTR, LH1262CB.pdf;Datasheet\/solid-state-relays/LH1262CAC, LH1262CACTR, LH1262CB\LH1262CAC, LH1262CACTR, LH1262CB.zip
LH1500AAB, LH1500AABTR, LH1500AT;Enlarge;SMD-6, DIP-6;1 Form A;350;250;2;27;5000;2;2;5300;UL, cUL, VDE, FIMKO;image/solid-state-relays/83804.png;Datasheet\/solid-state-relays/LH1500AAB, LH1500AABTR, LH1500AT\LH1500AAB, LH1500AABTR, LH1500AT.pdf;Datasheet\/solid-state-relays/LH1500AAB, LH1500AABTR, LH1500AT\LH1500AAB, LH1500AABTR, LH1500AT.zip
LH1501BAB, LH1501BABTR, LH1501BT;Enlarge;SMD-6, DIP-6;1 Form B;350;200;n/a;25;1.4;3;3;3750;UL,;image/solid-state-relays/83805.png;Datasheet\/solid-state-relays/LH1501BAB, LH1501BABTR, LH1501BT\LH1501BAB, LH1501BABTR, LH1501BT.pdf;Datasheet\/solid-state-relays/LH1501BAB, LH1501BABTR, LH1501BT\LH1501BAB, LH1501BABTR, LH1501BT.zip
LH1502BAC, LH1502BACTR, LH1502BB;Enlarge;SMD-8, DIP-8;1 Form A/B, C;350;150;2;25;5000;6;3;3750;UL, FIMKO;image/solid-state-relays/83806.png;Datasheet\/solid-state-relays/LH1502BAC, LH1502BACTR, LH1502BB\LH1502BAC, LH1502BACTR, LH1502BB.pdf;Datasheet\/solid-state-relays/LH1502BAC, LH1502BACTR, LH1502BB\LH1502BAC, LH1502BACTR, LH1502BB.zip
LH1505AB, LH1505AAC, LH1505AACTR;Enlarge;SMD-8, DIP-8;1 Form A;250;130;2;20;5000;4;4;5300;UL, cUL, VDE, FIMKO;image/solid-state-relays/83809.png;Datasheet\/solid-state-relays/LH1505AB, LH1505AAC, LH1505AACTR\LH1505AB, LH1505AAC, LH1505AACTR.pdf;Datasheet\/solid-state-relays/LH1505AB, LH1505AAC, LH1505AACTR\LH1505AB, LH1505AAC, LH1505AACTR.zip
LH1510AAB, LH1510AABTR, LH1510AT;Enlarge;SMD-6, DIP-6;1 Form A;200;350;2;15;5000;2;2;5300;UL, cUL, VDE, FIMKO;image/solid-state-relays/83810.png;Datasheet\/solid-state-relays/LH1510AAB, LH1510AABTR, LH1510AT\LH1510AAB, LH1510AABTR, LH1510AT.pdf;Datasheet\/solid-state-relays/LH1510AAB, LH1510AABTR, LH1510AT\LH1510AAB, LH1510AABTR, LH1510AT.zip
LH1511BAB, LH1511BABTR, LH1511BT;Enlarge;SMD-6, DIP-6;1 Form B;200;300;n/a;15;1.4;3;3;3750;UL,;image/solid-state-relays/83811.png;Datasheet\/solid-state-relays/LH1511BAB, LH1511BABTR, LH1511BT\LH1511BAB, LH1511BABTR, LH1511BT.pdf;Datasheet\/solid-state-relays/LH1511BAB, LH1511BABTR, LH1511BT\LH1511BAB, LH1511BABTR, LH1511BT.zip
LH1512BAC, LH1512BACTR, LH1512BB;Enlarge;SMD-8, DIP-8;1 Form A/B, C;200;200;2;15;5000;3;3;3750;UL, FIMKO;image/solid-state-relays/83812.png;Datasheet\/solid-state-relays/LH1512BAC, LH1512BACTR, LH1512BB\LH1512BAC, LH1512BACTR, LH1512BB.pdf;Datasheet\/solid-state-relays/LH1512BAC, LH1512BACTR, LH1512BB\LH1512BAC, LH1512BACTR, LH1512BB.zip
LH1518AAB, LH1518AABTR, LH1518AT;Enlarge;SMD-6, DIP-6;1 Form A;250;300;2;20;5000;3;3;5300;UL, cUL, VDE, FIMKO;image/solid-state-relays/83816.png;Datasheet\/solid-state-relays/LH1518AAB, LH1518AABTR, LH1518AT\LH1518AAB, LH1518AABTR, LH1518AT.pdf;Datasheet\/solid-state-relays/LH1518AAB, LH1518AABTR, LH1518AT\LH1518AAB, LH1518AABTR, LH1518AT.zip
LH1520AB, LH1520AAC, LH1520AACTR;Enlarge;SMD-8, DIP-8;1 Form A;350;140;2;27;5000;2;2;5300;UL, cUL, VDE, BSI, FIMKO;image/solid-state-relays/83818.png;Datasheet\/solid-state-relays/LH1520AB, LH1520AAC, LH1520AACTR\LH1520AB, LH1520AAC, LH1520AACTR.pdf;Datasheet\/solid-state-relays/LH1520AB, LH1520AAC, LH1520AACTR\LH1520AB, LH1520AAC, LH1520AACTR.zip
